k,silhouette_score,calinski_harabasz_score,davies_bouldin_score,inertia,min_cluster_count,max_cluster_count,hard_min_required_count,soft_min_required_count,min_cluster_ratio,max_cluster_ratio,negative_silhouette_ratio,tiny_cluster_penalty,dominant_cluster_penalty,is_valid_cluster_size,selection_score
2,0.9098011610874214,819.5778102095454,0.8325721023960496,13784.079873279157,43,885,28,47,0.04633620689655173,0.9536637931034483,0.020474137931034482,0.01702127659574468,0.441882183908046,True,0.05359653949620935
3,0.9105354256589787,745.0576236677251,1.1582320139144244,9951.988828488342,22,846,28,47,0.023706896551724137,0.9116379310344828,0.04310344827586207,0.10638297872340426,0.1438218390804598,False,-1000000000.0
4,0.9158157118334015,604.9341756407375,1.4426878983466132,8766.318756108813,18,844,28,47,0.01939655172413793,0.9094827586206896,0.029094827586206896,0.12340425531914895,0.13879310344827578,False,-1000000000.0
5,0.9155069001596687,517.4548929305876,1.543595512718775,8013.590992148041,12,844,28,47,0.01293103448275862,0.9094827586206896,0.023706896551724137,0.14893617021276595,0.13879310344827578,False,-1000000000.0
6,0.9179028500036257,476.50392683490315,1.5373915627429984,7249.842825371917,8,844,28,47,0.008620689655172414,0.9094827586206896,0.01939655172413793,0.16595744680851066,0.13879310344827578,False,-1000000000.0
7,0.9215591214381417,449.7238261553315,1.2813086464462848,6612.046508421721,2,844,28,47,0.0021551724137931034,0.9094827586206896,0.018318965517241378,0.1914893617021277,0.13879310344827578,False,-1000000000.0
8,0.922482083549101,421.07049736891395,1.42492039832576,6181.078281074222,2,844,28,47,0.0021551724137931034,0.9094827586206896,0.020474137931034482,0.1914893617021277,0.13879310344827578,False,-1000000000.0
9,0.9244126880580322,403.84587389579065,1.251586835635571,5754.370308520812,2,844,28,47,0.0021551724137931034,0.9094827586206896,0.01293103448275862,0.1914893617021277,0.13879310344827578,False,-1000000000.0
10,0.9236703543777843,383.2048926883807,1.1794537934533567,5462.368652166506,1,844,28,47,0.0010775862068965517,0.9094827586206896,0.01293103448275862,0.19574468085106383,0.13879310344827578,False,-1000000000.0
