scenario_id,scenario_dir,source_file,file_name,record_type,row_count,missing_rate,method,MAE,RMSE,MAPE,sMAPE,NRMSE,missing_count,valid_eval_count
,,,,,,0.05,forward_fill,89.21128504897584,187.16140141187267,0.0235373544245575,0.024094010444393,0.024877729321399,3639550,3639550
,,,,,,0.05,forward_fill,66.25026083600491,154.77358102171252,0.1114459447481857,0.0753297788831448,0.1039730666435089,3624883,3624883
,,,,,,0.05,forward_fill,107.00063721483396,200.41999614353543,0.0475394637348086,0.04822978753972,0.1408139690390042,3629859,3629859
,,,,,,0.05,function_curve_fit,152.36600925938646,272.88781614634934,0.040607832310034,0.0420978874341436,0.0362725923934331,3639550,3639550
,,,,,,0.05,function_curve_fit,101.70255536523524,233.78785468412008,0.2223472132760782,0.1171520236273517,0.1570529029247245,3624883,3624883
,,,,,,0.05,function_curve_fit,152.25441732034218,264.7381664382813,0.0691676261322022,0.067707985066319,0.1860035559804361,3629859,3629859
,,,,,,0.05,historical_linear_extrapolation,181.99416905936167,346.0992619902124,0.0484349772593795,0.0509553564663085,0.0460039500301704,3639550,3639550
,,,,,,0.05,historical_linear_extrapolation,120.48330028858862,268.4770298498526,0.2185103854480534,0.1262690583993612,0.1803562334899655,3624883,3624883
,,,,,,0.05,historical_linear_extrapolation,189.68618340271615,333.61419487028115,0.0851179616670372,0.0847597695136453,0.2343954685728665,3629859,3629859
,,,,,,0.05,mean_fill,142.78445041282575,264.7161051704921,0.0379981222057199,0.0393644400819855,0.0351863982731897,3639550,3639550
,,,,,,0.05,mean_fill,97.1179043571889,224.93415140318285,0.2000869796267958,0.1048687550240119,0.1511052038717343,3624883,3624883
,,,,,,0.05,mean_fill,148.01938863190003,261.19009571285494,0.0669104339639552,0.0657603273472752,0.1835107013207615,3629859,3629859
,,,,,,0.05,road_topology_neighbor_fill,685.6390520806143,1006.306772762836,0.1770731081216256,0.1813268177470429,0.1337595643024306,3639550,3639550
,,,,,,0.05,road_topology_neighbor_fill,401.8681849869361,759.872682292413,0.5129266115602226,0.2536145489450359,0.5104636884087312,3624883,3624883
,,,,,,0.05,road_topology_neighbor_fill,482.8268067712823,776.6573790105175,0.2207135232387814,0.1882801522795892,0.5456751333513521,3629859,3629859
,,,,,,0.05,topology_function_hybrid,380.3128612053688,547.6391004146841,0.09838955048744,0.0999468197315344,0.0727928793178331,3639550,3639550
,,,,,,0.05,topology_function_hybrid,239.79605521060955,432.2341763247397,0.3570991669300988,0.1921119181459348,0.2903642373843494,3624883,3624883
,,,,,,0.05,topology_function_hybrid,290.2889285782175,443.4600938961533,0.1326985272318773,0.1210441286091019,0.3115725832426677,3629859,3629859
,,,,,,0.1,forward_fill,91.98079074059724,193.81156953582092,0.0242668214416752,0.0248851891347102,0.0256464724629889,7277532,7277532
,,,,,,0.1,forward_fill,68.18583391007466,159.82327043836847,0.1168952435077037,0.0769542619573687,0.1073653231951832,7256286,7256286
,,,,,,0.1,forward_fill,109.87224816424826,206.5495187780663,0.0488409915481816,0.0495570748264471,0.1451205373809403,7255066,7255066
,,,,,,0.1,function_curve_fit,152.4491198389784,273.1959972160189,0.0406204046143107,0.0421167541247371,0.0361511628866122,7277532,7277532
,,,,,,0.1,function_curve_fit,101.56235559072506,233.45395613306545,0.2196970750611859,0.1168845816529333,0.156828598130122,7256286,7256286
,,,,,,0.1,function_curve_fit,152.06307482247578,264.2483425246825,0.0690834425294813,0.0676504159865887,0.1856594084366218,7255066,7255066
,,,,,,0.1,historical_linear_extrapolation,183.21464282122017,348.5318861597151,0.0487426040641035,0.0512889125253502,0.0461201229744784,7277532,7277532
,,,,,,0.1,historical_linear_extrapolation,121.25839527273318,269.84289783826813,0.2338083384336185,0.1271675726063721,0.1812737898484104,7256286,7256286
,,,,,,0.1,historical_linear_extrapolation,191.0404423612411,336.08015227834034,0.0857204698090444,0.0855054670268506,0.2361280364642523,7255066,7255066
,,,,,,0.1,mean_fill,143.35493076499012,266.1647037346396,0.0381368970647647,0.0395202948539723,0.0352207340423421,7277532,7277532
,,,,,,0.1,mean_fill,97.42760318432872,225.3851785216341,0.2051176378257307,0.1047128705719583,0.1514081927431889,7256286,7256286
,,,,,,0.1,mean_fill,148.58397690661943,262.048498272374,0.0671478146647373,0.0660420560730856,0.1841138101610218,7255066,7255066
,,,,,,0.1,road_topology_neighbor_fill,672.2624230302251,984.953187759865,0.1734624753067042,0.1775309610455852,0.1303357424312474,7277532,7277532
,,,,,,0.1,road_topology_neighbor_fill,398.28688560511534,747.7465281595993,0.5014981297459641,0.2538057615241593,0.5023176377490671,7256286,7256286
,,,,,,0.1,road_topology_neighbor_fill,475.58678308371,762.4403275508522,0.2175779870575953,0.1859288640086113,0.5356863124622753,7255066,7255066
,,,,,,0.1,topology_function_hybrid,373.81775579963096,538.040318610662,0.0966217794434809,0.0981912722577602,0.071197174906918,7277532,7277532
,,,,,,0.1,topology_function_hybrid,237.75088716183456,426.86229943996494,0.3499323711289764,0.1911207158516359,0.2867555432541602,7256286,7256286
,,,,,,0.1,topology_function_hybrid,286.5766299024709,437.05411539648657,0.1310621489888065,0.1197086526547449,0.3070717785551425,7255066,7255066
,,,,,,0.2,forward_fill,98.1267550528133,208.2886596781232,0.025900625353014,0.0266768301281963,0.0275756428531032,14555901,14555901
,,,,,,0.2,forward_fill,72.21363101816459,169.98998310612944,0.1276787035757215,0.0804908812690196,0.1141950695044207,14511858,14511858
,,,,,,0.2,forward_fill,116.25774752173795,219.2051739041437,0.0517288771158849,0.052531923896865,0.1540123299334932,14509059,14509059
,,,,,,0.2,function_curve_fit,152.80333302624138,273.5632186042922,0.0407039070952864,0.0422171221142545,0.0362174379807087,14555901,14555901
,,,,,,0.2,function_curve_fit,101.5908962174244,233.6102314357644,0.2194176233713994,0.1169742638638326,0.1569335800162746,14511858,14511858
,,,,,,0.2,function_curve_fit,152.2070086006267,264.5411201170884,0.0691494805127007,0.0677357552502845,0.1858651123365602,14509059,14509059
,,,,,,0.2,historical_linear_extrapolation,187.52507866053773,357.7004695361179,0.0498982388788789,0.0525855336791329,0.0473564927229273,14555901,14555901
,,,,,,0.2,historical_linear_extrapolation,123.66835094444832,274.77867432398324,0.2306499032472077,0.1302950697762093,0.184589522508332,14511858,14511858
,,,,,,0.2,historical_linear_extrapolation,195.12618619856735,344.13067229862395,0.0875352091181016,0.0874575036243305,0.2417842868319662,14509059,14509059
,,,,,,0.2,mean_fill,144.7946407439842,269.7067474491934,0.0385071485569666,0.0399504686385439,0.0357068740766986,14555901,14555901
,,,,,,0.2,mean_fill,98.41206301770592,227.4207892122973,0.2000227133640538,0.1052786929353908,0.1527756656969283,14511858,14511858
,,,,,,0.2,mean_fill,150.3005527787846,265.14512437101035,0.0678913324863323,0.0668180250675629,0.1862894823492723,14509059,14509059
,,,,,,0.2,road_topology_neighbor_fill,650.78916708763,949.7523648608624,0.1677148991841865,0.1715157892085313,0.1257391163434719,14555901,14555901
,,,,,,0.2,road_topology_neighbor_fill,394.2919270571694,728.3358452681899,0.5058493238319788,0.255250290938916,0.489278020699815,14511858,14511858
,,,,,,0.2,road_topology_neighbor_fill,462.9302468202797,737.5287804440062,0.2121228822670374,0.1816092193784758,0.5181835987085796,14509059,14509059
,,,,,,0.2,topology_function_hybrid,363.48824356527297,522.3685027497794,0.0938277845774971,0.0954344403431295,0.0691571365037265,14555901,14555901
,,,,,,0.2,topology_function_hybrid,235.34694647646083,418.48858475034064,0.3517337889802224,0.1905041985872686,0.281130288674337,14511858,14511858
,,,,,,0.2,topology_function_hybrid,280.3971135550555,426.2501570604517,0.1283560750035116,0.1174379796906108,0.2994809778171785,14509059,14509059
,,,,,,0.3,forward_fill,104.99559239814728,224.1002951491101,0.0277303898264537,0.0286962414206855,0.0296544837970939,21837045,21837045
,,,,,,0.3,forward_fill,76.56216186018835,180.5379369167144,0.13892189572965,0.0842567509248742,0.1212809241913828,21766699,21766699
,,,,,,0.3,forward_fill,123.20381636108247,232.23971593648892,0.0548576082442715,0.0557548977313438,0.1631703263085943,21760834,21760834
,,,,,,0.3,function_curve_fit,153.18325973134185,273.8860471421225,0.0408107365098362,0.0423372176747844,0.0362424750124584,21837045,21837045
,,,,,,0.3,function_curve_fit,101.5596547735603,233.4025990454672,0.2168271301447742,0.1170115994214267,0.1567940977079167,21766699,21766699
,,,,,,0.3,function_curve_fit,152.29513262221477,264.4348417664002,0.0691774796127126,0.0677941117564416,0.1857904417614116,21760834,21760834
,,,,,,0.3,historical_linear_extrapolation,194.1321218141008,374.0519123329774,0.0516589840151792,0.0545044149209806,0.0494971073829678,21837045,21837045
,,,,,,0.3,historical_linear_extrapolation,127.32188394758434,283.5073803784174,0.2386845846183613,0.1340835435550337,0.1904532515137491,21766699,21766699
,,,,,,0.3,historical_linear_extrapolation,201.4381511296856,357.69097569954386,0.0903220137452567,0.0905193472033861,0.2513116802058745,21760834,21760834
,,,,,,0.3,mean_fill,146.54046021336677,274.1430104642486,0.0389653670463568,0.0404731203597344,0.0362764781567531,21837045,21837045
,,,,,,0.3,mean_fill,99.5795215434366,229.65096197922296,0.2037796887456486,0.1057558092294241,0.1542738406450776,21766699,21766699
,,,,,,0.3,mean_fill,152.49177673980694,269.0832104750777,0.0688285574210988,0.0678396063362909,0.1890563596339816,21760834,21760834
,,,,,,0.3,road_topology_neighbor_fill,633.1864209649245,919.616995885464,0.1629889916567237,0.1666617910642213,0.1216900106529199,21837045,21837045
,,,,,,0.3,road_topology_neighbor_fill,393.11062977440906,713.7886460198309,0.5066386360958315,0.2568534103150357,0.4795055717654335,21766699,21766699
,,,,,,0.3,road_topology_neighbor_fill,453.0993155868934,716.4936641158672,0.2080014154529877,0.1784243852826366,0.5034044435526186,21760834,21760834
,,,,,,0.3,topology_function_hybrid,355.0202841089534,509.01134110473487,0.0915338757272904,0.0931910802262852,0.0673558620584768,21837045,21837045
,,,,,,0.3,topology_function_hybrid,234.31850865397644,412.2379571515633,0.3504626059782908,0.1904860917071072,0.2769312715319975,21766699,21766699
,,,,,,0.3,topology_function_hybrid,275.4871428181475,417.109017291527,0.1262479060573919,0.1156917522382184,0.2930584641101094,21760834,21760834
,,,,,,0.05,forward_fill,130.6925048828125,425.6058044433594,0.0343487113714218,0.0440817698836326,0.057634069077846,66914,66914
,,,,,,0.05,forward_fill,81.65702056884766,209.11436462402344,0.0928371623158454,0.0965662896633148,0.1404781155193163,68308,68308
,,,,,,0.05,forward_fill,139.09767150878906,328.3553466796875,0.0617340765893459,0.0744631737470626,0.2307018381962578,66678,66678
,,,,,,0.05,forward_fill,116.87836456298828,332.318115234375,0.0629996210336685,0.0717550665140152,0.0322748190139449,201900,201900
,,,,,,0.05,forward_fill,84.17180633544922,171.70054626464844,0.0222828052937984,0.0227348282933235,0.0232648223937334,64936,64936
,,,,,,0.05,forward_fill,67.87847137451172,156.45143127441406,0.1049937978386879,0.0811965465545654,0.105100213595365,67775,67775
,,,,,,0.05,forward_fill,102.90396881103516,192.16444396972656,0.0460921302437782,0.0470738410949707,0.135014138990336,69942,69942
,,,,,,0.05,forward_fill,85.18775177001953,174.29119873046875,0.0578319169580936,0.0505185201764106,0.0169343700153209,202653,202653
,,,,,,0.05,forward_fill,88.16735076904297,180.5103454589844,0.0234560370445251,0.0240138303488492,0.0248719760113399,63097,63097
,,,,,,0.05,forward_fill,74.15593719482422,175.78762817382812,0.1114464029669761,0.0882649570703506,0.1180898810156411,67536,67536
,,,,,,0.05,forward_fill,106.7826919555664,197.9490966796875,0.0478706173598766,0.0489199459552764,0.1390803264856071,70896,70896
,,,,,,0.05,forward_fill,90.02057647705078,185.3155517578125,0.0611325576901435,0.0540978983044624,0.0182227332343724,201529,201529
,,,,,,0.05,forward_fill,87.42185974121094,181.77462768554688,0.0232918187975883,0.0239028055220842,0.0253003174820004,62291,62291
,,,,,,0.05,forward_fill,75.74111938476562,177.89659118652344,0.2620974481105804,0.0930276438593864,0.1195065432082668,68752,68752
,,,,,,0.05,forward_fill,109.25057983398438,203.65505981445312,0.0491413250565528,0.050505805760622,0.1430873484843871,71231,71231
,,,,,,0.05,forward_fill,91.1386260986328,188.5145568847656,0.1122688800096511,0.05652392283082,0.0186711496363196,202274,202274
,,,,,,0.05,forward_fill,91.90533447265624,197.4555511474609,0.024349994957447,0.0250702779740095,0.0266551778716439,64644,64644
,,,,,,0.05,forward_fill,72.08891296386719,171.84649658203125,0.1484235674142837,0.0859009400010109,0.1154422388422109,68796,68796
,,,,,,0.05,forward_fill,110.20477294921876,207.6880340576172,0.0493002757430076,0.0503275692462921,0.1459222415197907,68534,68534
,,,,,,0.05,forward_fill,91.36487579345705,192.8056182861328,0.0744866579771041,0.054164845496416,0.0186833160591974,201974,201974
,,,,,,0.05,forward_fill,92.9625015258789,193.0521850585937,0.0244866274297237,0.0250272005796432,0.0259020323324939,65335,65335
,,,,,,0.05,forward_fill,67.66619110107422,158.75692749023438,0.1078360676765441,0.078546442091465,0.1066490240844495,68116,68116
,,,,,,0.05,forward_fill,110.15689086914062,204.3295135498047,0.0489534176886081,0.0496932417154312,0.1435610573071849,67696,67696
,,,,,,0.05,forward_fill,90.18299865722656,186.2567138671875,0.0606104657053947,0.0513000860810279,0.0179696662578915,201147,201147
,,,,,,0.05,forward_fill,92.2798843383789,191.67071533203125,0.0243707671761512,0.0249044839292764,0.0256927966117642,66333,66333
,,,,,,0.05,forward_fill,67.68683624267578,158.16380310058594,0.1028600186109542,0.0776955932378768,0.1062506560313058,67602,67602
,,,,,,0.05,forward_fill,108.70359802246094,203.37127685546875,0.0482449755072593,0.0489455126225948,0.1428880248228027,66973,66973
,,,,,,0.05,forward_fill,89.47962951660156,185.2951202392578,0.0584575161337852,0.0505479611456394,0.0178649431184141,200908,200908
,,,,,,0.05,forward_fill,82.40888977050781,171.59503173828125,0.0218209773302078,0.0222596302628517,0.0237295410673622,67172,67172
,,,,,,0.05,forward_fill,62.12767028808594,139.61563110351562,0.092890590429306,0.073278397321701,0.0937904920180215,67161,67161
,,,,,,0.05,forward_fill,98.94302368164062,185.9237670898437,0.0441334992647171,0.0448304116725921,0.1306294140642488,68173,68173
,,,,,,0.05,forward_fill,81.24879455566406,166.9393310546875,0.0526578463613987,0.0466494932770729,0.0164582712342335,202506,202506
,,,,,,0.05,forward_fill,82.41644287109375,168.54991149902344,0.0218081772327423,0.02227733284235,0.0240353643722095,65904,65904
,,,,,,0.05,forward_fill,65.4066162109375,151.7303466796875,0.0925255566835403,0.0774780958890914,0.1019288224015684,66748,66748
,,,,,,0.05,forward_fill,100.98433685302734,186.3046112060547,0.0449743792414665,0.0459719374775886,0.130897398017251,68525,68525
,,,,,,0.05,forward_fill,83.09739685058594,169.61061096191406,0.0529010221362113,0.0485142543911933,0.0170901047386122,201177,201177
,,,,,,0.05,forward_fill,92.3976058959961,194.1850128173828,0.0243932902812957,0.024990227073431,0.0262709138298946,66295,66295
,,,,,,0.05,forward_fill,66.69624328613281,157.85032653808594,0.0850161239504814,0.0750707685947418,0.1060401395477907,67068,67068
,,,,,,0.05,forward_fill,108.68545532226562,204.51901245117188,0.0483063831925392,0.0489570833742618,0.1436946790798057,67624,67624
,,,,,,0.05,forward_fill,89.30142974853516,186.61671447753903,0.0524805635213851,0.0496513098478317,0.0181119198493197,200987,200987
,,,,,,0.05,forward_fill,96.16089630126952,200.7510986328125,0.0254015307873487,0.0260310526937246,0.0267896829243063,67359,67359
,,,,,,0.05,forward_fill,67.7373046875,156.61573791503906,0.0816005989909172,0.0759070664644241,0.1052108236925322,67412,67412
,,,,,,0.05,forward_fill,112.02467346191406,209.17788696289065,0.0497460626065731,0.0503983832895755,0.1469673780385827,67346,67346
,,,,,,0.05,forward_fill,91.96664428710938,190.24041748046875,0.0520871430635452,0.0506713353097438,0.0182826894051801,202117,202117
,,,,,,0.05,forward_fill,91.66635131835938,195.26568603515625,0.024100836366415,0.0246272422373294,0.0265011725604162,67594,67594
,,,,,,0.05,forward_fill,64.79352569580078,152.5042724609375,0.0789898633956909,0.0709251463413238,0.1024486936492823,66739,66739
,,,,,,0.05,forward_fill,107.1923599243164,202.2711944580078,0.0476057566702365,0.0482049435377121,0.142115098172725,66627,66627
,,,,,,0.05,forward_fill,87.889404296875,184.69786071777344,0.0499626882374286,0.0477197282016277,0.0179665763076406,200960,200960
,,,,,,0.05,forward_fill,90.15575408935548,188.80252075195312,0.0237369854003191,0.0242036655545234,0.0254078233682876,67806,67806
,,,,,,0.05,forward_fill,64.68009185791016,147.25221252441406,0.0949075520038604,0.0720690041780471,0.0989206080792959,66615,66615
,,,,,,0.05,forward_fill,106.31980895996094,197.39002990722656,0.0472087152302265,0.0478113479912281,0.1386863806267452,66769,66769
,,,,,,0.05,forward_fill,87.08500671386719,179.23097229003906,0.0548669919371604,0.0477809272706508,0.0173290918374515,201190,201190
,,,,,,0.05,forward_fill,91.95535278320312,193.708740234375,0.0242258943617343,0.0247848220169544,0.0275660127053021,68401,68401
,,,,,,0.05,forward_fill,65.41712188720703,151.0189208984375,0.0995112285017967,0.0729954093694686,0.101450828681801,67255,67255
,,,,,,0.05,forward_fill,108.03353118896484,200.8392333984375,0.0478218160569667,0.0483060292899608,0.141108740632739,66925,66925
,,,,,,0.05,forward_fill,88.45652770996094,183.21243286132807,0.0567801333963871,0.0484534576535224,0.0184337322569602,202581,202581
,,,,,,0.05,forward_fill,85.30979919433594,175.02232360839844,0.0225042197853326,0.0229687336832284,0.023860020169929,66856,66856
,,,,,,0.05,forward_fill,64.07296752929688,145.73065185546875,0.0871576070785522,0.0726097449660301,0.0978984670746147,66950,66950
,,,,,,0.05,forward_fill,102.98922729492188,190.30581665039065,0.0457892678678035,0.0463229604065418,0.1337087319403593,67578,67578
,,,,,,0.05,forward_fill,84.18226623535156,171.41458129882812,0.0516223981976509,0.0472068600356578,0.0167278139233603,201384,201384
,,,,,,0.05,forward_fill,85.74397277832031,177.69842529296875,0.0226955451071262,0.0232822019606828,0.0246860389301619,65874,65874
,,,,,,0.05,forward_fill,68.73309326171875,162.13580322265625,0.1070592701435089,0.0811975300312042,0.1089192274982125,66952,66952
