seed,method,client_id,mse,rmse,mae,mape,r2
42,Independent,0,0.008417665958404541,0.09174783898492946,0.06950616091489792,6.950616091489792,0.7118945831180025
42,Independent,1,0.01630042865872383,0.12767313209412476,0.11667118221521378,11.667118221521378,0.46519006710530053
42,Independent,2,0.010388363152742386,0.10192331996526793,0.07946054637432098,7.946054637432098,0.5806600089805737
42,Independent,3,0.004255772102624178,0.06523627903723647,0.05571317672729492,5.571317672729492,0.8817969331751622
42,Independent,4,0.006418378558009863,0.08011478364203366,0.05143361538648605,5.135991424322128,0.8307323770148196
42,FedAvg,0,0.010639638639986515,0.10314862403341363,0.078671395778656,7.867139577865601,0.6358447227235668
42,FedAvg,1,0.002851089695468545,0.053395596217933036,0.04567205533385277,4.567205533385277,0.9064569946646504
42,FedAvg,2,0.0015795041108503938,0.03974297561645823,0.030299067497253418,3.029906749725342,0.936241233584606
42,FedAvg,3,0.0022605867125093937,0.04754562769077083,0.0389920175075531,3.89920175075531,0.9372127349519781
42,FedAvg,4,0.005926226731389761,0.07698198965595629,0.05320167541503906,5.313090607523918,0.8437115605943355
2024,Independent,0,0.0024258282501250505,0.049252697896917795,0.041250769048929214,4.1250769048929214,0.903603467302231
2024,Independent,1,0.007344648241996765,0.08570092322721364,0.06742832809686661,6.742832809686661,0.7663913475230449
2024,Independent,2,0.0156516432762146,0.12510652771224448,0.10631835460662842,10.631835460662842,0.6091159339395904
2024,Independent,3,0.0025786124169826508,0.05078003955278738,0.04104866459965706,4.104866459965706,0.9347653621021301
2024,Independent,4,0.013749390840530396,0.11725779650211066,0.10027597099542618,10.027597099542618,0.7548867972828617
2024,FedAvg,0,0.004607665352523327,0.06787978603769554,0.0570172555744648,5.70172555744648,0.8169025325018104
2024,FedAvg,1,0.0022875575814396143,0.0478284181364972,0.03989022225141525,3.9890222251415253,0.9272404527163335
2024,FedAvg,2,0.001575809670612216,0.0396964692461712,0.030789602547883987,3.0789602547883987,0.9606457332315596
2024,FedAvg,3,0.0032653002999722958,0.05714280619616345,0.050595153123140335,5.0595153123140335,0.9173932899717228
2024,FedAvg,4,0.007344926241785288,0.08570254513014935,0.07220468670129776,7.220468670129776,0.8690604967272353
3407,Independent,0,0.00877932459115982,0.0936980500926237,0.08135522156953812,8.135522156953812,0.6829136715450207
3407,Independent,1,0.005640718154609203,0.07510471459641667,0.06008664518594742,6.008664518594742,0.8367580180769286
3407,Independent,2,0.016612831503152847,0.12889077353772396,0.11105277389287949,11.105277389287949,0.5706322220176645
3407,Independent,3,0.016206488013267517,0.1273047053854158,0.1096300259232521,10.96300259232521,0.533297541935911
3407,Independent,4,0.010835738852620125,0.10409485507276585,0.08212436735630035,8.212436735630035,0.7715012494125311
3407,FedAvg,0,0.0034963309299200773,0.05912978039803697,0.04951568320393562,4.951568320393562,0.8737216325832883
3407,FedAvg,1,0.004842844791710377,0.06959055102318401,0.038452934473752975,3.8452934473752975,0.859848407952737
3407,FedAvg,2,0.001383358845487237,0.03719353230720681,0.03021528199315071,3.021528199315071,0.9642463254252134
3407,FedAvg,3,0.0022774632088840008,0.04772277453044826,0.035837601870298386,3.5837601870298386,0.9344152923076837
3407,FedAvg,4,0.0053999172523617744,0.07348412925497433,0.05849050357937813,5.849050357937813,0.8861291790642208
1234,Independent,0,0.007858606055378914,0.08864877920974949,0.07660819590091705,7.660819590091705,0.7249994193823689
1234,Independent,1,0.0036385979037731886,0.060320791637487554,0.04981246218085289,4.981246218085289,0.8712266106313737
1234,Independent,2,0.004074440337717533,0.06383134291018427,0.05221158266067505,5.221158266067505,0.8888979715916672
1234,Independent,3,0.007595219649374485,0.08715055736697548,0.06714625656604767,6.714625656604767,0.8110540559994683
1234,Independent,4,0.017101235687732697,0.1307716929910013,0.11088629812002182,11.088629812002182,0.6320327088597388
1234,FedAvg,0,0.005851051304489374,0.07649216498759448,0.06851518154144287,6.851518154144287,0.795250909290365
1234,FedAvg,1,0.0029838888440281153,0.05462498369819542,0.04715026542544365,4.715026542544365,0.8943973788276519
1234,FedAvg,2,0.0016354348044842482,0.040440509448871294,0.033074066042900085,3.3074066042900085,0.955404883334124
1234,FedAvg,3,0.002068629954010248,0.0454821938126367,0.03567560762166977,3.567560762166977,0.9485387819541325
1234,FedAvg,4,0.005262739025056362,0.07254473809351276,0.05672076344490051,5.672076344490051,0.8867616326247143
5678,Independent,0,0.001958691282197833,0.04425710431329453,0.03824963420629501,3.8249634206295013,0.9191733820224764
5678,Independent,1,0.005270220339298248,0.07259628323336015,0.05987781286239624,5.987781286239624,0.8480263720035721
5678,Independent,2,0.010165495797991753,0.10082408342252239,0.08382586389780045,8.382586389780045,0.7309936991864849
5678,Independent,3,0.006032136734575033,0.07766683162441373,0.061414122581481934,6.141412258148193,0.8107572395276216
5678,Independent,4,0.016743656247854233,0.12939728068183748,0.10829494148492813,10.829494148492813,0.6130616556443225
5678,FedAvg,0,0.0034256179351359606,0.05852877869164844,0.05106159299612045,5.106159299612045,0.8586397475578462
5678,FedAvg,1,0.0015015194658190012,0.038749444716266596,0.0305672287940979,3.05672287940979,0.9567017385937431
5678,FedAvg,2,0.0011814830359071493,0.0343727077185832,0.027601629495620728,2.7601629495620728,0.968734786850586
5678,FedAvg,3,0.004384540021419525,0.06621585928929356,0.05539635568857193,5.539635568857193,0.8624463619247059
5678,FedAvg,4,0.00611024908721447,0.07816808227924278,0.06826484203338623,6.826484203338623,0.8587949092894609
