experiment,method,seed,mse,rmse,mae,mape,r2,final_loss,best_loss,communication_rounds,convergence_round
gcn_fed_base_main,Independent,42,0.011613238556310534,0.10196365858831309,0.08844439387321472,8.844439387321472,0.6836406154303311,,,0,30
gcn_fed_base_main,FedAvg,42,0.003432144923135638,0.058490954303981504,0.04978571981191635,4.978571981191635,0.8978576822695421,,,10,30
gcn_fed_base_main,Independent,2024,0.007261435315012932,0.08143199088203293,0.0667096123099327,6.670961230993271,0.7990566857296499,,,0,30
gcn_fed_base_main,FedAvg,2024,0.0034282470587641,0.05834376486058239,0.047233273088932035,4.723327308893204,0.9027725465363898,,,10,30
gcn_fed_base_main,Independent,3407,0.00778243551030755,0.08747395340661084,0.07353414371609687,7.353414371609688,0.7989964953982744,,,0,30
gcn_fed_base_main,FedAvg,3407,0.0029176771175116302,0.05390440875254916,0.044840221852064134,4.484022185206413,0.9229364194582506,,,10,30
gcn_fed_base_main,Independent,1234,0.009878043830394746,0.09775954005071293,0.0847246378660202,8.47246378660202,0.7360650982276372,,,0,30
gcn_fed_base_main,FedAvg,1234,0.0028370184358209372,0.05276535551271947,0.04128619655966759,4.128619655966759,0.9262105362839549,,,10,30
gcn_fed_base_main,Independent,5678,0.01185866529121995,0.10648034207697128,0.09153474718332291,9.15347471833229,0.6675092363969345,,,0,30
gcn_fed_base_main,FedAvg,5678,0.003316819667816162,0.056832906253187945,0.04676747247576714,4.676747247576714,0.9050327265209285,,,10,30
