round,method,avg_train_loss,avg_val_loss,avg_val_rmse,avg_val_mae,avg_val_mape,seed
1,FedAvg,0.0007206584321933665,0.0007462591142393648,0.026758338379146818,0.023798155412077904,2.3798155412077904,42
2,FedAvg,0.00021924928520872656,0.00024308301595738158,0.014836964311053469,0.01248188391327858,1.248188391327858,42
3,FedAvg,0.0001737676516807239,0.00019242916954681277,0.013207599006367652,0.010794145241379737,1.0794145241379738,42
4,FedAvg,0.00016471243800229526,0.0001927731873001903,0.01320476124810194,0.010784292221069336,1.0784292221069336,42
5,FedAvg,0.00017656575416497488,0.0001974789920495823,0.013365931477339513,0.010851660184562207,1.0851660184562206,42
6,FedAvg,0.0001765295217046514,0.00019343945838045328,0.013200349976356126,0.010767453536391258,1.0767453536391258,42
7,FedAvg,0.0001763368776716691,0.00021014424855820836,0.013799780368226346,0.011060928367078305,1.1060928367078304,42
8,FedAvg,0.00017585220293507778,0.00022361790848663077,0.014261101586709443,0.011378459818661212,1.1378459818661213,42
9,FedAvg,0.00018645764528108492,0.000187064228230156,0.012916687465212651,0.010637474618852139,1.0637474618852139,42
10,FedAvg,0.00019489873811835424,0.0002120735956123099,0.013848695007705669,0.011095277220010757,1.1095277220010757,42
1,FedAvg,0.000946433856151998,0.0007122329028788954,0.025631607035326392,0.022480664774775505,2.2480664774775505,2024
2,FedAvg,0.000228273855588798,0.0001778570795431733,0.012759078267758087,0.010079424083232879,1.007942408323288,2024
3,FedAvg,0.00018506357986812613,0.00016617729008430612,0.012688452941510931,0.010447490215301513,1.0447490215301514,2024
4,FedAvg,0.00019765159177560624,0.00016584894503466783,0.012450519621208186,0.010089781694114208,1.0089781694114208,2024
5,FedAvg,0.00018586995932439875,0.00017233294784091413,0.013031945250442304,0.01075422465801239,1.075422465801239,2024
6,FedAvg,0.00020308058397079418,0.00016390666423831134,0.012424351252241058,0.010145203769207,1.0145203769207,2024
7,FedAvg,0.00018333305995578745,0.00016345404903404416,0.01243088270572303,0.010178070887923241,1.017807088792324,2024
8,FedAvg,0.00019728812160402803,0.00019109846849460154,0.013888355739030838,0.011548152193427086,1.1548152193427086,2024
9,FedAvg,0.0001892605359067342,0.0001646422114572488,0.012581932250918979,0.010361932776868343,1.0361932776868343,2024
10,FedAvg,0.00019355857038005656,0.0001670897117583081,0.012417456957500333,0.010001740232110024,1.0001740232110023,2024
1,FedAvg,0.0013206755489643131,0.0015367139363661408,0.03902360558244991,0.036654455959796904,3.6654455959796906,3407
2,FedAvg,0.000248029518905761,0.00019507019504089838,0.014570479394190214,0.011578159034252166,1.1578159034252167,3407
3,FedAvg,0.00017546905657841956,0.00015692672161094376,0.013390873177423174,0.010639735497534275,1.0639735497534275,3407
4,FedAvg,0.00018330957058684103,0.00015562072017928584,0.013350657411130923,0.01062181405723095,1.062181405723095,3407
5,FedAvg,0.00018648436954078664,0.00016230001023359364,0.013512073882335187,0.010683686658740043,1.0683686658740044,3407
6,FedAvg,0.0001931053507100192,0.00015551256336038933,0.013301611723142986,0.010536019690334797,1.0536019690334797,3407
7,FedAvg,0.00017608522362674454,0.00015566855545330328,0.013289817157950346,0.010509257949888707,1.0509257949888706,3407
8,FedAvg,0.0001700098435893389,0.00015227902549668214,0.013193963624702088,0.010489274561405183,1.0489274561405182,3407
9,FedAvg,0.00019902513300101938,0.00015476125889108517,0.013342889370251822,0.010774001851677895,1.0774001851677895,3407
10,FedAvg,0.00019949492050467857,0.00015661283599911258,0.013279093042583689,0.0104514691978693,1.04514691978693,3407
1,FedAvg,0.002161907048097679,0.001035258953925222,0.033172413037144514,0.030747511982917787,3.0747511982917786,1234
2,FedAvg,0.0003341957381261246,0.00034672088804654777,0.019120157931150225,0.015696944668889046,1.5696944668889046,1234
3,FedAvg,0.0001761033186422927,0.0001852174397208728,0.01329643961849237,0.010494016297161578,1.049401629716158,1234
4,FedAvg,0.0001753779872420377,0.00017450353159802033,0.012514545418110068,0.00993296131491661,0.9932961314916611,1234
5,FedAvg,0.00017416891662703295,0.00017844564747065305,0.012926492645693297,0.01021580845117569,1.021580845117569,1234
6,FedAvg,0.00017817929150104256,0.00017429108964279292,0.012442038028361723,0.009888945147395134,0.9888945147395134,1234
7,FedAvg,0.00017970288850067717,0.00017374789313180373,0.012429281541031057,0.009874802455306054,0.9874802455306053,1234
8,FedAvg,0.00018895176775653717,0.00018050314509309825,0.013080512658911062,0.010328810848295688,1.0328810848295689,1234
9,FedAvg,0.00017657054351210327,0.0001735475187888369,0.012638876983544406,0.009989424608647823,0.9989424608647823,1234
10,FedAvg,0.00018684953442841239,0.0001719746539311018,0.012483523774861638,0.009890166297554969,0.989016629755497,1234
1,FedAvg,0.0007590630515811167,0.00017946909632883036,0.013589578347745079,0.010623396933078766,1.0623396933078766,5678
2,FedAvg,0.00021570975343430682,0.00015512268029851836,0.012597020654704102,0.010348507948219777,1.0348507948219776,5678
3,FedAvg,0.00019309559371322394,0.00015027482048026288,0.012457728304955602,0.010061407275497914,1.0061407275497913,5678
4,FedAvg,0.0001935761485947296,0.00014817877774476071,0.01237310624675742,0.01001257635653019,1.001257635653019,5678
5,FedAvg,0.00019138251847055344,0.00015383474841655696,0.012622302915625286,0.010012452118098735,1.0012452118098736,5678
6,FedAvg,0.00019787211536562865,0.0001554887201928068,0.012633586405298125,0.010443894192576408,1.0443894192576408,5678
7,FedAvg,0.00019366440637635864,0.00015855364355957138,0.012761196192224156,0.01056324616074562,1.056324616074562,5678
8,FedAvg,0.0001891964942998519,0.0001407688575272914,0.012067048940908974,0.00982187632471323,0.982187632471323,5678
9,FedAvg,0.0001917636185784691,0.0001391792313370388,0.012001017467114673,0.00975811593234539,0.975811593234539,5678
10,FedAvg,0.0001905621493226915,0.00014003874857735352,0.01202976841371925,0.00966692939400673,0.9666929394006729,5678
