round,avg_train_loss,avg_val_rmse,client_0_train_loss,client_0_val_rmse,client_1_train_loss,client_1_val_rmse,client_2_train_loss,client_2_val_rmse,client_3_train_loss,client_3_val_rmse,client_4_train_loss,client_4_val_rmse
1,0.0016460184262749474,0.02714756283357277,0.0016385619478699353,0.025252623765189143,0.0014672282970942822,0.028154000341260983,0.0016034964037576823,0.02513203043479803,0.001629577748410936,0.030576089461711104,0.0018912277342419007,0.026623070164904603
2,0.0002669005069765262,0.014172640344381374,0.00022792977376541655,0.015758545523921884,0.00019670919781284674,0.013521425414995165,0.0002465077509571399,0.01482787126060496,0.00031026151180932565,0.012643546468308231,0.0003530943005379023,0.014111813054076626
3,0.00016407191108945492,0.014047676779467744,0.00015231964228275632,0.014959861559344477,0.00014035410463943013,0.01367811684238496,0.0001625998750179341,0.014083338032363767,0.00018559917350233134,0.013687953903140919,0.0001794867600048227,0.013829113560104593
4,0.00016808382019267552,0.013999681638938185,0.00016727447426611824,0.014965772502303182,0.00013677409525761114,0.01359324526175181,0.0001459235096782712,0.014087771930059698,0.00023797682037443986,0.013540277912304416,0.00015247020138693708,0.013811340588271822
5,0.00016193127621331118,0.014056725797806605,0.00018522527077168759,0.0155773818396633,0.00016843057216777067,0.013399893036091513,0.00013867137271777858,0.014661419400932213,0.00016849589218119424,0.012630320933891225,0.00014883327322812485,0.014014613778454766
6,0.00016663756221532822,0.01404378797273359,0.00015083210746524855,0.015586278478159946,0.00019561674395975257,0.01336908278377001,0.00014329945947143383,0.014671928921030166,0.00019001003030488,0.012571779416001481,0.0001534294698753261,0.014019870264706349
7,0.00016610724169627896,0.01415038916054367,0.00015346043447997154,0.01584675750882573,0.00018720883693146918,0.013404571240535809,0.00014519234537146986,0.014926331214187077,0.00018943140707311352,0.012397808837817008,0.0001552431846253707,0.014176477001352718
8,0.00015498586543669391,0.01388486773896877,0.00015720527195039072,0.015229901530417225,0.0001406928732259465,0.013268778194270437,0.0001397162364030789,0.014326173261305645,0.00017637523830801781,0.012761509457857874,0.00016093970729603565,0.013837976250992666
9,0.00015752967706898093,0.014035316627579942,0.00017140777532144316,0.015676264929967543,0.00014579458771290125,0.013290798589840684,0.00015121684368101082,0.014756649783214145,0.00016491634929220058,0.012383462959497977,0.00015431282933734889,0.014069406875379355
10,0.0001604047079204715,0.01389216207855433,0.00016467654329192425,0.015387776121433442,0.0001339711993101186,0.013191831215102793,0.00018439664438899074,0.014472974295602887,0.0001712349887904046,0.012501528067246977,0.00014774416382091918,0.013906700693385544
11,0.00015904562522856783,0.01386938827059724,0.0001609208295121789,0.015381862214108198,0.0001411612395064107,0.01314954945509263,0.00014835223139795874,0.014464230636322252,0.00018810199627686025,0.012448400534959426,0.00015669182944943064,0.013902898512503701
12,0.00016802276517929776,0.013767744358360154,0.0002211346141328769,0.015148746899018191,0.00015235353244601616,0.013083302837358582,0.0001448563308388527,0.014235175914914643,0.00016594519090306546,0.012576079858532735,0.00015582415757567754,0.01379541628197661
13,0.00016500263907281418,0.01368885609043447,0.00014448722878504278,0.014789882378395252,0.00013596173750037062,0.013101250986935403,0.00015720444332276073,0.01389722109149983,0.00022605701773760042,0.012961743157446401,0.00016130276801829625,0.013694182837895471
14,0.00016313804230386658,0.014355751275308993,0.00015928370162977704,0.01636315919479865,0.0001350518735957199,0.01341330576682851,0.00017085942755719382,0.015418813063416593,0.00019175555457227997,0.012038842983258961,0.00015873965416436216,0.014544635368242244
15,0.0002032259266291346,0.013752206633797,0.0001790306655623551,0.014470711946999611,0.00014822807861492038,0.013293029753768936,0.0001825465088976281,0.013614121285275171,0.00022048742144501634,0.013623178880489499,0.00028583695862575303,0.013759991302451789
