experiment,method,metric,mean,std,ci95_lower,ci95_upper,best,worst,n
gcn_fed_base_main,FedAvg,mae,0.04378333680331707,0.003757952827114595,0.040489345916072096,0.04707732769056205,0.03761895634233951,0.04933523163199425,5
gcn_fed_base_main,FedAvg,rmse,0.053268433226251966,0.004268869698659837,0.04952660395560133,0.0570102624969026,0.04627304963620839,0.05964855857901258,5
gcn_fed_base_main,FedAvg,mape,4.378333680331707,0.3757952827114594,4.0489345916072095,4.7077327690562045,3.7618956342339516,4.933523163199425,5
gcn_fed_base_main,FedAvg,r2,0.9087408764499643,0.018486453316972615,0.8925367856683504,0.9249449672315782,0.9357412575524027,0.8776187010127942,5
gcn_fed_base_main,FedAvg,communication_rounds,10.0,0.0,10.0,10.0,10.0,10.0,5
gcn_fed_base_main,FedAvg,convergence_round,30.0,0.0,30.0,30.0,30.0,30.0,5
gcn_fed_base_main,Independent,mae,0.07455206960439682,0.009196638678808579,0.06649086037827145,0.08261327883052219,0.06376995220780372,0.08792306631803512,5
gcn_fed_base_main,Independent,rmse,0.09014571290122839,0.010291372619304696,0.0811249270678786,0.09916649873457817,0.07758478713381503,0.10485821055390723,5
gcn_fed_base_main,Independent,mape,7.455206960439682,0.9196638678808581,6.649086037827145,8.26132788305222,6.376995220780373,8.792306631803513,5
gcn_fed_base_main,Independent,r2,0.7493552340949,0.04745327778567339,0.707760602180393,0.790949866009407,0.8155445797384797,0.6917291106440648,5
gcn_fed_base_main,Independent,communication_rounds,0.0,0.0,0.0,0.0,0.0,0.0,5
gcn_fed_base_main,Independent,convergence_round,30.0,0.0,30.0,30.0,30.0,30.0,5
