method,round,n,avg_train_loss_mean,avg_train_loss_std,avg_train_loss_ci95_lower,avg_train_loss_ci95_upper,avg_val_loss_mean,avg_val_loss_std,avg_val_loss_ci95_lower,avg_val_loss_ci95_upper,avg_val_rmse_mean,avg_val_rmse_std,avg_val_rmse_ci95_lower,avg_val_rmse_ci95_upper
FedAvg,1,5,0.0011817475873976946,0.000534163181974016,0.0007135329144968706,0.0016499622602985187,0.0008419868007476905,0.00044383093420880746,0.0004529518340997034,0.0012310217673956775,0.02763510847636254,0.00851374498743912,0.02017248196263785,0.03509773499008723
FedAvg,2,5,0.0002490916302527434,4.400484577190045e-05,0.00021051968227048086,0.00028766357823500595,0.00022357077177730388,6.8020356613508e-05,0.00016394830041060402,0.00028319324314400373,0.014776740111771219,0.0023551469177016853,0.012712362818619032,0.016841117404923407
FedAvg,3,5,0.00018069984009655725,7.338137017592773e-06,0.0001742676794023356,0.00018713200079077888,0.00017020508828863968,1.618044645991297e-05,0.0001560223016379005,0.00018438787493937886,0.013008218609749943,0.00036729771816716565,0.012686267964755426,0.013330169254744461
FedAvg,4,5,0.00018292554724030197,1.1992682609327672e-05,0.00017241349744986378,0.00019343759703074017,0.000167385032371385,1.5523338973111113e-05,0.0001537782258281789,0.0001809918389145911,0.012778717989061708,0.00041246812300843946,0.012417173738515051,0.013140262239608364
FedAvg,5,5,0.0001828943036255493,6.480367395720829e-06,0.00017721401115527533,0.00018857459609582328,0.00017287846920226,1.4906668892176783e-05,0.0001598121978175524,0.0001859447405869676,0.013091749234287114,0.00031721122767786774,0.012813701333908075,0.013369797134666152
FedAvg,6,5,0.0001897533726504272,1.0616910002952617e-05,0.00018044724071920819,0.0001990595045816462,0.00016852769916295073,1.4244824417673019e-05,0.00015604156003856817,0.0001810138382873333,0.012800387477080006,0.0003765198302889271,0.012470353294402138,0.013130421659757873
FedAvg,7,5,0.0001818244912262474,6.480951528931867e-06,0.00017614368674063883,0.00018750529571185596,0.0001723136779473862,1.9890202209201458e-05,0.00015487914701079773,0.00018974820888397465,0.012942191593030986,0.0005317094837451141,0.012476127681456312,0.01340825550460566
FedAvg,8,5,0.00018425968603696675,9.898198037051499e-06,0.00017558353292005072,0.00019293583915388278,0.00017765348101966084,2.9346057006557342e-05,0.00015193052791106834,0.00020337643412825335,0.013298196510052481,0.0007549104837852329,0.012636488295853437,0.013959904724251525
FedAvg,9,5,0.0001886154952558822,7.326997951468902e-06,0.00018219309838361162,0.00019503789212815277,0.00016383888974087313,1.627772272863468e-05,0.00014957083668114588,0.00017810694280060037,0.012696280707408506,0.00043964613772183656,0.012310913876611932,0.01308164753820508
FedAvg,10,5,0.00019307278255083863,4.239010635685342e-06,0.00018935712590285373,0.00019678843919882354,0.00016955790917563718,2.391013178072547e-05,0.0001485997546106665,0.00019051606374060785,0.012811707439274117,0.0006585376403690823,0.012234473746867947,0.013388941131680288
