method,平均RMSE,平均MAE,平均R2,中位数R2,低R2节点比例,best_k,silhouette_score,calinski_harabasz_score,davies_bouldin_score,inertia,min_cluster_count,max_cluster_count,hard_min_required_count,soft_min_required_count,min_required_count,is_valid_cluster_size,min_cluster_ratio,max_cluster_ratio,tiny_cluster_penalty,dominant_cluster_penalty,negative_silhouette_ratio,_selection_score
M0_original_fourier,38.666566871662894,28.613101144972745,0.8994941446684632,0.93189408029086,0.20444433870238635,3,0.42326099093422553,13721.835887522899,1.6385755682370657,916245.1048742215,2504,32821,3,10,10,true,0.05957507553948276,0.7808760200804168,0.0,0.0,0.105,0.8500000000000001
M1_three_date_type_curves,33.498645953983676,25.095780766809447,0.8971723838819641,0.9327147137423376,0.21408008374771004,3,0.5043768450163343,11953.31780985008,1.6801062401785518,951292.331278979,1490,35170,3,10,10,true,0.03545002498156123,0.8367633413432942,0.0,0.0,0.06925,0.8500000000000001
M2_shape_normalized_weighted_curve,39.86595885044214,29.438907090572133,0.8976691797779903,0.9300858924679298,0.21008303395113131,3,0.4182719469380846,13521.88264587873,1.6427162752399689,922470.8262151685,2539,32749,3,10,10,true,0.06040779424710333,0.779162998739026,0.0,0.0,0.106875,0.8500000000000001
M3_multiplicative_corrected_single_curve,38.52230722878823,28.52628594131596,0.899690020119656,0.9320963073827448,0.2038495396255145,3,0.42076427622779183,13662.470674015674,1.64183067535126,916688.0424005953,2508,32793,3,10,10,true,0.05967024339178226,0.7802098451143203,0.0,0.0,0.106375,0.8500000000000001
