variant,variant_label,metric,mean,std,cv,min,max,count
full,Full,mse,3742910733032.4824,70432458321.479,0.018817562946369035,3672478274711.0034,3813343191353.9614,2
full,Full,rmse,1934574.7237805822,18203.602439258248,0.009409614534653088,1916371.121341324,1952778.3262198404,2
full,Full,mae,1932202.3943599039,18660.431688168203,0.009657596814204339,1913541.9626717356,1950862.826048072,2
full,Full,mape,99.99993462481658,6.935754086612178e-07,6.935758620877098e-09,99.99993393124117,99.99993531839199,2
full,Full,smape,199.99973849943777,2.7742979398226453e-06,1.3871507836148718e-08,199.99973572513983,199.9997412737357,2
full,Full,r2,-423.4565499267003,85.5242215028398,0.20196693502000126,-508.9807714295401,-337.9323284238605,2
without_attention,Without Attention,mse,3742910721180.457,70432455791.02222,0.01881756232988878,3672478265389.4346,3813343176971.479,2
without_attention,Without Attention,rmse,1934574.7207232532,18203.60181401798,0.00940961422633107,1916371.1189092353,1952778.3225372713,2
without_attention,Without Attention,mae,1932202.3912261606,18660.43110068259,0.009657596525817786,1913541.960125478,1950862.8223268432,2
without_attention,Without Attention,mape,99.99993445866892,6.667719176789433e-07,6.667723546904198e-09,99.999933791897,99.99993512544084,2
without_attention,Without Attention,smape,199.99973783484802,2.6670841037912396e-06,1.3335437999391848e-08,199.99973516776393,199.99974050193214,2
without_attention,Without Attention,r2,-423.45654853483046,85.52422097125583,0.2019669344285066,-508.9807695060863,-337.93232756357463,2
without_cnn,Without CNN / Spatial Encoder,mse,3742911344579.701,70432461811.5603,0.018817560804253914,3672478882768.141,3813343806391.2617,2
without_cnn,Without CNN / Spatial Encoder,rmse,1934574.8818433583,18203.601853976492,0.00940961346331097,1916371.2799893818,1952778.4836973348,2
without_cnn,Without CNN / Spatial Encoder,mae,1932202.5525444627,18660.43110068259,0.009657595719511495,1913542.1214437801,1950862.9836451453,2
without_cnn,Without CNN / Spatial Encoder,mape,99.99994283003718,5.81607444871679e-07,5.816077773766291e-09,99.99994224842975,99.99994341164464,2
without_cnn,Without CNN / Spatial Encoder,smape,199.99977132027988,2.3264270225809014e-06,1.1632148413086724e-08,199.99976899385285,199.9997736467069,2
without_cnn,Without CNN / Spatial Encoder,r2,-423.4566191117141,85.52423457037483,0.2019669328815292,-508.9808536820889,-337.9323845413392,2
without_lstm,Without LSTM,mse,12496227492.713657,2030984231.8675785,0.1625277895310254,10465243260.846079,14527211724.581236,2
without_lstm,Without LSTM,rmse,111414.3274602542,9114.555902121785,0.08180775408237599,102299.77155813242,120528.88336237599,2
without_lstm,Without LSTM,mae,84358.75391069398,6767.997511376561,0.08022875158328525,77590.75639931741,91126.75142207053,2
without_lstm,Without LSTM,mape,4.422720926937593,0.3886762741281067,0.08788170914442847,4.034044652809486,4.8113972010657,2
without_lstm,Without LSTM,smape,4.434952181386533,0.386849523176648,0.08722743952014929,4.048102658209885,4.821801704563181,2
without_lstm,Without LSTM,r2,-0.37014602629285054,0.029432391790496504,0.07951562275373533,-0.39957841808334704,-0.34071363450235403,2
