variant,variant_label,mse,rmse,mae,mape,smape,r2
full,Full,3742910733032.4824,1934574.7237805822,1932202.3943599039,99.99993462481658,199.99973849943777,-423.4565499267003
without_attention,Without Attention,3742910721180.457,1934574.7207232532,1932202.3912261606,99.99993445866892,199.99973783484802,-423.45654853483046
without_cnn,Without CNN / Spatial Encoder,3742911344579.701,1934574.8818433583,1932202.5525444627,99.99994283003718,199.99977132027988,-423.4566191117141
without_lstm,Without LSTM,12496227492.713657,111414.3274602542,84358.75391069398,4.422720926937593,4.434952181386533,-0.37014602629285054
