variant,variant_label,communication_round,train_loss,val_rmse,val_rmse_std,val_mae,test_rmse,test_rmse_std
full,Full,1,3749929847808.0,1942242.6891747266,17690.637810400105,1939903.5726494014,1934574.7237805822,18203.602439258248
without_attention,Without Attention,1,3749929553920.0,1942242.6864207215,17690.63723428757,1939903.569861381,1934574.7207232532,18203.60181401798
without_cnn,Without CNN / Spatial Encoder,1,3749930685440.0,1942242.8475442282,17690.637290684856,1939903.7311796832,1934574.8818433583,18203.601853976492
without_lstm,Without LSTM,1,1290811324378.75,105799.15580047909,13669.866846854471,76431.3083712984,111414.3274602542,9114.555902121785
