variant,variant_label,client_id,entity_kind,entity_id,train_samples,val_samples,test_samples,region_id,pooled_row,pooled_col,centroid_lon,centroid_lat,source_node_count,mean_total_flow,is_active_region,mse,rmse,mae,mape,smape,r2
full,Full,0,region,290,4087,878,879,290,9,20,116.465194,39.91456970750988,667,1953917.875,True,3813343191353.9614,1952778.3262198404,1950862.826048072,99.99993531839199,199.9997412737357,-508.9807714295401
full,Full,1,region,284,4087,878,879,284,9,14,116.357194,39.91456970750988,698,1914353.125,True,3672478274711.0034,1916371.121341324,1913541.9626717356,99.99993393124117,199.99973572513983,-337.9323284238605
without_attention,Without Attention,0,region,290,4087,878,879,290,9,20,116.465194,39.91456970750988,667,1953917.875,True,3813343176971.479,1952778.3225372713,1950862.8223268432,99.99993512544084,199.99974050193214,-508.9807695060863
without_attention,Without Attention,1,region,284,4087,878,879,284,9,14,116.357194,39.91456970750988,698,1914353.125,True,3672478265389.4346,1916371.1189092353,1913541.960125478,99.999933791897,199.99973516776393,-337.93232756357463
without_cnn,Without CNN / Spatial Encoder,0,region,290,4087,878,879,290,9,20,116.465194,39.91456970750988,667,1953917.875,True,3813343806391.2617,1952778.4836973348,1950862.9836451453,99.99994341164464,199.9997736467069,-508.9808536820889
without_cnn,Without CNN / Spatial Encoder,1,region,284,4087,878,879,284,9,14,116.357194,39.91456970750988,698,1914353.125,True,3672478882768.141,1916371.2799893818,1913542.1214437801,99.99994224842975,199.99976899385285,-337.9323845413392
without_lstm,Without LSTM,0,region,290,4087,878,879,290,9,20,116.465194,39.91456970750988,667,1953917.875,True,10465243260.846079,102299.77155813242,77590.75639931741,4.034044652809486,4.048102658209885,-0.39957841808334704
without_lstm,Without LSTM,1,region,284,4087,878,879,284,9,14,116.357194,39.91456970750988,698,1914353.125,True,14527211724.581236,120528.88336237599,91126.75142207053,4.8113972010657,4.821801704563181,-0.34071363450235403
