missing_rate,method,length_group,chunk_count,missing_count,valid_eval_count,fallback_count,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,exclude_warmup
0.05,correlation_topology_neighbor_fill,long,54,988155,988155,9605,43933937.734375,11960504240.0,28046.06378173828,983166,29255.855796813965,987443,0.0,10384.48046875,44.460573224215835,110.01761056781861,0.028526275096716406,0.029627893252384154,0.010594426066753596,True
0.05,correlation_topology_neighbor_fill,mid,54,1260458,1260458,12310,56797046.96875,15244419372.0,35514.236251831055,1252978,40259.402252197266,1259343,0.0,10374.009765625,45.06064221794776,109.97431215214563,0.028343862583246518,0.031968575878213695,0.010600945500991634,True
0.05,correlation_topology_neighbor_fill,short,54,8646091,8646091,75892,390513328.5,105403835520.0,264091.2692871094,8596931,271712.52978515625,8638940,0.0,10472.572265625,45.166460600518775,110.41251596174322,0.03071924961211267,0.0314520681686823,0.010543017814654712,True
0.1,correlation_topology_neighbor_fill,long,54,825255,825255,17513,40627005.328125,12167676411.0,28472.44416809082,820254,27594.973655700684,824317,0.0,10468.935546875,49.22963850946071,121.4254561446278,0.034711740714572344,0.03347616712466282,0.011598643969192605,True
0.1,correlation_topology_neighbor_fill,mid,54,1291258,1291258,27905,60238842.3125,17291523968.0,90707.5622253418,1284162,40709.77772521973,1290062,0.0,10389.98046875,46.6512829446168,115.72045241878313,0.07063560689799402,0.031556450562236334,0.011137696819241975,True
0.1,correlation_topology_neighbor_fill,short,54,19671416,19671416,399340,927369817.0,264961652736.0,607452.591796875,19558887,636115.0498046875,19654101,0.0,10465.4638671875,47.14301283649331,116.05763081637865,0.03105762571238716,0.032365512409073684,0.011089583059978411,True
0.2,correlation_topology_neighbor_fill,long,54,907843,907843,50631,48026715.03125,15351026226.0,32300.022327423096,903004,30989.304573059082,906906,0.0,10436.869140625,52.90200511679883,130.03591926859997,0.035769522978218365,0.03417036007376628,0.012459284246694399,True
0.2,correlation_topology_neighbor_fill,mid,54,1224720,1224720,68034,64473421.71875,20795966024.0,50747.814224243164,1217810,42460.743591308594,1223510,0.0,10392.5244140625,52.64339744492619,130.30801962694875,0.041671372565706605,0.03470404295127019,0.012538630118648003,True
0.2,correlation_topology_neighbor_fill,short,54,41443227,41443227,2251025,2161383748.0,690361635840.0,1442021.611328125,41207591,1427464.328125,41401491,0.0,10477.7548828125,52.152882496336495,129.06590834925998,0.03499407697305394,0.034478572960693614,0.012318088158463901,True
0.3,correlation_topology_neighbor_fill,long,54,897610,897610,94869,53889446.515625,19685543388.0,33353.40251159668,892456,34184.25891876221,896523,0.0,9941.21875,60.03659330402402,148.09140808487567,0.03737260157542409,0.03812981810702258,0.014896705505537303,True
0.3,correlation_topology_neighbor_fill,mid,54,1261678,1261678,133273,74336371.65625,26724624376.0,49016.54656982422,1254479,47034.27786254883,1260214,0.0,10440.09375,58.91865567621057,145.5397215672801,0.03907323005791585,0.03732245306158226,0.013940461173280183,True
0.3,correlation_topology_neighbor_fill,short,54,63208024,63208024,6571098,3695139264.0,1312746975232.0,2500336.6640625,62848550,2353572.4140625,63135489,0.0,10465.818359375,58.45997122137531,144.11341390052496,0.03978352188017862,0.03727812124908861,0.013769913536807375,True
