missing_rate,method,chunk_index,day_index,file_name,output_path,row_count,missing_count,fallback_count
0.2,correlation_topology_neighbor_fill,25,25,node_flow_chunk_025.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ctn\node_flow_chunk_025.parquet,4034976,808001,1755
0.2,correlation_topology_neighbor_fill,26,26,node_flow_chunk_026.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ctn\node_flow_chunk_026.parquet,4034976,806862,1999
0.2,correlation_topology_neighbor_fill,27,27,node_flow_chunk_027.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ctn\node_flow_chunk_027.parquet,4034976,807753,2052
0.2,correlation_topology_neighbor_fill,28,28,node_flow_chunk_028.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ctn\node_flow_chunk_028.parquet,4034976,806067,1674
0.2,correlation_topology_neighbor_fill,29,29,node_flow_chunk_029.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ctn\node_flow_chunk_029.parquet,4034976,807328,1797
0.2,correlation_topology_neighbor_fill,30,30,node_flow_chunk_030.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ctn\node_flow_chunk_030.parquet,4034976,806548,1748
0.2,correlation_topology_neighbor_fill,31,31,node_flow_chunk_031.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ctn\node_flow_chunk_031.parquet,4034976,806725,1544
0.2,correlation_topology_neighbor_fill,32,32,node_flow_chunk_032.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ctn\node_flow_chunk_032.parquet,4034976,806226,1503
0.2,correlation_topology_neighbor_fill,33,33,node_flow_chunk_033.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ctn\node_flow_chunk_033.parquet,4034976,808533,1706
0.2,correlation_topology_neighbor_fill,34,34,node_flow_chunk_034.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ctn\node_flow_chunk_034.parquet,4034976,807171,1576
0.2,correlation_topology_neighbor_fill,35,35,node_flow_chunk_035.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ctn\node_flow_chunk_035.parquet,4034976,805899,1501
0.2,correlation_topology_neighbor_fill,36,36,node_flow_chunk_036.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ctn\node_flow_chunk_036.parquet,4034976,807565,1819
0.2,correlation_topology_neighbor_fill,37,37,node_flow_chunk_037.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ctn\node_flow_chunk_037.parquet,4034976,807261,1766
0.2,correlation_topology_neighbor_fill,38,38,node_flow_chunk_038.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ctn\node_flow_chunk_038.parquet,4034976,807501,1518
0.2,correlation_topology_neighbor_fill,39,39,node_flow_chunk_039.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ctn\node_flow_chunk_039.parquet,4034976,806867,1763
0.2,correlation_topology_neighbor_fill,40,40,node_flow_chunk_040.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ctn\node_flow_chunk_040.parquet,4034976,807050,1670
0.2,correlation_topology_neighbor_fill,41,41,node_flow_chunk_041.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ctn\node_flow_chunk_041.parquet,4034976,806259,1814
0.2,correlation_topology_neighbor_fill,42,42,node_flow_chunk_042.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ctn\node_flow_chunk_042.parquet,4034976,806271,1772
0.2,correlation_topology_neighbor_fill,43,43,node_flow_chunk_043.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ctn\node_flow_chunk_043.parquet,4034976,807903,1835
0.2,correlation_topology_neighbor_fill,44,44,node_flow_chunk_044.parquet,E:\Jupter_Notebook\FedTrafficFlow\results\rdm_exp\scenarios\snh_mix\imp\imp_data\snh_r20_mix_s42_m_ctn\node_flow_chunk_044.parquet,4034976,806955,1673
