scenario,missing_rate,metric,rank,method,value
g_mcar_pt,0.3,SMAPE,1,forward_fill,0.056088853683377
g_mcar_pt,0.3,SMAPE,2,mean_fill,0.0712513627168914
g_mcar_pt,0.3,SMAPE,3,function_curve_fit,0.0756790693709623
g_mcar_pt,0.3,SMAPE,4,historical_linear_extrapolation,0.0929374527251733
g_mcar_pt,0.3,SMAPE,5,topology_function_hybrid,0.1330815593845033
g_mcar_pt,0.3,SMAPE,6,road_topology_neighbor_fill,0.2006041343039253
g_mcar_pt,0.3,NRMSE,1,forward_fill,0.0203948728755486
g_mcar_pt,0.3,NRMSE,2,function_curve_fit,0.0246289556937199
g_mcar_pt,0.3,NRMSE,3,mean_fill,0.0246833861746635
g_mcar_pt,0.3,NRMSE,4,historical_linear_extrapolation,0.0325475638764273
g_mcar_pt,0.3,NRMSE,5,topology_function_hybrid,0.0428321813121454
g_mcar_pt,0.3,NRMSE,6,road_topology_neighbor_fill,0.0754009028052739
ntb_mix,0.05,RMSE,1,mean_fill,250.59862176522364
ntb_mix,0.05,RMSE,2,function_curve_fit,257.8246319470896
ntb_mix,0.05,RMSE,3,historical_linear_extrapolation,317.0631127154894
ntb_mix,0.05,RMSE,4,forward_fill,355.32311099238177
ntb_mix,0.05,RMSE,5,topology_function_hybrid,477.2963399096611
ntb_mix,0.05,RMSE,6,road_topology_neighbor_fill,855.1866678502969
ntb_mix,0.05,MAE,1,mean_fill,129.2021253290808
ntb_mix,0.05,MAE,2,function_curve_fit,135.52758211002927
ntb_mix,0.05,MAE,3,historical_linear_extrapolation,163.80394730160603
ntb_mix,0.05,MAE,4,forward_fill,173.55776927706438
ntb_mix,0.05,MAE,5,topology_function_hybrid,303.4143088308325
ntb_mix,0.05,MAE,6,road_topology_neighbor_fill,523.4508674387947
ntb_mix,0.05,SMAPE,1,mean_fill,0.0697596129064356
ntb_mix,0.05,SMAPE,2,function_curve_fit,0.0756537450395552
ntb_mix,0.05,SMAPE,3,historical_linear_extrapolation,0.08703611580843
ntb_mix,0.05,SMAPE,4,forward_fill,0.0903769174087609
ntb_mix,0.05,SMAPE,5,topology_function_hybrid,0.137509478782422
ntb_mix,0.05,SMAPE,6,road_topology_neighbor_fill,0.207489261705985
ntb_mix,0.05,NRMSE,1,mean_fill,0.023940396159691
ntb_mix,0.05,NRMSE,2,function_curve_fit,0.0246307173800922
ntb_mix,0.05,NRMSE,3,historical_linear_extrapolation,0.0302899372413347
ntb_mix,0.05,NRMSE,4,forward_fill,0.0339450232484557
ntb_mix,0.05,NRMSE,5,topology_function_hybrid,0.0455974712970012
ntb_mix,0.05,NRMSE,6,road_topology_neighbor_fill,0.0816984047023335
ntb_mix,0.1,RMSE,1,mean_fill,251.9876657623055
ntb_mix,0.1,RMSE,2,function_curve_fit,258.0323617766764
ntb_mix,0.1,RMSE,3,historical_linear_extrapolation,320.1970858069428
ntb_mix,0.1,RMSE,4,forward_fill,356.80820036574426
ntb_mix,0.1,RMSE,5,topology_function_hybrid,470.33760407649913
ntb_mix,0.1,RMSE,6,road_topology_neighbor_fill,839.1719188404072
ntb_mix,0.1,MAE,1,mean_fill,129.8670978585645
ntb_mix,0.1,MAE,2,function_curve_fit,135.71906498047284
ntb_mix,0.1,MAE,3,historical_linear_extrapolation,165.27833376764747
ntb_mix,0.1,MAE,4,forward_fill,174.17594616529215
ntb_mix,0.1,MAE,5,topology_function_hybrid,299.6836552219504
ntb_mix,0.1,MAE,6,road_topology_neighbor_fill,515.7834595535355
ntb_mix,0.1,SMAPE,1,mean_fill,0.0699353490455836
ntb_mix,0.1,SMAPE,2,function_curve_fit,0.0755679440213078
ntb_mix,0.1,SMAPE,3,historical_linear_extrapolation,0.0878388091603447
ntb_mix,0.1,SMAPE,4,forward_fill,0.0905129474036541
ntb_mix,0.1,SMAPE,5,topology_function_hybrid,0.1363214062195465
ntb_mix,0.1,SMAPE,6,road_topology_neighbor_fill,0.2056754057758339
ntb_mix,0.1,NRMSE,1,mean_fill,0.0240700369807438
ntb_mix,0.1,NRMSE,2,function_curve_fit,0.0246474305454769
ntb_mix,0.1,NRMSE,3,historical_linear_extrapolation,0.0305854481932045
ntb_mix,0.1,NRMSE,4,forward_fill,0.034082567302867
ntb_mix,0.1,NRMSE,5,topology_function_hybrid,0.0449269748553276
ntb_mix,0.1,NRMSE,6,road_topology_neighbor_fill,0.0801582849644061
ntb_mix,0.2,RMSE,1,mean_fill,258.74543032150154
ntb_mix,0.2,RMSE,2,function_curve_fit,262.50825094933595
ntb_mix,0.2,RMSE,3,historical_linear_extrapolation,333.77113207306485
ntb_mix,0.2,RMSE,4,forward_fill,336.3315601288929
ntb_mix,0.2,RMSE,5,topology_function_hybrid,459.93198686407766
ntb_mix,0.2,RMSE,6,road_topology_neighbor_fill,812.0092493105105
ntb_mix,0.2,MAE,1,mean_fill,132.7239510619491
ntb_mix,0.2,MAE,2,function_curve_fit,137.64460397316466
ntb_mix,0.2,MAE,3,forward_fill,162.26340486424914
ntb_mix,0.2,MAE,4,historical_linear_extrapolation,171.30759376901747
ntb_mix,0.2,MAE,5,topology_function_hybrid,294.3129556963594
ntb_mix,0.2,MAE,6,road_topology_neighbor_fill,503.6381653646443
ntb_mix,0.2,SMAPE,1,mean_fill,0.0707315435794279
ntb_mix,0.2,SMAPE,2,function_curve_fit,0.0759563277771993
ntb_mix,0.2,SMAPE,3,forward_fill,0.085195779909616
ntb_mix,0.2,SMAPE,4,historical_linear_extrapolation,0.0905695865301663
ntb_mix,0.2,SMAPE,5,topology_function_hybrid,0.1343711796875781
ntb_mix,0.2,SMAPE,6,road_topology_neighbor_fill,0.2025252357936629
ntb_mix,0.2,NRMSE,1,mean_fill,0.0247155433485057
ntb_mix,0.2,NRMSE,2,function_curve_fit,0.0250749705902712
ntb_mix,0.2,NRMSE,3,historical_linear_extrapolation,0.0318820505273524
ntb_mix,0.2,NRMSE,4,forward_fill,0.0321266243949021
ntb_mix,0.2,NRMSE,5,topology_function_hybrid,0.0439330230666448
ntb_mix,0.2,NRMSE,6,road_topology_neighbor_fill,0.0775636878911626
ntb_mix,0.3,RMSE,1,mean_fill,262.9699638635287
ntb_mix,0.3,RMSE,2,function_curve_fit,263.020892644458
ntb_mix,0.3,RMSE,3,forward_fill,344.2168516943999
ntb_mix,0.3,RMSE,4,historical_linear_extrapolation,350.62159620876974
ntb_mix,0.3,RMSE,5,topology_function_hybrid,450.1342266345557
ntb_mix,0.3,RMSE,6,road_topology_neighbor_fill,789.3458412484975
ntb_mix,0.3,MAE,1,mean_fill,134.7249812957435
ntb_mix,0.3,MAE,2,function_curve_fit,138.14688008289872
ntb_mix,0.3,MAE,3,forward_fill,166.23994545054626
ntb_mix,0.3,MAE,4,historical_linear_extrapolation,178.00084145824573
ntb_mix,0.3,MAE,5,topology_function_hybrid,289.6764251896899
ntb_mix,0.3,MAE,6,road_topology_neighbor_fill,494.21134627291855
ntb_mix,0.3,SMAPE,1,mean_fill,0.0715450724172489
ntb_mix,0.3,SMAPE,2,function_curve_fit,0.0761389325713791
ntb_mix,0.3,SMAPE,3,forward_fill,0.0870838220313555
ntb_mix,0.3,SMAPE,4,historical_linear_extrapolation,0.0939655870384374
ntb_mix,0.3,SMAPE,5,topology_function_hybrid,0.1331082478987166
ntb_mix,0.3,SMAPE,6,road_topology_neighbor_fill,0.2004491944373881
ntb_mix,0.3,NRMSE,1,mean_fill,0.0251190737287541
ntb_mix,0.3,NRMSE,2,function_curve_fit,0.0251239384813072
ntb_mix,0.3,NRMSE,3,forward_fill,0.0328798329260083
ntb_mix,0.3,NRMSE,4,historical_linear_extrapolation,0.0334916185737174
