Round,Client,Local_Epoch,Train_Loss,Val_Loss
0,0,0,6863.488412754318,9146.941214139344
0,0,1,6684.338054147761,8885.004290471312
0,0,2,6578.314663531909,8745.322841956968
0,1,0,4823.508674172794,6648.6705633425245
0,1,1,4665.072117909664,6484.113329120711
0,1,2,4590.409063430059,6388.424929151348
0,2,0,9472.812562877263,11060.438820422536
0,2,1,9245.673364405182,10884.57460387324
0,2,2,9104.28360200264,10723.90536971831
0,3,0,5594.830765704719,7338.703543526785
0,3,1,5425.063725685587,7153.442940848215
0,3,2,5335.305036272322,7045.593610491072
0,4,0,1368.1013637270246,3917.9682935631795
0,4,1,1286.0888771610971,3807.045028023098
0,4,2,1252.6125835891096,3737.559963060462
1,0,0,6488.329275376903,8640.569480020491
1,0,1,6387.107640286519,8520.50880507172
1,0,2,6282.606963325161,8397.143754802766
1,1,0,4491.365941493785,6269.510311351103
1,1,1,4420.13776096376,6184.310652190564
1,1,2,4347.042268469888,6096.477960324755
1,2,0,9033.900962415115,10655.228653169013
1,2,1,8898.925484547912,10503.723577794894
1,2,2,8758.62709263393,10347.15205490757
1,3,0,5240.497648278061,6938.259765625
1,3,1,5156.342414700255,6839.643833705357
1,3,2,5069.777064732143,6738.025251116072
1,4,0,1206.8082504250249,3637.506931470788
1,4,1,1181.3165544012318,3584.8031483525815
1,4,2,1157.1902907738775,3535.971435546875
2,0,0,6198.056242681499,8304.335793417009
2,0,1,6099.7953381147545,8188.5463627049185
2,0,2,5999.61678383892,8070.636774782274
2,1,0,4251.674294522497,5985.20809397978
2,1,1,4182.542358740371,5902.644215303309
2,1,2,4112.399333366159,5818.4710382199755
2,2,0,8692.224155479753,10282.29551331426
2,2,1,8560.666241590166,10136.097133582747
2,2,2,8425.755668778294,9986.469754071302
2,3,0,4981.435267857143,6639.541155133928
2,3,1,4900.0250019929845,6544.679268973215
2,3,2,4817.2850964604595,6447.872837611607
2,4,0,1112.1832218525572,3436.556205417799
2,4,1,1089.5821694913118,3391.5933890964675
2,4,2,1066.8081288426558,3348.0354216202445
3,0,0,5921.902771424912,7985.848936987705
3,0,1,5829.363195486314,7876.901583311987
3,0,2,5735.693387962895,7766.673059682377
3,1,0,4024.8558476124826,5716.821269914216
3,1,1,3959.962745645133,5639.195121017156
3,1,2,3894.544582676821,5560.532743566177
3,2,0,8366.188425474724,9929.216246698943
3,2,1,8241.609099911971,9791.255543023768
3,2,2,8114.920389524648,9651.08535981514
3,3,0,4735.705905213648,6357.356236049107
3,3,1,4659.291095344388,6268.262765066965
3,3,2,4582.129583864796,6177.940080915178
3,4,0,1024.6297174062788,3244.148543648098
3,4,1,1005.1497308719232,3205.2293648097825
3,4,2,983.3787016779739,3161.582084324049
4,0,0,5664.213405207113,7688.795274077869
4,0,1,5578.465755132099,7587.807144915471
