variant,variant_label,metric,mean,std,cv,min,max,count
full,Full,mse,95198949.79666191,4999628.540243074,0.052517685866513446,90199321.25641884,100198578.33690499,2
full,Full,rmse,9753.628157858733,256.29583470509624,0.026276974122556897,9497.332323153636,10009.923992563829,2
full,Full,mae,9747.015061143255,256.34652048775115,0.026300002501246113,9490.668540655503,10003.361581631005,2
full,Full,mape,100.00324763329206,8.534418223149487e-05,8.534141065543051e-07,100.00316228910984,100.0033329774743,2
full,Full,smape,200.0,0.0,0.0,200.0,200.0,2
full,Full,r2,-736.8896408165184,25.031578577501136,0.033969236627841085,-761.9212193940195,-711.8580622390173,2
without_attention,Without Attention,mse,95177698.3067541,4999056.4841234535,0.05252340173232268,90178641.82263064,100176754.79087755,2
without_attention,Without Attention,rmse,9752.538700744659,256.29513696478625,0.026279837981593116,9496.243563779872,10008.833837709444,2
without_attention,Without Attention,mae,9745.924807542136,256.34580329273376,0.026302871031218495,9489.579004249403,10002.27061083487,2
without_attention,Without Attention,mape,99.99203803658021,0.00020190097330896606,2.0191704987061506e-06,99.9918361356069,99.99223993755352,2
without_attention,Without Attention,smape,199.968154687543,0.0008074755169928949,4.038020545094306e-06,199.967347212026,199.96896216305998,2
without_attention,Without Attention,r2,-736.724841317191,25.030211584018787,0.033974979775715515,-761.7550529012099,-711.6946297331723,2
without_cnn,Without CNN / Spatial Encoder,mse,95190012.28017776,4999393.167618096,0.05252014416074577,90190619.11255966,100189405.44779585,2
without_cnn,Without CNN / Spatial Encoder,rmse,9753.16998410595,256.2958082226214,0.02627820581824048,9496.87417588333,10009.465792328572,2
without_cnn,Without CNN / Spatial Encoder,mae,9746.55657472355,256.34650530133877,0.02630123811789496,9490.210069422212,10002.90308002489,2
without_cnn,Without CNN / Spatial Encoder,mape,99.99853379587266,3.859728651889327e-05,3.8597852442198844e-07,99.99849519858614,99.99857239315918,2
without_cnn,Without CNN / Spatial Encoder,smape,199.99413526966165,0.000154384612415015,7.719456983418581e-07,199.99398088504924,199.99428965427407,2
without_cnn,Without CNN / Spatial Encoder,r2,-736.82033206437,25.03104410571717,0.03397170655645047,-761.8513761700871,-711.7892879586527,2
without_lstm,Without LSTM,mse,76245755.63202053,3942732.29298684,0.05171084292239647,72303023.3390337,80188487.92500737,2
without_lstm,Without LSTM,rmse,8728.96047704941,225.84202914844536,0.0258727290313938,8503.118447900964,8954.802506197855,2
without_lstm,Without LSTM,mae,8722.653306143624,225.9255360194611,0.02590101063174608,8496.727770124164,8948.578842163086,2
without_lstm,Without LSTM,mape,89.49052743683839,0.03539271499524688,0.00039549118782685394,89.45513472184314,89.52592015183363,2
without_lstm,Without LSTM,smape,161.96187646894012,0.11649701620905262,0.0007192866540503041,161.84537945273107,162.07837348514917,2
without_lstm,Without LSTM,r2,-589.9918099433678,19.570735000210902,0.03317119775287976,-609.5625449435787,-570.4210749431569,2
