variant,variant_label,client_id,node_id,train_samples,val_samples,test_samples,mse,rmse,mae,mape,smape,r2
full,Full,0,1520479950,125,27,28,100198578.33690499,10009.923992563829,10003.361581631005,100.00316228910984,200.0,-761.9212193940195
full,Full,1,1520338299,125,27,28,90199321.25641884,9497.332323153636,9490.668540655503,100.0033329774743,200.0,-711.8580622390173
without_attention,Without Attention,0,1520479950,125,27,28,100176754.79087755,10008.833837709444,10002.27061083487,99.99223993755352,199.96896216305998,-761.7550529012099
without_attention,Without Attention,1,1520338299,125,27,28,90178641.82263064,9496.243563779872,9489.579004249403,99.9918361356069,199.967347212026,-711.6946297331723
without_cnn,Without CNN / Spatial Encoder,0,1520479950,125,27,28,100189405.44779585,10009.465792328572,10002.90308002489,99.99857239315918,199.99428965427407,-761.8513761700871
without_cnn,Without CNN / Spatial Encoder,1,1520338299,125,27,28,90190619.11255966,9496.87417588333,9490.210069422212,99.99849519858614,199.99398088504924,-711.7892879586527
without_lstm,Without LSTM,0,1520479950,125,27,28,80188487.92500737,8954.802506197855,8948.578842163086,89.45513472184314,161.84537945273107,-609.5625449435787
without_lstm,Without LSTM,1,1520338299,125,27,28,72303023.3390337,8503.118447900964,8496.727770124164,89.52592015183363,162.07837348514917,-570.4210749431569
