client_id,region_id,pooled_row,pooled_col,centroid_lon,centroid_lat,source_node_count,mean_total_flow,std_total_flow,peak_total_flow,is_active_region
0,4,0,4,116.177194,39.75256970750988,51,175352.203125,8234.3974609375,197632.78125,True
0,5,0,5,116.195194,39.75256970750988,11,27077.42578125,4859.26123046875,38434.5859375,True
0,12,0,12,116.321194,39.75256970750988,174,377698.59375,17972.171875,402572.15625,True
0,13,0,13,116.339194,39.75256970750988,138,307092.25,9796.935546875,320674.8125,True
0,50,1,20,116.465194,39.77056970750988,5,8861.453125,2322.4658203125,17517.59375,True
0,43,1,13,116.339194,39.77056970750988,81,205414.015625,9889.484375,225523.84375,True
0,42,1,12,116.321194,39.77056970750988,193,573676.0,21114.470703125,615761.375,True
0,35,1,5,116.195194,39.77056970750988,1,1352.29931640625,550.4750366210938,3659.551513671875,True
0,34,1,4,116.177194,39.77056970750988,36,116939.3515625,4151.853515625,130337.078125,True
0,60,2,0,116.105194,39.78856970750988,8,22561.064453125,1505.027099609375,24749.982421875,True
0,71,2,11,116.303194,39.78856970750988,12,20140.31640625,2600.692626953125,27396.900390625,True
0,72,2,12,116.321194,39.78856970750988,240,619951.9375,15248.4990234375,644190.125,True
0,73,2,13,116.339194,39.78856970750988,130,384571.59375,11868.4228515625,402790.15625,True
0,80,2,20,116.465194,39.78856970750988,9,15191.2626953125,493.1207275390625,15739.0712890625,True
0,81,2,21,116.483194,39.78856970750988,172,414181.125,14325.6435546875,436071.34375,True
0,111,3,21,116.483194,39.80656970750988,22,65655.5859375,3274.095703125,69101.921875,True
0,110,3,20,116.465194,39.80656970750988,1,2174.755859375,414.18426513671875,2999.838134765625,True
0,101,3,11,116.303194,39.80656970750988,35,108565.40625,7641.236328125,124355.21875,True
0,100,3,10,116.285194,39.80656970750988,96,254791.890625,8165.38232421875,266736.6875,True
0,128,4,8,116.249194,39.82456970750988,4,5368.6494140625,238.51361083984375,5937.212890625,True
0,129,4,9,116.267194,39.82456970750988,46,71567.25,4453.74267578125,79517.671875,True
0,130,4,10,116.285194,39.82456970750988,415,997239.375,45855.43359375,1082259.25,True
0,131,4,11,116.303194,39.82456970750988,19,54269.6328125,3498.803955078125,63203.20703125,True
0,132,4,12,116.321194,39.82456970750988,121,235129.421875,28017.1953125,306272.625,True
0,135,4,15,116.375194,39.82456970750988,93,278103.03125,25524.900390625,321029.875,True
0,136,4,16,116.393194,39.82456970750988,17,49559.09765625,15574.0986328125,74888.890625,True
0,167,5,17,116.411194,39.842569707509874,113,241196.5,10446.5390625,260043.375,True
0,166,5,16,116.393194,39.842569707509874,341,695413.4375,11635.38671875,715741.875,True
0,165,5,15,116.375194,39.842569707509874,181,503429.59375,11053.302734375,521635.90625,True
0,164,5,14,116.357194,39.842569707509874,53,123000.921875,16616.412109375,154056.5,True
0,162,5,12,116.321194,39.842569707509874,78,186197.109375,2831.943359375,192086.578125,True
0,161,5,11,116.303194,39.842569707509874,158,335831.21875,3910.29052734375,346733.625,True
0,159,5,9,116.267194,39.842569707509874,22,33171.25,1268.6119384765625,34940.69921875,True
0,158,5,8,116.249194,39.842569707509874,59,86754.828125,2396.070556640625,90542.453125,True
0,189,6,9,116.267194,39.86056970750988,162,386044.1875,25884.677734375,442384.90625,True
0,190,6,10,116.285194,39.86056970750988,197,470461.59375,32934.4921875,540099.1875,True
0,191,6,11,116.303194,39.86056970750988,146,332096.09375,25863.64453125,393297.84375,True
0,192,6,12,116.321194,39.86056970750988,73,202296.3125,9483.197265625,217415.5625,True
0,193,6,13,116.339194,39.86056970750988,27,57848.16796875,3501.755615234375,68413.2578125,True
0,194,6,14,116.357194,39.86056970750988,334,804240.4375,34543.8046875,868810.8125,True
0,195,6,15,116.375194,39.86056970750988,562,1463634.75,57410.7578125,1568055.25,True
0,196,6,16,116.393194,39.86056970750988,490,1161455.875,80373.359375,1283240.875,True
0,197,6,17,116.411194,39.86056970750988,356,773193.1875,36628.55078125,843426.1875,True
0,198,6,18,116.429194,39.86056970750988,77,151846.703125,6835.666015625,162190.21875,True
0,199,6,19,116.447194,39.86056970750988,41,82516.9765625,4288.88818359375,92039.953125,True
0,200,6,20,116.465194,39.86056970750988,82,226408.125,8781.048828125,241974.03125,True
