variant,variant_label,communication_round,train_loss,val_rmse,val_rmse_std,test_rmse,test_rmse_std
full,Full,1,1217451003520.0,950396.6566852989,557492.4944582765,949738.3360157193,557570.7683258229
without_attention,Without Attention,1,1217450540650.6667,950396.3524683099,557492.4860807075,949738.0304343798,557570.757996971
without_cnn,Without CNN / Spatial Encoder,1,1217450937237.3333,950396.7803130732,557492.4962113458,949738.4590602521,557570.7692466733
without_lstm,Without LSTM,1,753542545781.3334,593202.2122877225,347654.3752785283,592845.7992506465,347900.2318381255
