mechanism,missing_rate,mask_dir,mask_chunk_count,missing_dataset_dir,missing_dataset_chunk_count,is_complete,uses_row_index_mask,has_length_group,has_actual_length,has_node_subset_event,chunk_count_expected,scenario_tag,sample_mask_columns
node_subset_temporal_outage,0.05,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\masks\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42,61,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\missing_datasets\mechanism_node_subset_temporal_outage__rate_0p05__mixed_short_mid_long__seed_42,61,True,True,True,True,True,61,mixed_short_mid_long,"[""row_index"", ""节点ID"", ""时间段"", ""day_index"", ""global_time_index"", ""is_missing"", ""mechanism"", ""missing_rate_target"", ""actual_length"", ""length_group"", ""length_mode""]"
node_subset_temporal_outage,0.1,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\masks\mechanism_node_subset_temporal_outage__rate_0p10__mixed_short_mid_long__seed_42,61,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\missing_datasets\mechanism_node_subset_temporal_outage__rate_0p10__mixed_short_mid_long__seed_42,61,True,True,True,True,True,61,mixed_short_mid_long,"[""row_index"", ""节点ID"", ""时间段"", ""day_index"", ""global_time_index"", ""is_missing"", ""mechanism"", ""missing_rate_target"", ""actual_length"", ""length_group"", ""length_mode""]"
node_subset_temporal_outage,0.2,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\masks\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42,61,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\missing_datasets\mechanism_node_subset_temporal_outage__rate_0p20__mixed_short_mid_long__seed_42,61,True,True,True,True,True,61,mixed_short_mid_long,"[""row_index"", ""节点ID"", ""时间段"", ""day_index"", ""global_time_index"", ""is_missing"", ""mechanism"", ""missing_rate_target"", ""actual_length"", ""length_group"", ""length_mode""]"
node_subset_temporal_outage,0.3,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\masks\mechanism_node_subset_temporal_outage__rate_0p30__mixed_short_mid_long__seed_42,61,E:\Jupter_Notebook\FedTrafficFlow\results\real_data_structured_missingness_setting\missing_datasets\mechanism_node_subset_temporal_outage__rate_0p30__mixed_short_mid_long__seed_42,61,True,True,True,True,True,61,mixed_short_mid_long,"[""row_index"", ""节点ID"", ""时间段"", ""day_index"", ""global_time_index"", ""is_missing"", ""mechanism"", ""missing_rate_target"", ""actual_length"", ""length_group"", ""length_mode""]"
