missing_rate,mechanism,seed,impute_method,day_index,file_name,is_warmup,flow_group,count,sum_abs_error,sum_squared_error,sum_pct_error,count_pct,sum_smape
0.05,mcar_point,42,geo_neighbor_fill,0,node_flow_chunk_000.parquet,True,all,201749.0,30894412.358419925,29050611680.452263,1972269.6463865365,200488.0,1790148.7177478836
0.05,mcar_point,42,geo_neighbor_fill,0,node_flow_chunk_000.parquet,True,low_flow,60373.0,5429405.774738488,3363048322.2486796,921882.0189163184,59378.0,605215.5734600899
0.05,mcar_point,42,geo_neighbor_fill,0,node_flow_chunk_000.parquet,True,mid_flow,80798.0,12610628.84949883,9823026287.62164,667448.4009276888,80575.0,742803.7675785173
0.05,mcar_point,42,geo_neighbor_fill,0,node_flow_chunk_000.parquet,True,high_flow,60578.0,12854377.734182607,15864537070.581936,382939.2265425299,60535.0,442129.37670927646
