method,mse,rmse,mae,mape,smape,r2,client_id,node_id,train_samples,val_samples,test_samples
FedAvg,100198578.33690499,10009.923992563829,10003.361581631005,100.00316228910984,200.0,-761.9212193940195,0,1520479950,125,27,28
FedAvg,90199321.25641884,9497.332323153636,9490.668540655503,100.0033329774743,200.0,-711.8580622390173,1,1520338299,125,27,28
Independent,100190756.58794285,10009.533285220788,10002.970691185445,99.99924997283347,199.99699991403014,-761.8616638758173,0,1520479950,125,27,28
Independent,90193192.20740506,9497.009645536065,9490.345537723973,99.99992363200306,199.99969452843007,-711.8096234931102,1,1520338299,125,27,28
