missing_rate,method,missing_count,valid_eval_count,fallback_count,neighbor_available_count_sum,neighbor_coverage_sum,mean_positive_corr_sum,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,neighbor_available_count,neighbor_coverage,mean_positive_corr,MAE,RMSE,MAPE,sMAPE,NRMSE
0.05,correlation_topology_neighbor_fill,12306677,11639498,0,24187467.0,11639498.0,0.0,524041751.5,165455052544.0,451505.7744140625,11572153,371560.04443359375,11629310,0.0,10389.18359375,45.02271073030813,119.2265265954177,0.0390165749116921,0.03195030869704168,0.011476024609589424,2.0780507028739557,1.0,0.0,45.02271073030813,119.2265265954177,0.0390165749116921,0.03195030869704168,0.011476024609589424
0.05,forward_fill,12306677,12306677,0,25496839.0,12306677.0,0.0,2092710036.0,1518856939520.0,3101929.201171875,12236292,1097402.2861328125,12264806,0.0,10420.9072265625,170.04671821646087,351.3079952015182,0.253502384641677,0.08947571499563976,0.0337118436584914,2.071789078400286,1.0,0.0,170.04671821646087,351.3079952015182,0.253502384641677,0.08947571499563976,0.0337118436584914
0.05,function_curve_fit,12306677,12306677,0,25496839.0,12306677.0,0.0,1703670118.0,874472983552.0,2533034.1806640625,12236292,947739.876953125,12305749,0.0,10420.9072265625,138.4346170781926,266.56479822888576,0.20700994881979462,0.07701602535149425,0.025579807250315226,2.071789078400286,1.0,0.0,138.4346170781926,266.56479822888576,0.20700994881979462,0.07701602535149425,0.025579807250315226
0.05,historical_linear_extrapolation,12306677,12306677,0,25496839.0,12306677.0,0.0,1854203982.0,1089377378304.0,1885784.1171875,12236292,1000802.4375,12287560,0.0,10420.9072265625,150.6665025822974,297.5217878897815,0.15411401731729676,0.08144842731185035,0.028550468919962137,2.071789078400286,1.0,0.0,150.6665025822974,297.5217878897815,0.15411401731729676,0.08144842731185035,0.028550468919962137
0.05,mean_fill,12306677,12306677,0,25496839.0,12306677.0,0.0,1617786506.0,820283658240.0,1726984.279296875,12236292,877984.0849609375,12287636,0.0,10420.9072265625,131.45599791072766,258.1734799179387,0.14113624285011137,0.07145264434598628,0.02477456850012677,2.071789078400286,1.0,0.0,131.45599791072766,258.1734799179387,0.14113624285011137,0.07145264434598628,0.02477456850012677
0.05,road_topology_neighbor_fill,12306677,12306677,0,25496839.0,12306677.0,0.0,5878784184.0,8885862744064.0,3524461.65234375,12236292,2181974.1875,12269906,0.0,10420.9072265625,477.6906214407025,849.7269628564028,0.28803347062523105,0.17783136949052422,0.08154059376812038,2.071789078400286,1.0,0.0,477.6906214407025,849.7269628564028,0.28803347062523105,0.17783136949052422,0.08154059376812038
0.1,correlation_topology_neighbor_fill,24613354,21973950,0,44162153.0,21973950.0,0.0,978150386.0,316704380672.0,637572.4716796875,21843175,709786.490234375,21954140,0.0,10434.712890625,44.51408991100826,120.05298679002861,0.029188635428672227,0.03233041650615214,0.011505154770275418,2.0097503179901657,1.0,0.0,44.51408991100826,120.05298679002861,0.029188635428672227,0.03233041650615214,0.011505154770275418
0.1,forward_fill,24613354,24613354,0,49209538.0,24613354.0,0.0,4151823876.0,3000797196288.0,4241167.609375,24471163,2188879.92578125,24527974,0.0,10434.712890625,168.68176015345165,349.1667846836335,0.17331287480595017,0.08924014375509572,0.03346204043595106,1.9993024112032842,1.0,0.0,168.68176015345165,349.1667846836335,0.17331287480595017,0.08924014375509572,0.03346204043595106
0.1,function_curve_fit,24613354,24613354,0,49209538.0,24613354.0,0.0,3405108540.0,1750775109632.0,3819366.65625,24471163,1904953.181640625,24611852,0.0,10434.712890625,138.3439469484736,266.70415576164794,0.1560762214795431,0.07739983084737488,0.025559319030355552,1.9993024112032842,1.0,0.0,138.3439469484736,266.70415576164794,0.1560762214795431,0.07739983084737488,0.025559319030355552
0.1,historical_linear_extrapolation,24613354,24613354,0,49209538.0,24613354.0,0.0,3707280120.0,2183902910464.0,3233933.740234375,24471163,2013359.91796875,24576014,0.0,10434.712890625,150.6206801397323,297.8730858503463,0.13215284211193293,0.08192377811832098,0.02854636145456081,1.9993024112032842,1.0,0.0,150.6206801397323,297.8730858503463,0.13215284211193293,0.08192377811832098,0.02854636145456081
0.1,mean_fill,24613354,24613354,0,49209538.0,24613354.0,0.0,3235576536.0,1645461192704.0,2970223.373046875,24471163,1767183.77734375,24576145,0.0,10434.712890625,131.45614108503864,258.5582639498897,0.12137646964498071,0.07190646772891965,0.02477866584927216,1.9993024112032842,1.0,0.0,131.45614108503864,258.5582639498897,0.12137646964498071,0.07190646772891965,0.02477866584927216
