missing_rate,method,flow_group,missing_count,valid_eval_count,fallback_count,neighbor_available_count_sum,neighbor_coverage_sum,mean_positive_corr_sum,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,neighbor_available_count,neighbor_coverage,mean_positive_corr,MAE,RMSE,MAPE,sMAPE,NRMSE
0.05,correlation_topology_neighbor_fill,high_flow,3764096,3505304,0,8393649.0,3505304.0,0.0,190692433.0,49082525952.0,49085.39221191406,3505304,49581.821716308594,3505304,2896.583984375,10389.18359375,54.401111287351966,118.33156496947991,0.014003176960376064,0.014144799343026622,0.015793125368853203,2.394556649009615,1.0,0.0,54.401111287351966,118.33156496947991,0.014003176960376064,0.014144799343026622,0.015793125368853203
0.05,correlation_topology_neighbor_fill,low_flow,3610776,3451281,0,6276833.0,3451281.0,0.0,96052444.0,24166897344.0,156579.60717773438,3393657,193808.2734375,3443495,0.0,1487.3021240234375,27.830954361583423,83.67973349176414,0.046138901832959066,0.05628243207482514,0.05626276742306695,1.8186965941052033,1.0,0.0,27.830954361583423,83.67973349176414,0.046138901832959066,0.05628243207482514,0.05626276742306695
0.05,correlation_topology_neighbor_fill,mid_flow,3518737,3336322,0,6717387.0,3336322.0,0.0,145541389.25,35885909376.0,65936.09985351562,3336322,66114.62890625,3336322,1487.30224609375,2896.583740234375,43.62330412052554,103.71175857952298,0.0197631103513137,0.01981662108940624,0.0735919395881701,2.01341087580875,1.0,0.0,43.62330412052554,103.71175857952298,0.0197631103513137,0.01981662108940624,0.0735919395881701
0.05,forward_fill,high_flow,3764096,3764096,0,9009348.0,3764096.0,0.0,713159949.0,607944265728.0,190774.451171875,3764096,209526.255859375,3764096,2896.583984375,10389.18359375,189.46380458946848,401.8847601295535,0.05068267418574739,0.05566442935020122,0.05363755986996841,2.393495808821029,1.0,0.0,189.46380458946848,401.8847601295535,0.05068267418574739,0.05566442935020122,0.05363755986996841
0.05,forward_fill,low_flow,3610776,3610776,0,6512933.0,3610776.0,0.0,434139726.0,268547980800.0,724747.330078125,3550419,429268.3515625,3575099,0.0,1487.3021240234375,120.23446649695245,272.7160337330178,0.20413008438669492,0.12007173831060343,0.18336290208156808,1.8037488340456456,1.0,0.0,120.23446649695245,272.7160337330178,0.20413008438669492,0.12007173831060343,0.18336290208156808
0.05,forward_fill,mid_flow,3518737,3518737,0,7044346.0,3518737.0,0.0,698839975.0,456447912448.0,314105.7314453125,3518737,322855.19921875,3518737,1487.30224609375,2896.583740234375,198.60534475864495,360.16558212870865,0.08926661226608085,0.09175314870612666,0.25556681445557217,2.0019529734674686,1.0,0.0,198.60534475864495,360.16558212870865,0.08926661226608085,0.09175314870612666,0.25556681445557217
0.05,function_curve_fit,high_flow,3764096,3764096,0,9009348.0,3764096.0,0.0,572039755.0,282374373888.0,153662.69482421875,3764096,159664.533203125,3764096,2896.583984375,10389.18359375,151.97267949595334,273.89385892174494,0.04082326668188557,0.042417763309736255,0.03655525094108051,2.393495808821029,1.0,0.0,151.97267949595334,273.89385892174494,0.04082326668188557,0.042417763309736255,0.03655525094108051
0.05,function_curve_fit,low_flow,3610776,3610776,0,6512933.0,3610776.0,0.0,365075129.5,197090934272.0,818683.8681640625,3550419,417599.20703125,3610740,0.0,1487.3021240234375,101.10711090912314,233.63238935582027,0.23058795825621214,0.11565474308071198,0.1570846874902591,1.8037488340456456,1.0,0.0,101.10711090912314,233.63238935582027,0.23058795825621214,0.11565474308071198,0.1570846874902591
0.05,function_curve_fit,mid_flow,3518737,3518737,0,7044346.0,3518737.0,0.0,538337999.0,250639195904.0,245971.1494140625,3518737,240717.38818359375,3518737,1487.30224609375,2896.583740234375,152.99182604440173,266.88925565281227,0.06990324920960632,0.06841016767766211,0.18937966386591942,2.0019529734674686,1.0,0.0,152.99182604440173,266.88925565281227,0.06990324920960632,0.06841016767766211,0.18937966386591942
0.05,historical_linear_extrapolation,high_flow,3764096,3764096,0,9009348.0,3764096.0,0.0,584906893.0,319661388544.0,157079.03637695312,3764096,163329.12426757812,3764096,2896.583984375,10389.18359375,155.39106680594756,291.41690752230966,0.04173087944009747,0.04339132802871609,0.038893965074241886,2.393495808821029,1.0,0.0,155.39106680594756,291.41690752230966,0.04173087944009747,0.04339132802871609,0.038893965074241886
