missing_rate,method,length_group,missing_count,valid_eval_count,fallback_count,neighbor_available_count_sum,neighbor_coverage_sum,mean_positive_corr_sum,abs_error_sum,sq_error_sum,ape_sum,ape_count,smape_sum,smape_count,true_min,true_max,mae,rmse,mape,smape,nrmse,neighbor_available_count,neighbor_coverage,mean_positive_corr,MAE,RMSE,MAPE,sMAPE,NRMSE
0.05,correlation_topology_neighbor_fill,long,4368128,4123892,0,8455840.0,4123892.0,0.0,171633711.75,43241157056.0,112425.92590332031,4101770,121428.92980957031,4121028,0.0,10389.18359375,41.61935175557459,102.39883405291074,0.027409124817656845,0.029465689097373352,0.009856292665240084,2.0504513697254922,1.0,0.0,41.61935175557459,102.39883405291074,0.027409124817656845,0.029465689097373352,0.009856292665240084
0.05,correlation_topology_neighbor_fill,mid,4913467,4643712,0,9703766.0,4643712.0,0.0,195623382.25,49507263424.0,118414.97741699219,4617295,140678.59643554688,4640014,0.0,10357.185546875,42.12651048342361,103.2527962305901,0.025645963148768314,0.03031857154645371,0.00996919440742701,2.089657153587475,1.0,0.0,42.12651048342361,103.2527962305901,0.025645963148768314,0.03031857154645371,0.00996919440742701
0.05,correlation_topology_neighbor_fill,short,1612014,1525303,0,3228263.0,1525303.0,0.0,65029172.375,16386911488.0,40760.195373535156,1516218,47397.19396972656,1524079,0.0,10378.2509765625,42.63360943694466,103.65028289053338,0.026882806676569698,0.031098908894963164,0.009987259233237832,2.1164732515441194,1.0,0.0,42.63360943694466,103.65028289053338,0.026882806676569698,0.031098908894963164,0.009987259233237832
0.05,forward_fill,long,4368128,4368128,0,8935249.0,4368128.0,0.0,852014397.0,688139282432.0,571640.103515625,4344931,435498.630859375,4354987,0.0,10389.18359375,195.05252524651291,396.9085890488088,0.13156482888120088,0.09999998412380451,0.03820402108281,2.0455556705298013,1.0,0.0,195.05252524651291,396.9085890488088,0.13156482888120088,0.09999998412380451,0.03820402108281
0.05,forward_fill,mid,4913467,4913467,0,10232666.0,4913467.0,0.0,799890729.0,543559520256.0,523206.619140625,4885805,420204.00146484375,4897326,0.0,10357.185546875,162.79558385148408,332.60558046157854,0.10708708578026037,0.08580274244860231,0.032113509887049696,2.082575501168523,1.0,0.0,162.79558385148408,332.60558046157854,0.10708708578026037,0.08580274244860231,0.032113509887049696
0.05,forward_fill,short,1612014,1612014,0,3398712.0,1612014.0,0.0,194234516.5,101241364992.0,134780.78771972656,1602516,105947.17346191406,1605619,0.0,10378.2509765625,120.49182978559739,250.60780424006902,0.0841057360548828,0.06598525145872966,0.024147402563883237,2.1083638231429753,1.0,0.0,120.49182978559739,250.60780424006902,0.0841057360548828,0.06598525145872966,0.024147402563883237
0.05,function_curve_fit,long,4368128,4368128,0,8935249.0,4368128.0,0.0,593964254.0,297714340864.0,442232.86669921875,4344931,325338.2060546875,4368106,0.0,10389.18359375,135.97684271156888,261.0671327892012,0.10178133247667656,0.07448038258565326,0.025128743797179196,2.0455556705298013,1.0,0.0,135.97684271156888,261.0671327892012,0.10178133247667656,0.07448038258565326,0.025128743797179196
0.05,function_curve_fit,mid,4913467,4913467,0,10232666.0,4913467.0,0.0,664037829.0,326415874048.0,621116.7543945312,4885805,370158.833984375,4913457,0.0,10357.185546875,135.14649207982876,257.74580981978033,0.12712679986093003,0.07533572268656773,0.02488569975436504,2.082575501168523,1.0,0.0,135.14649207982876,257.74580981978033,0.12712679986093003,0.07533572268656773,0.02488569975436504
0.05,function_curve_fit,short,1612014,1612014,0,3398712.0,1612014.0,0.0,217450794.75,105974292224.0,154968.0693359375,1602516,122484.08605957031,1612010,0.0,10378.2509765625,134.89386242923447,256.398722937344,0.09670297790220972,0.07598221230610872,0.024705388558859925,2.1083638231429753,1.0,0.0,134.89386242923447,256.398722937344,0.09670297790220972,0.07598221230610872,0.024705388558859925
0.05,historical_linear_extrapolation,long,4368128,4368128,0,8935249.0,4368128.0,0.0,620977521.0,334144356608.0,455747.90478515625,4344931,330356.525390625,4362368,0.0,10389.18359375,142.16101748849852,276.57911797154804,0.10489186244503221,0.07572871554867104,0.026621833705772077,2.0455556705298013,1.0,0.0,142.16101748849852,276.57911797154804,0.10489186244503221,0.07572871554867104,0.026621833705772077
