missing_rate,mechanism,seed,impute_method,day_index,file_name,is_warmup,flow_group,count,sum_abs_error,sum_squared_error,sum_pct_error,count_pct,sum_smape
0.05,mcar_point,42,zero_fill,6,node_flow_chunk_006.parquet,True,all,201749.0,490550141.42715204,1482967844768.5684,20038300.0,200383.0,40076600.0
0.05,mcar_point,42,zero_fill,6,node_flow_chunk_006.parquet,True,low_flow,60490.0,79561937.86337876,109773359380.34508,5939200.0,59392.0,11878400.0
0.05,mcar_point,42,zero_fill,6,node_flow_chunk_006.parquet,True,mid_flow,80392.0,183607138.53025067,453839808862.8602,8016900.0,80169.0,16033800.0
0.05,mcar_point,42,zero_fill,6,node_flow_chunk_006.parquet,True,high_flow,60867.0,227381065.0335226,919354676525.3627,6082200.0,60822.0,12164400.0
