chunk_index,day_index,file_name,row_count,target_non_null_count,eligible_non_null_count
0,0,node_flow_chunk_000.parquet,4034976,4034976,4034976
1,1,node_flow_chunk_001.parquet,4034976,4034976,4034976
2,2,node_flow_chunk_002.parquet,4034976,4034976,4034976
3,3,node_flow_chunk_003.parquet,4034976,4034976,4034976
4,4,node_flow_chunk_004.parquet,4034976,4034976,4034976
5,5,node_flow_chunk_005.parquet,4034976,4034976,4034976
6,6,node_flow_chunk_006.parquet,4034976,4034976,4034976
7,7,node_flow_chunk_007.parquet,4034976,4034976,4034976
8,8,node_flow_chunk_008.parquet,4034976,4034976,4034976
9,9,node_flow_chunk_009.parquet,4034976,4034976,4034976
10,10,node_flow_chunk_010.parquet,4034976,4034976,4034976
11,11,node_flow_chunk_011.parquet,4034976,4034976,4034976
12,12,node_flow_chunk_012.parquet,4034976,4034976,4034976
13,13,node_flow_chunk_013.parquet,4034976,4034976,4034976
14,14,node_flow_chunk_014.parquet,4034976,4034976,4034976
15,15,node_flow_chunk_015.parquet,4034976,4034976,4034976
16,16,node_flow_chunk_016.parquet,4034976,4034976,4034976
17,17,node_flow_chunk_017.parquet,4034976,4034976,4034976
18,18,node_flow_chunk_018.parquet,4034976,4034976,4034976
19,19,node_flow_chunk_019.parquet,4034976,4034976,4034976
20,20,node_flow_chunk_020.parquet,4034976,4034976,4034976
21,21,node_flow_chunk_021.parquet,4034976,4034976,4034976
22,22,node_flow_chunk_022.parquet,4034976,4034976,4034976
23,23,node_flow_chunk_023.parquet,4034976,4034976,4034976
24,24,node_flow_chunk_024.parquet,4034976,4034976,4034976
25,25,node_flow_chunk_025.parquet,4034976,4034976,4034976
26,26,node_flow_chunk_026.parquet,4034976,4034976,4034976
27,27,node_flow_chunk_027.parquet,4034976,4034976,4034976
28,28,node_flow_chunk_028.parquet,4034976,4034976,4034976
29,29,node_flow_chunk_029.parquet,4034976,4034976,4034976
30,30,node_flow_chunk_030.parquet,4034976,4034976,4034976
31,31,node_flow_chunk_031.parquet,4034976,4034976,4034976
32,32,node_flow_chunk_032.parquet,4034976,4034976,4034976
33,33,node_flow_chunk_033.parquet,4034976,4034976,4034976
34,34,node_flow_chunk_034.parquet,4034976,4034976,4034976
35,35,node_flow_chunk_035.parquet,4034976,4034976,4034976
36,36,node_flow_chunk_036.parquet,4034976,4034976,4034976
37,37,node_flow_chunk_037.parquet,4034976,4034976,4034976
38,38,node_flow_chunk_038.parquet,4034976,4034976,4034976
39,39,node_flow_chunk_039.parquet,4034976,4034976,4034976
40,40,node_flow_chunk_040.parquet,4034976,4034976,4034976
41,41,node_flow_chunk_041.parquet,4034976,4034976,4034976
42,42,node_flow_chunk_042.parquet,4034976,4034976,4034976
43,43,node_flow_chunk_043.parquet,4034976,4034976,4034976
44,44,node_flow_chunk_044.parquet,4034976,4034976,4034976
45,45,node_flow_chunk_045.parquet,4034976,4034976,4034976
46,46,node_flow_chunk_046.parquet,4034976,4034976,4034976
47,47,node_flow_chunk_047.parquet,4034976,4034976,4034976
48,48,node_flow_chunk_048.parquet,4034976,4034976,4034976
49,49,node_flow_chunk_049.parquet,4034976,4034976,4034976
50,50,node_flow_chunk_050.parquet,4034976,4034976,4034976
51,51,node_flow_chunk_051.parquet,4034976,4034976,4034976
52,52,node_flow_chunk_052.parquet,4034976,4034976,4034976
53,53,node_flow_chunk_053.parquet,4034976,4034976,4034976
54,54,node_flow_chunk_054.parquet,4034976,4034976,4034976
55,55,node_flow_chunk_055.parquet,4034976,4034976,4034976
56,56,node_flow_chunk_056.parquet,4034976,4034976,4034976
57,57,node_flow_chunk_057.parquet,4034976,4034976,4034976
58,58,node_flow_chunk_058.parquet,4034976,4034976,4034976
59,59,node_flow_chunk_059.parquet,4034976,4034976,4034976
60,60,node_flow_chunk_060.parquet,4034976,4034976,4034976
