seed,model_type,agg_method,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,total_comm_bytes,client_0_rmse,client_0_mae,client_0_mse,client_1_rmse,client_1_mae,client_1_mse
48,full,fedavg,0.021485050208866596,0.0004831487312912941,0.14656852930784225,0.0016481950879096985,0.1182708665728569,0.0010858699679374695,5268384.0,0.14492033421993256,0.11935673654079437,0.021001901477575302,0.14821672439575195,0.11718499660491943,0.02196819894015789
48,full,loss_weighted,0.021438531577587128,0.0008159857243299484,0.14639249444007874,0.002786979079246521,0.11798609793186188,0.0010092705488204956,5268384.0,0.14360551536083221,0.11899536848068237,0.02062254585325718,0.14917947351932526,0.11697682738304138,0.022254517301917076
48,full,data_loss_weighted,0.021458469331264496,0.0006533153355121613,0.1464701145887375,0.0022301971912384033,0.11808572709560394,0.00108356773853302,5268384.0,0.14423991739749908,0.11916929483413696,0.020805153995752335,0.1487003117799759,0.11700215935707092,0.022111784666776657
48,no_attention,fedavg,0.021871840581297874,0.0071496255695819855,0.14584600925445557,0.024510875344276428,0.12182324752211571,0.020238135010004044,4207552.0,0.12133513391017914,0.10158511251211166,0.014722215011715889,0.170356884598732,0.14206138253211975,0.02902146615087986
48,no_attention,loss_weighted,0.022219283506274223,0.006466450169682503,0.14743946492671967,0.021929174661636353,0.12315655499696732,0.018617145717144012,4207552.0,0.1255102902650833,0.1045394092798233,0.01575283333659172,0.16936863958835602,0.14177370071411133,0.028685733675956726
48,no_attention,data_loss_weighted,0.022039499133825302,0.006813535466790199,0.14662766829133034,0.023234140127897263,0.1224961206316948,0.01943165808916092,4207552.0,0.12339352816343307,0.10306446254253387,0.015225963667035103,0.1698618084192276,0.1419277787208557,0.0288530346006155
48,lstm_only,fedavg,0.0148309669457376,0.0042949640192091465,0.12047078087925911,0.017825748771429062,0.0958237387239933,0.011941883713006973,1962048.0,0.10264503210783005,0.08388185501098633,0.010536002926528454,0.13829652965068817,0.10776562243700027,0.019125930964946747
48,lstm_only,loss_weighted,0.014873911626636982,0.0046143485233187675,0.12044492736458778,0.01915542408823967,0.0960647463798523,0.012629583477973938,1962048.0,0.10128950327634811,0.08343516290187836,0.010259563103318214,0.13960035145282745,0.10869432985782623,0.01948826014995575
48,lstm_only,data_loss_weighted,0.01484322501346469,0.004455006215721369,0.12042034044861794,0.018497731536626816,0.09591679275035858,0.012258946895599365,1962048.0,0.10192260891199112,0.08365784585475922,0.01038821879774332,0.13891807198524475,0.10817573964595795,0.019298231229186058
48,spatial_only,fedavg,0.07061997056007385,0.023948587477207184,0.2617778033018112,0.04574219882488251,0.22828015685081482,0.050394266843795776,1455008.0,0.3075200021266937,0.2786744236946106,0.09456855803728104,0.2160356044769287,0.17788589000701904,0.04667138308286667
48,spatial_only,loss_weighted,0.06940639764070511,0.02348858118057251,0.25953560322523117,0.04525116831064224,0.22615547478199005,0.04949454963207245,1455008.0,0.3047867715358734,0.2756500244140625,0.09289497882127762,0.21428443491458893,0.1766609251499176,0.0459178164601326
48,spatial_only,data_loss_weighted,0.07004455476999283,0.023729361593723297,0.2607174590229988,0.04550781100988388,0.2272833213210106,0.049957819283008575,1455008.0,0.3062252700328827,0.27724114060401917,0.09377391636371613,0.21520964801311493,0.17732550203800201,0.04631519317626953
48,weak,fedavg,0.04939658101648092,0.027119957841932774,0.21293488144874573,0.06368133425712585,0.16292652115225792,0.061210159212350845,62496.0,0.14925354719161987,0.10171636193990707,0.02227662317454815,0.2766162157058716,0.22413668036460876,0.0765165388584137
48,weak,loss_weighted,0.04941071756184101,0.027054397389292717,0.21302177757024765,0.06350148469209671,0.1629411205649376,0.0611446276307106,62496.0,0.14952029287815094,0.10179649293422699,0.022356320172548294,0.27652326226234436,0.2240857481956482,0.07646511495113373
48,weak,data_loss_weighted,0.04940360505133867,0.027087184600532055,0.21297825127840042,0.06359144300222397,0.1629338078200817,0.061177391558885574,62496.0,0.14938680827617645,0.10175641626119614,0.022316420450806618,0.2765696942806244,0.22411119937896729,0.07649078965187073
