experiment,method,metric,mean,std,ci95_lower,ci95_upper,best,worst,n
cnn_fed_enhanced_main,FedAvg,mae,5.320049929618836,0.38475229740142813,4.786810450822316,5.853289408415356,4.935297632217408,5.704802227020264,2
cnn_fed_enhanced_main,FedAvg,rmse,6.802430394798824,0.235150712670952,6.476528134279084,7.128332655318564,6.5672796821278725,7.0375811074697765,2
cnn_fed_enhanced_main,FedAvg,mape,26.272658333182335,0.9607338160276413,24.94114919657472,27.60416746978995,25.311924517154694,27.233392149209976,2
cnn_fed_enhanced_main,FedAvg,r2,0.27517943033153114,0.03338460708677099,0.22891072549725483,0.32144813516580745,0.30856403741830213,0.24179482324476015,2
cnn_fed_enhanced_main,FedAvg,communication_rounds,5.0,0.0,5.0,5.0,5.0,5.0,2
cnn_fed_enhanced_main,FedAvg,convergence_round,5.0,0.0,5.0,5.0,5.0,5.0,2
cnn_fed_enhanced_main,Independent,mae,5.935164093971252,0.48617269992828405,5.2613631085950106,6.608965079347494,5.448991394042968,6.4213367938995365,2
cnn_fed_enhanced_main,Independent,rmse,7.49154049437461,0.5745266665112867,6.69528715872385,8.28779383002537,6.9170138278633235,8.066067160885897,2
cnn_fed_enhanced_main,Independent,mape,22.40262622013688,0.5150340311229229,21.688825470477113,23.11642696979665,21.887592189013958,22.917660251259804,2
cnn_fed_enhanced_main,Independent,r2,0.11227730620156427,0.08069219895952458,0.000443624098221837,0.22411098830490672,0.19296950516108885,0.03158510724203969,2
cnn_fed_enhanced_main,Independent,communication_rounds,0.0,0.0,0.0,0.0,0.0,0.0,2
cnn_fed_enhanced_main,Independent,convergence_round,10.0,0.0,10.0,10.0,10.0,10.0,2
cnn_fed_enhanced_main,Proposed,mae,5.36640694141388,0.49405338764190665,4.681683880101114,6.051130002726645,4.872353553771973,5.860460329055786,2
cnn_fed_enhanced_main,Proposed,rmse,6.88051097402251,0.33853432704643716,6.411326334117348,7.349695613927672,6.541976646976073,7.219045301068947,2
cnn_fed_enhanced_main,Proposed,mape,26.279482059180737,1.2211762741208076,24.587018091249043,27.97194602711243,25.05830578505993,27.500658333301544,2
cnn_fed_enhanced_main,Proposed,r2,0.2676872748555605,0.04619067576875846,0.2036702643307511,0.3317042853803699,0.31387795062431895,0.22149659908680203,2
cnn_fed_enhanced_main,Proposed,communication_rounds,5.0,0.0,5.0,5.0,5.0,5.0,2
cnn_fed_enhanced_main,Proposed,convergence_round,5.0,0.0,5.0,5.0,5.0,5.0,2
