num_clients,seed,method,client_id,mse,rmse,mae,mape
3,42,FedAvg,0,7.390390396118164,2.7185272476321005,2.2023658752441406,2.8144817799329758
3,42,FedAvg,1,19.37675666809082,4.40190375497816,3.570012092590332,5.712350085377693
3,42,FedAvg,2,97.74500274658203,9.88660724144446,8.10434341430664,8.693603426218033
5,42,FedAvg,0,8.797269821166992,2.96601918759252,2.435495376586914,3.155336156487465
5,42,FedAvg,1,23.263057708740234,4.8231792117585925,3.8657970428466797,6.3292063772678375
5,42,FedAvg,2,92.57548522949219,9.621615520768442,7.981016635894775,8.696871250867844
5,42,FedAvg,3,21.024580001831055,4.585256808711051,3.646760940551758,5.085468664765358
5,42,FedAvg,4,174.02450561523438,13.191834808518275,10.594941139221191,112.90007829666138
8,42,FedAvg,0,6.521869659423828,2.553795148288881,2.0710978507995605,2.651800774037838
8,42,FedAvg,1,19.37361717224121,4.401547133933841,3.5670809745788574,5.674814805388451
8,42,FedAvg,2,89.63827514648438,9.467749212272386,7.5969648361206055,8.158930391073227
8,42,FedAvg,3,17.00872039794922,4.12416299362055,3.2532904148101807,4.455648362636566
8,42,FedAvg,4,169.79751586914062,13.030637584905069,9.729857444763184,103.01469564437866
8,42,FedAvg,5,7.323539733886719,2.7062039342752273,2.2467734813690186,2.928861975669861
8,42,FedAvg,6,31.049943923950195,5.572247654578016,3.6558423042297363,6.030546501278877
8,42,FedAvg,7,93.44029235839844,9.666451901209587,7.542552471160889,8.598582446575165
3,2024,FedAvg,0,13.02847957611084,3.6094985214169073,2.9861791133880615,3.7409208714962006
3,2024,FedAvg,1,38.15321731567383,6.176829066412137,4.769298076629639,7.868910580873489
3,2024,FedAvg,2,100.40178680419922,10.020069201567383,8.121373176574707,8.936217427253723
5,2024,FedAvg,0,8.989368438720703,2.9982275495233353,2.4159367084503174,3.0240051448345184
5,2024,FedAvg,1,35.142242431640625,5.9280892732515955,4.528563499450684,7.411663979291916
5,2024,FedAvg,2,78.40099334716797,8.85443354185732,7.199487686157227,7.8660085797309875
5,2024,FedAvg,3,20.559358596801758,4.534242891244553,3.4595751762390137,4.393573105335236
5,2024,FedAvg,4,110.69996643066406,10.521405154762554,7.072925090789795,103.86437177658081
8,2024,FedAvg,0,7.175043106079102,2.678627093508744,2.111248016357422,2.6344798505306244
8,2024,FedAvg,1,34.776859283447266,5.897190795916923,4.4000678062438965,7.09230974316597
8,2024,FedAvg,2,80.60318756103516,8.977927798831708,7.176126956939697,7.800821214914322
8,2024,FedAvg,3,23.385536193847656,4.835859405922349,3.834279775619507,4.811479896306992
8,2024,FedAvg,4,162.99728393554688,12.767038965067306,9.951388359069824,118.34948062896729
8,2024,FedAvg,5,7.610858917236328,2.7587785190617113,2.1884632110595703,2.952146716415882
8,2024,FedAvg,6,25.931156158447266,5.092264344910549,3.874093770980835,6.011764705181122
8,2024,FedAvg,7,66.51518249511719,8.155684060525958,6.868587493896484,8.09812918305397
3,2025,FedAvg,0,13.046088218688965,3.6119369067979252,2.998717784881592,3.991873189806938
3,2025,FedAvg,1,26.366947174072266,5.134875575325293,4.153128623962402,6.6621363162994385
3,2025,FedAvg,2,99.68647766113281,9.984311576725398,8.114961624145508,8.756019920110703
5,2025,FedAvg,0,6.240968704223633,2.498193087858429,2.0089499950408936,2.651043049991131
5,2025,FedAvg,1,19.99074935913086,4.471101582287173,3.4081504344940186,5.286688357591629
5,2025,FedAvg,2,97.87186431884766,9.893020990518904,7.718839645385742,8.115364611148834
5,2025,FedAvg,3,24.24272346496582,4.923690025272288,3.823669195175171,5.447597056627274
5,2025,FedAvg,4,322.5314636230469,17.959160994407476,15.724113464355469,489.56103324890137
8,2025,FedAvg,0,6.983874320983887,2.6427020870661693,2.1054189205169678,2.7816761285066605
8,2025,FedAvg,1,20.198978424072266,4.494327360581588,3.44901442527771,5.417250841856003
8,2025,FedAvg,2,97.00393676757812,9.849057658861488,7.919339656829834,8.481346815824509
8,2025,FedAvg,3,23.66107749938965,4.864265360708608,3.7771918773651123,5.388335511088371
8,2025,FedAvg,4,402.15081787109375,20.05369835893354,17.786602020263672,560.328483581543
8,2025,FedAvg,5,7.791042327880859,2.791243867504389,2.2726621627807617,2.9934056103229523
8,2025,FedAvg,6,26.159332275390625,5.114619465355231,4.002493858337402,6.300326436758041
8,2025,FedAvg,7,118.05471801757812,10.865298800197726,8.135401725769043,8.788395673036575
