seed,method,client_id,period,mse,rmse,mae,mape
42,FedAvg,0,off_peak,8.797269821166992,2.96601918759252,2.435495376586914,3.155336156487465
42,FedAvg,1,off_peak,23.263057708740234,4.8231792117585925,3.8657970428466797,6.3292063772678375
42,FedAvg,2,off_peak,92.57548522949219,9.621615520768442,7.981016635894775,8.696871250867844
42,FedAvg,3,off_peak,21.024580001831055,4.585256808711051,3.646760940551758,5.085468664765358
42,FedAvg,4,off_peak,161.99057006835938,12.72755161326637,10.929411888122559,23.592564463615417
42,FedAvg,4,incident_period,183.934814453125,13.562256982269766,10.319494247436523,186.44745349884033
42,Proposed,0,off_peak,8.397187232971191,2.8977900601960784,2.37381911277771,3.072654828429222
42,Proposed,1,off_peak,22.716140747070312,4.766145271293177,3.8320975303649902,6.260033696889877
42,Proposed,2,off_peak,93.91639709472656,9.691047265116735,8.053207397460938,8.768163621425629
42,Proposed,3,off_peak,22.89444351196289,4.78481384297894,3.767362594604492,5.214424058794975
42,Proposed,4,off_peak,186.7876434326172,13.66702760049226,12.083370208740234,26.124519109725952
42,Proposed,4,incident_period,201.31459045410156,14.18853729085918,10.610766410827637,186.71088218688965
42,Independent,0,off_peak,7.407553195953369,2.7216820526934016,2.164228916168213,2.741171233355999
42,Independent,1,off_peak,32.6983528137207,5.718247355066122,4.61055326461792,7.582093775272369
42,Independent,2,off_peak,130.9581756591797,11.443695891589382,9.886284828186035,11.052938550710678
42,Independent,3,off_peak,27.00369644165039,5.196508100797149,4.1719231605529785,5.841250717639923
42,Independent,4,off_peak,74.50909423828125,8.63186504981868,5.214910507202148,11.100757867097855
42,Independent,4,incident_period,103.3841552734375,10.16779992296453,7.397778511047363,140.78972339630127
2024,FedAvg,0,off_peak,8.989368438720703,2.9982275495233353,2.4159367084503174,3.0240051448345184
2024,FedAvg,1,off_peak,35.142242431640625,5.9280892732515955,4.528563499450684,7.411663979291916
2024,FedAvg,2,off_peak,78.40099334716797,8.85443354185732,7.199487686157227,7.8660085797309875
2024,FedAvg,3,off_peak,20.559358596801758,4.534242891244553,3.4595751762390137,4.393573105335236
2024,FedAvg,4,off_peak,75.14442443847656,8.668588376343438,5.59622859954834,10.613187402486801
2024,FedAvg,4,incident_period,225.44741821289062,15.014906533604885,11.838629722595215,404.811429977417
2024,Proposed,0,off_peak,8.839920043945312,2.9732003033676206,2.391467809677124,2.9931969940662384
2024,Proposed,1,off_peak,35.16621780395508,5.930111112277331,4.529302597045898,7.4119932949543
2024,Proposed,2,off_peak,78.1434555053711,8.839878704222762,7.169764995574951,7.824912667274475
2024,Proposed,3,off_peak,20.344240188598633,4.51045897759847,3.419694662094116,4.357389733195305
2024,Proposed,4,off_peak,73.06631469726562,8.547883638495884,5.338075637817383,10.104189813137054
2024,Proposed,4,incident_period,226.37477111816406,15.045755917140356,11.735889434814453,401.54900550842285
2024,Independent,0,off_peak,10.112909317016602,3.1800800802836084,2.519516706466675,3.1519558280706406
2024,Independent,1,off_peak,38.075111389160156,6.170503333534482,4.730466365814209,7.782925665378571
2024,Independent,2,off_peak,124.67977142333984,11.166009646392924,9.603568077087402,10.922254621982574
2024,Independent,3,off_peak,52.13393783569336,7.220383496442094,5.4738922119140625,6.757115572690964
2024,Independent,4,off_peak,103.67534637451172,10.18210913192899,7.598875999450684,14.920054376125336
2024,Independent,4,incident_period,335.8258972167969,18.325553121714957,16.81587028503418,315.2846336364746
2025,FedAvg,0,off_peak,6.240968704223633,2.498193087858429,2.0089499950408936,2.651043049991131
2025,FedAvg,1,off_peak,19.99074935913086,4.471101582287173,3.4081504344940186,5.286688357591629
2025,FedAvg,2,off_peak,97.87186431884766,9.893020990518904,7.718839645385742,8.115364611148834
2025,FedAvg,3,off_peak,24.24272346496582,4.923690025272288,3.823669195175171,5.447597056627274
2025,FedAvg,4,off_peak,464.0041809082031,21.54075627521474,19.736860275268555,37.06144392490387
2025,FedAvg,4,incident_period,251.7951202392578,15.868053448336308,13.717741012573242,715.8108234405518
2025,Proposed,0,off_peak,5.608133792877197,2.368149867064413,1.8813968896865845,2.473316714167595
2025,Proposed,1,off_peak,20.573463439941406,4.535797993731799,3.4298319816589355,5.282505229115486
2025,Proposed,2,off_peak,98.57730865478516,9.928610610492546,7.686798095703125,8.049390465021133
2025,Proposed,3,off_peak,24.538738250732422,4.953659076958408,3.8345625400543213,5.422493442893028
2025,Proposed,4,off_peak,487.38189697265625,22.076727496906244,20.058752059936523,37.707921862602234
2025,Proposed,4,incident_period,237.67037963867188,15.416561861798884,13.247376441955566,663.8816356658936
2025,Independent,0,off_peak,7.932440757751465,2.8164589039699237,2.2727315425872803,3.001847304403782
2025,Independent,1,off_peak,26.11163330078125,5.1099543345103635,4.117231845855713,6.385861337184906
2025,Independent,2,off_peak,123.4131851196289,11.109148712643508,9.422928810119629,10.487692803144455
2025,Independent,3,off_peak,26.017301559448242,5.100715788930828,4.019883632659912,5.6184351444244385
2025,Independent,4,off_peak,214.3358917236328,14.640214879694655,10.247693061828613,20.049583911895752
2025,Independent,4,incident_period,256.8636169433594,16.02696530673725,13.097696304321289,687.9512786865234
