seed,method,num_clients,client_id,mse,rmse,mae,mape
42,Proposed,3,0,6.735391616821289,2.595263303948424,2.0980520248413086,2.6700926944613457
42,Proposed,3,1,19.068130493164062,4.366707053737869,3.517423391342163,5.577922612428665
42,Proposed,3,2,96.36602783203125,9.816619980015078,7.964608192443848,8.511804789304733
42,Proposed,5,0,8.397187232971191,2.8977900601960784,2.37381911277771,3.072654828429222
42,Proposed,5,1,22.716140747070312,4.766145271293177,3.8320975303649902,6.260033696889877
42,Proposed,5,2,93.91639709472656,9.691047265116735,8.053207397460938,8.768163621425629
42,Proposed,5,3,22.89444351196289,4.78481384297894,3.767362594604492,5.214424058794975
42,Proposed,5,4,194.7540283203125,13.955430065759797,11.2758150100708,114.18801546096802
42,Proposed,8,0,6.405426502227783,2.530894407561837,2.0479021072387695,2.621340751647949
42,Proposed,8,1,19.275386810302734,4.3903743360108525,3.557265281677246,5.654016882181168
42,Proposed,8,2,89.4778060913086,9.459270906962576,7.573122501373291,8.127560466527939
42,Proposed,8,3,16.816390991210938,4.100779315107183,3.23205828666687,4.427571967244148
42,Proposed,8,4,169.61697387695312,13.023708146182988,9.687532424926758,101.79229974746704
42,Proposed,8,5,7.171643257141113,2.67799239303272,2.220893621444702,2.894565649330616
42,Proposed,8,6,31.023073196411133,5.569836011626476,3.6552045345306396,6.024722009897232
42,Proposed,8,7,93.57495880126953,9.67341505370619,7.532463550567627,8.57827141880989
2024,Proposed,3,0,12.239105224609375,3.4984432573087956,2.8834753036499023,3.612634167075157
2024,Proposed,3,1,37.576171875,6.129940609418659,4.730489253997803,7.796421647071838
2024,Proposed,3,2,95.77005004882812,9.78621735139927,7.9475321769714355,8.73110145330429
2024,Proposed,5,0,8.839920043945312,2.9732003033676206,2.391467809677124,2.9931969940662384
2024,Proposed,5,1,35.16621780395508,5.930111112277331,4.529302597045898,7.4119932949543
2024,Proposed,5,2,78.1434555053711,8.839878704222762,7.169764995574951,7.824912667274475
2024,Proposed,5,3,20.344240188598633,4.51045897759847,3.419694662094116,4.357389733195305
2024,Proposed,5,4,109.33283233642578,10.456234137414185,6.851537704467773,102.70403623580933
2024,Proposed,8,0,6.5562663078308105,2.5605207102913288,2.012406826019287,2.5073882192373276
2024,Proposed,8,1,34.20621871948242,5.848608272015012,4.342111587524414,6.97707012295723
2024,Proposed,8,2,79.8179931640625,8.934091625009366,7.114661693572998,7.715635001659393
2024,Proposed,8,3,23.431991577148438,4.840660241862513,3.842291831970215,4.81281653046608
2024,Proposed,8,4,151.80528259277344,12.320928641655767,9.405076026916504,114.3850326538086
2024,Proposed,8,5,6.890375137329102,2.6249524066788528,2.066164016723633,2.7838462963700294
2024,Proposed,8,6,26.65127944946289,5.162487719061701,3.9529778957366943,6.123016774654388
2024,Proposed,8,7,65.19762420654297,8.074504579634777,6.763326644897461,7.961167395114899
3407,Proposed,3,0,6.861915111541748,2.619525741721533,2.1788249015808105,2.7087658643722534
3407,Proposed,3,1,22.61566734313965,4.7555932693134775,3.3945376873016357,5.312104895710945
3407,Proposed,3,2,86.58714294433594,9.305221273260294,6.646510124206543,7.081244885921478
3407,Proposed,5,0,6.3805317878723145,2.5259714542869074,2.093127489089966,2.597632072865963
3407,Proposed,5,1,22.780197143554688,4.772860478115266,3.484571933746338,5.390159785747528
3407,Proposed,5,2,93.51497650146484,9.670314188353181,7.193652153015137,7.771215587854385
3407,Proposed,5,3,23.350797653198242,4.832266306113338,3.467461585998535,5.246645584702492
3407,Proposed,5,4,139.9554443359375,11.830276595918521,8.10067081451416,227.56946086883545
3407,Proposed,8,0,6.503692150115967,2.5502337442116882,2.105736494064331,2.620850130915642
3407,Proposed,8,1,22.235734939575195,4.715478230209021,3.3997583389282227,5.30666746199131
3407,Proposed,8,2,84.83773803710938,9.210740363136363,6.515875339508057,6.9053225219249725
3407,Proposed,8,3,20.734825134277344,4.553550827022505,3.376919746398926,5.133648216724396
3407,Proposed,8,4,174.82191467285156,13.222023849352698,9.233728408813477,245.15767097473145
3407,Proposed,8,5,7.659206867218018,2.7675272116490595,2.209425449371338,2.919381856918335
3407,Proposed,8,6,31.299192428588867,5.594568118147179,3.981560230255127,6.647191941738129
3407,Proposed,8,7,67.19894409179688,8.197496208708905,6.097325801849365,6.5133728086948395
