seed,method,client_id,mse,rmse,mae,mape
42,FedAvg,0,8.797269821166992,2.96601918759252,2.435495376586914,3.155336156487465
42,FedAvg,1,23.263057708740234,4.8231792117585925,3.8657970428466797,6.3292063772678375
42,FedAvg,2,92.57548522949219,9.621615520768442,7.981016635894775,8.696871250867844
42,FedAvg,3,21.024580001831055,4.585256808711051,3.646760940551758,5.085468664765358
42,FedAvg,4,174.02450561523438,13.191834808518275,10.594941139221191,112.90007829666138
42,Loss-weighted,0,6.728198528289795,2.5938771228201607,2.102198600769043,2.7117548510432243
42,Loss-weighted,1,20.627628326416016,4.541764891142651,3.6621479988098145,5.930259078741074
42,Loss-weighted,2,92.09712219238281,9.596724555408622,7.886012077331543,8.544696122407913
42,Loss-weighted,3,17.548206329345703,4.189057928621387,3.287935733795166,4.576588794589043
42,Loss-weighted,4,147.9378204345703,12.162969227724384,9.473309516906738,107.35867023468018
42,Data-loss weighted,0,7.850451946258545,2.8018657973319394,2.291114330291748,2.9630212113261223
42,Data-loss weighted,1,22.273088455200195,4.719437302814838,3.799844980239868,6.198228895664215
42,Data-loss weighted,2,93.65145874023438,9.677368378863873,8.031444549560547,8.740606158971786
42,Data-loss weighted,3,21.495622634887695,4.636337200300221,3.6596295833587646,5.077181756496429
42,Data-loss weighted,4,181.2274169921875,13.462073279855057,10.844962120056152,113.17746639251709
42,Proposed,0,8.397187232971191,2.8977900601960784,2.37381911277771,3.072654828429222
42,Proposed,1,22.716140747070312,4.766145271293177,3.8320975303649902,6.260033696889877
42,Proposed,2,93.91639709472656,9.691047265116735,8.053207397460938,8.768163621425629
42,Proposed,3,22.89444351196289,4.78481384297894,3.767362594604492,5.214424058794975
42,Proposed,4,194.7540283203125,13.955430065759797,11.2758150100708,114.18801546096802
2024,FedAvg,0,8.989368438720703,2.9982275495233353,2.4159367084503174,3.0240051448345184
2024,FedAvg,1,35.142242431640625,5.9280892732515955,4.528563499450684,7.411663979291916
2024,FedAvg,2,78.40099334716797,8.85443354185732,7.199487686157227,7.8660085797309875
2024,FedAvg,3,20.559358596801758,4.534242891244553,3.4595751762390137,4.393573105335236
2024,FedAvg,4,110.69996643066406,10.521405154762554,7.072925090789795,103.86437177658081
2024,Loss-weighted,0,8.125078201293945,2.8504522801292334,2.298839569091797,2.873789146542549
2024,Loss-weighted,1,34.46713638305664,5.870871858851685,4.47747802734375,7.328440994024277
2024,Loss-weighted,2,78.25360870361328,8.846106980113529,7.166013717651367,7.803615182638168
2024,Loss-weighted,3,20.547609329223633,4.532947090935833,3.4600892066955566,4.42880354821682
2024,Loss-weighted,4,106.91046905517578,10.339751885571326,6.589121341705322,97.00539708137512
2024,Data-loss weighted,0,9.304044723510742,3.0502532228506443,2.464097499847412,3.084513172507286
2024,Data-loss weighted,1,35.6678466796875,5.97225641442893,4.584316730499268,7.5203947722911835
2024,Data-loss weighted,2,78.21847534179688,8.844120947940326,7.181008815765381,7.845693081617355
2024,Data-loss weighted,3,20.534650802612305,4.531517494461685,3.4447216987609863,4.4029369950294495
2024,Data-loss weighted,4,107.50879669189453,10.368644882138385,6.716922283172607,103.40538024902344
2024,Proposed,0,8.839920043945312,2.9732003033676206,2.391467809677124,2.9931969940662384
2024,Proposed,1,35.16621780395508,5.930111112277331,4.529302597045898,7.4119932949543
2024,Proposed,2,78.1434555053711,8.839878704222762,7.169764995574951,7.824912667274475
2024,Proposed,3,20.344240188598633,4.51045897759847,3.419694662094116,4.357389733195305
2024,Proposed,4,109.33283233642578,10.456234137414185,6.851537704467773,102.70403623580933
3407,FedAvg,0,6.167590141296387,2.483463336008081,2.055431842803955,2.5529244914650917
3407,FedAvg,1,22.580371856689453,4.751880875683802,3.4787845611572266,5.4014623165130615
3407,FedAvg,2,93.74530029296875,9.682215670649397,7.251243591308594,7.849451154470444
3407,FedAvg,3,21.725454330444336,4.661057211668221,3.359539747238159,5.117953196167946
3407,FedAvg,4,142.24778747558594,11.926767687667349,8.277422904968262,230.72946071624756
3407,Loss-weighted,0,6.438926696777344,2.5375040289184456,2.0969040393829346,2.60882917791605
3407,Loss-weighted,1,23.03466033935547,4.799443753119258,3.519789934158325,5.486387014389038
3407,Loss-weighted,2,96.49187469482422,9.823027776343922,7.411104679107666,8.069485425949097
3407,Loss-weighted,3,24.05294418334961,4.904380101842598,3.5442323684692383,5.388634279370308
3407,Loss-weighted,4,138.97772216796875,11.788881294167346,8.064447402954102,228.65102291107178
3407,Data-loss weighted,0,6.299905776977539,2.5099613098566955,2.08263897895813,2.584299258887768
3407,Data-loss weighted,1,22.922321319580078,4.787726111587847,3.504162311553955,5.42529933154583
3407,Data-loss weighted,2,94.14421844482422,9.702794362699038,7.2422261238098145,7.837571948766708
3407,Data-loss weighted,3,23.49839210510254,4.8475140128835665,3.4826724529266357,5.272415280342102
3407,Data-loss weighted,4,140.21066284179688,11.841058349733645,8.097061157226562,226.44193172454834
3407,Proposed,0,6.3805317878723145,2.5259714542869074,2.093127489089966,2.597632072865963
3407,Proposed,1,22.780197143554688,4.772860478115266,3.484571933746338,5.390159785747528
3407,Proposed,2,93.51497650146484,9.670314188353181,7.193652153015137,7.771215587854385
3407,Proposed,3,23.350797653198242,4.832266306113338,3.467461585998535,5.246645584702492
3407,Proposed,4,139.9554443359375,11.830276595918521,8.10067081451416,227.56946086883545
1234,FedAvg,0,7.899203300476074,2.8105521344526014,2.241680860519409,2.949078381061554
1234,FedAvg,1,18.432201385498047,4.293273970467998,3.1897826194763184,4.936683177947998
1234,FedAvg,2,84.24595642089844,9.1785596049107,7.759149074554443,8.539297431707382
1234,FedAvg,3,20.51302719116211,4.529130953192026,3.462780475616455,5.006004124879837
1234,FedAvg,4,330.30291748046875,18.174237741387362,14.391192436218262,379.25500869750977
1234,Loss-weighted,0,7.461128234863281,2.7315065870071193,2.179084300994873,2.863890863955021
1234,Loss-weighted,1,18.224679946899414,4.269037355997183,3.173769474029541,4.902013763785362
1234,Loss-weighted,2,85.63941955566406,9.254156879784569,7.864506244659424,8.658219873905182
1234,Loss-weighted,3,21.400651931762695,4.626083865621406,3.5777225494384766,5.1415011286735535
1234,Loss-weighted,4,330.18194580078125,18.170909327845465,14.300941467285156,359.08915996551514
1234,Data-loss weighted,0,7.7345871925354,2.781112581780069,2.2186903953552246,2.9178444296121597
1234,Data-loss weighted,1,18.293485641479492,4.27708845378249,3.1829140186309814,4.91948164999485
1234,Data-loss weighted,2,84.15409088134766,9.173553885019025,7.751809597015381,8.536598831415176
1234,Data-loss weighted,3,20.017820358276367,4.474127888010843,3.423118829727173,4.946817830204964
1234,Data-loss weighted,4,319.5784912109375,17.876758408921276,14.024012565612793,364.0888214111328
1234,Proposed,0,7.580440044403076,2.7532598940897453,2.1979293823242188,2.888580970466137
1234,Proposed,1,18.326887130737305,4.28099137242033,3.1838343143463135,4.914110153913498
1234,Proposed,2,84.014892578125,9.165963810648883,7.732334613800049,8.507240563631058
1234,Proposed,3,19.918867111206055,4.463055804177902,3.4103517532348633,4.927503690123558
1234,Proposed,4,321.89013671875,17.941296963116965,14.022130012512207,361.53578758239746
5678,FedAvg,0,5.861781597137451,2.4211116449138506,1.9406520128250122,2.6190174743533134
5678,FedAvg,1,18.17814064025879,4.263583075332154,3.419739246368408,5.533093959093094
5678,FedAvg,2,97.02568054199219,9.85016144750898,7.374902725219727,7.789669185876846
5678,FedAvg,3,26.627431869506836,5.1601775036821005,3.8186731338500977,5.096343159675598
5678,FedAvg,4,237.99244689941406,15.427003821203067,12.762685775756836,43.17829608917236
5678,Loss-weighted,0,5.582779407501221,2.362790597471816,1.862913966178894,2.526145614683628
5678,Loss-weighted,1,17.703102111816406,4.207505450004362,3.3548033237457275,5.452407151460648
5678,Loss-weighted,2,97.4482192993164,9.87158646314342,7.3338623046875,7.740238308906555
5678,Loss-weighted,3,25.520366668701172,5.0517686673779085,3.6517884731292725,4.902678728103638
5678,Loss-weighted,4,215.87295532226562,14.692615673264772,11.871808052062988,40.00999331474304
5678,Data-loss weighted,0,5.6250739097595215,2.3717238266205283,1.88657546043396,2.5562841445207596
5678,Data-loss weighted,1,17.584516525268555,4.193389622401972,3.346219539642334,5.454545468091965
5678,Data-loss weighted,2,96.90174865722656,9.843868581875043,7.387953281402588,7.8278616070747375
5678,Data-loss weighted,3,25.27165985107422,5.027092584295043,3.6614272594451904,4.930376634001732
5678,Data-loss weighted,4,220.93731689453125,14.863960336819096,12.218777656555176,41.94643199443817
5678,Proposed,0,5.745878219604492,2.397056156956798,1.9094802141189575,2.5864332914352417
5678,Proposed,1,17.639080047607422,4.199890480430105,3.357776641845703,5.4682038724422455
5678,Proposed,2,96.82083129882812,9.839757684965019,7.387406826019287,7.825145870447159
5678,Proposed,3,25.87071990966797,5.086326760017289,3.7376410961151123,5.016915500164032
5678,Proposed,4,224.9229278564453,14.997430708506219,12.381904602050781,42.45241582393646
