feature_set,seed,method,client_id,mse,rmse,mae,mape
flow_only,42,FedAvg,0,8.797269821166992,2.96601918759252,2.435495376586914,3.155336156487465
flow_only,42,FedAvg,1,23.263057708740234,4.8231792117585925,3.8657970428466797,6.3292063772678375
flow_only,42,FedAvg,2,92.57548522949219,9.621615520768442,7.981016635894775,8.696871250867844
flow_only,42,FedAvg,3,21.024580001831055,4.585256808711051,3.646760940551758,5.085468664765358
flow_only,42,FedAvg,4,174.02450561523438,13.191834808518275,10.594941139221191,112.90007829666138
flow_time,42,FedAvg,0,17.399934768676758,4.171322903909114,3.526862859725952,4.558731243014336
flow_time,42,FedAvg,1,31.992916107177734,5.65622808125501,4.588109970092773,7.548197358846664
flow_time,42,FedAvg,2,114.54183197021484,10.702421780616518,9.18192195892334,10.072530806064606
flow_time,42,FedAvg,3,42.0174674987793,6.4820882051063835,5.083759784698486,7.047511637210846
flow_time,42,FedAvg,4,333.5616760253906,18.263670935093817,15.20309829711914,135.78871488571167
flow_event,42,FedAvg,0,7.734647274017334,2.7811233834580826,2.249720335006714,2.9073039069771767
flow_event,42,FedAvg,1,22.096933364868164,4.700737534139527,3.7879350185394287,6.160864606499672
flow_event,42,FedAvg,2,94.7745132446289,9.73522024633387,8.064560890197754,8.734595775604248
flow_event,42,FedAvg,3,19.495849609375,4.415410468956992,3.5316810607910156,4.927065968513489
flow_event,42,FedAvg,4,132.42337036132812,11.507535373020938,8.754680633544922,105.74592351913452
flow_region,42,FedAvg,0,7.571709632873535,2.7516739692182894,2.2282204627990723,2.8758810833096504
flow_region,42,FedAvg,1,21.560182571411133,4.643294366224387,3.749671697616577,6.078452616930008
flow_region,42,FedAvg,2,94.67884063720703,9.730305269476752,8.060310363769531,8.717196434736252
flow_region,42,FedAvg,3,19.588655471801758,4.4259073049265005,3.5298876762390137,4.911186546087265
flow_region,42,FedAvg,4,144.6945343017578,12.028904118902844,9.348052978515625,108.87929201126099
full,42,FedAvg,0,17.199520111083984,4.147230414515691,3.508866548538208,4.534630104899406
full,42,FedAvg,1,30.788951873779297,5.5487793138472625,4.492905616760254,7.389510422945023
full,42,FedAvg,2,113.44579315185547,10.651093519064391,9.132568359375,10.002043098211288
full,42,FedAvg,3,38.735965728759766,6.223822437116901,4.870056629180908,6.740831583738327
full,42,FedAvg,4,247.57177734375,15.73441379091544,12.50856876373291,123.71811866760254
flow_only,2024,FedAvg,0,8.989368438720703,2.9982275495233353,2.4159367084503174,3.0240051448345184
flow_only,2024,FedAvg,1,35.142242431640625,5.9280892732515955,4.528563499450684,7.411663979291916
flow_only,2024,FedAvg,2,78.40099334716797,8.85443354185732,7.199487686157227,7.8660085797309875
flow_only,2024,FedAvg,3,20.559358596801758,4.534242891244553,3.4595751762390137,4.393573105335236
flow_only,2024,FedAvg,4,110.69996643066406,10.521405154762554,7.072925090789795,103.86437177658081
flow_time,2024,FedAvg,0,15.90561294555664,3.9881841664542828,3.373542308807373,4.211624339222908
flow_time,2024,FedAvg,1,44.3095703125,6.656543420762761,5.3009161949157715,8.800014108419418
flow_time,2024,FedAvg,2,93.20729064941406,9.654392298296877,7.946821689605713,8.80434364080429
flow_time,2024,FedAvg,3,28.535436630249023,5.341857039480654,4.406006813049316,5.659949779510498
flow_time,2024,FedAvg,4,152.36351013183594,12.343561484913337,8.045238494873047,134.07918214797974
flow_event,2024,FedAvg,0,8.778326034545898,2.9628239965522587,2.3736109733581543,2.972079813480377
flow_event,2024,FedAvg,1,36.32036590576172,6.0266380267742745,4.59814977645874,7.54472091794014
flow_event,2024,FedAvg,2,89.16141510009766,9.442532239823047,7.726036548614502,8.533864468336105
flow_event,2024,FedAvg,3,23.673938751220703,4.865587194904712,3.9008078575134277,4.953832924365997
flow_event,2024,FedAvg,4,116.95441436767578,10.814546424500465,8.064818382263184,118.7140941619873
flow_region,2024,FedAvg,0,8.032879829406738,2.83423355237474,2.257652759552002,2.8248168528079987
flow_region,2024,FedAvg,1,35.240848541259766,5.936400301635644,4.485144138336182,7.322075963020325
flow_region,2024,FedAvg,2,88.53050994873047,9.409065306858619,7.653707981109619,8.426862955093384
flow_region,2024,FedAvg,3,22.75029182434082,4.769726598489773,3.781973123550415,4.781730100512505
flow_region,2024,FedAvg,4,132.43418884277344,11.508005424172055,8.365220069885254,116.25584363937378
full,2024,FedAvg,0,16.03224754333496,4.00402891389847,3.339751958847046,4.160845652222633
full,2024,FedAvg,1,40.608333587646484,6.372466836920101,4.92720365524292,8.101684600114822
full,2024,FedAvg,2,100.62434387207031,10.031168619461559,8.135034561157227,8.945272117853165
full,2024,FedAvg,3,29.451480865478516,5.4269218591645965,4.378063678741455,5.573246628046036
full,2024,FedAvg,4,208.17320251464844,14.428208569141509,10.784733772277832,140.9847617149353
flow_only,2025,FedAvg,0,6.240968704223633,2.498193087858429,2.0089499950408936,2.651043049991131
flow_only,2025,FedAvg,1,19.99074935913086,4.471101582287173,3.4081504344940186,5.286688357591629
flow_only,2025,FedAvg,2,97.87186431884766,9.893020990518904,7.718839645385742,8.115364611148834
flow_only,2025,FedAvg,3,24.24272346496582,4.923690025272288,3.823669195175171,5.447597056627274
