seed,method,noniid_level,client_id,mse,rmse,mae,mape
42,Proposed,low,0,7.646465301513672,2.7652242768921425,2.247784376144409,2.8797492384910583
42,Proposed,low,1,9.829986572265625,3.135280939926377,2.4717400074005127,3.434378281235695
42,Proposed,low,2,14.574125289916992,3.8176072728761654,3.2272331714630127,4.118593409657478
42,Proposed,low,3,14.18895435333252,3.766822846024554,3.034386157989502,4.074978083372116
42,Proposed,low,4,13.250334739685059,3.640100924381776,2.967327117919922,4.065751284360886
42,Proposed,medium,0,8.397187232971191,2.8977900601960784,2.37381911277771,3.072654828429222
42,Proposed,medium,1,22.716140747070312,4.766145271293177,3.8320975303649902,6.260033696889877
42,Proposed,medium,2,93.91639709472656,9.691047265116735,8.053207397460938,8.768163621425629
42,Proposed,medium,3,22.89444351196289,4.78481384297894,3.767362594604492,5.214424058794975
42,Proposed,medium,4,194.7540283203125,13.955430065759797,11.2758150100708,114.18801546096802
42,Proposed,high,0,253.06202697753906,15.907923402428711,12.287033081054688,114.824378490448
42,Proposed,high,1,537.4195556640625,23.182311266654636,17.815738677978516,129.11497354507446
42,Proposed,high,2,133.18936157226562,11.54076953986456,8.96529769897461,13.47854882478714
42,Proposed,high,3,126.75177764892578,11.258409197081344,8.945064544677734,456.2901020050049
42,Proposed,high,4,262.81951904296875,16.21170931897586,12.46146297454834,22.2544863820076
2024,Proposed,low,0,7.199089527130127,2.6831119110335533,2.122904062271118,2.640851214528084
2024,Proposed,low,1,8.661075592041016,2.942970538765384,2.3659372329711914,3.202229365706444
2024,Proposed,low,2,10.180835723876953,3.1907421901302135,2.45951509475708,3.2069075852632523
2024,Proposed,low,3,10.824016571044922,3.2899873208030637,2.6382713317871094,3.287658840417862
2024,Proposed,low,4,8.733431816101074,2.9552380303625414,2.326850175857544,2.972804009914398
2024,Proposed,medium,0,8.839920043945312,2.9732003033676206,2.391467809677124,2.9931969940662384
2024,Proposed,medium,1,35.16621780395508,5.930111112277331,4.529302597045898,7.4119932949543
2024,Proposed,medium,2,78.1434555053711,8.839878704222762,7.169764995574951,7.824912667274475
2024,Proposed,medium,3,20.344240188598633,4.51045897759847,3.419694662094116,4.357389733195305
2024,Proposed,medium,4,109.33283233642578,10.456234137414185,6.851537704467773,102.70403623580933
2024,Proposed,high,0,114.41267395019531,10.696386022867504,8.30273151397705,18.383224308490753
2024,Proposed,high,1,396.38037109375,19.909303631562558,15.677603721618652,86.65721416473389
2024,Proposed,high,2,90.46376037597656,9.511243892150835,6.739311695098877,13.707275688648224
2024,Proposed,high,3,151.19888305664062,12.296295501354894,8.983530044555664,119.31405067443848
2024,Proposed,high,4,290.1843566894531,17.03479840472006,12.036118507385254,26.808682084083557
3407,Proposed,low,0,7.291367530822754,2.700253234573149,2.228705644607544,2.7606213465332985
3407,Proposed,low,1,7.952595233917236,2.820034615730317,2.2649006843566895,3.041882812976837
3407,Proposed,low,2,11.793618202209473,3.434183775252785,2.8362228870391846,3.6490943282842636
3407,Proposed,low,3,10.768802642822266,3.2815853855754336,2.5474202632904053,3.7152763456106186
3407,Proposed,low,4,9.532550811767578,3.087482924935388,2.4774515628814697,3.3602342009544373
3407,Proposed,medium,0,6.3805317878723145,2.5259714542869074,2.093127489089966,2.597632072865963
3407,Proposed,medium,1,22.780197143554688,4.772860478115266,3.484571933746338,5.390159785747528
3407,Proposed,medium,2,93.51497650146484,9.670314188353181,7.193652153015137,7.771215587854385
3407,Proposed,medium,3,23.350797653198242,4.832266306113338,3.467461585998535,5.246645584702492
3407,Proposed,medium,4,139.9554443359375,11.830276595918521,8.10067081451416,227.56946086883545
3407,Proposed,high,0,104.3490219116211,10.215136901266723,7.324182033538818,18.716271221637726
3407,Proposed,high,1,422.1580810546875,20.546485856581107,16.103696823120117,56.66409134864807
3407,Proposed,high,2,50.17308807373047,7.083296412951421,5.398035049438477,7.689179480075836
3407,Proposed,high,3,77.97208404541016,8.830180295181416,6.101464748382568,197.46487140655518
3407,Proposed,high,4,334.4012145996094,18.286640331116303,14.844247817993164,130.14154434204102
1234,Proposed,low,0,9.84011173248291,3.136895237728367,2.5272560119628906,3.3184021711349487
1234,Proposed,low,1,8.448932647705078,2.906704774775911,2.270817279815674,3.0272340402007103
1234,Proposed,low,2,12.750245094299316,3.5707485341730965,2.910651206970215,3.7475358694791794
1234,Proposed,low,3,10.615717887878418,3.258177080497378,2.6552906036376953,3.6187298595905304
1234,Proposed,low,4,9.168408393859863,3.0279379772148345,2.469383716583252,3.4054283052682877
1234,Proposed,medium,0,7.580440044403076,2.7532598940897453,2.1979293823242188,2.888580970466137
1234,Proposed,medium,1,18.326887130737305,4.28099137242033,3.1838343143463135,4.914110153913498
1234,Proposed,medium,2,84.014892578125,9.165963810648883,7.732334613800049,8.507240563631058
1234,Proposed,medium,3,19.918867111206055,4.463055804177902,3.4103517532348633,4.927503690123558
1234,Proposed,medium,4,321.89013671875,17.941296963116965,14.022130012512207,361.53578758239746
1234,Proposed,high,0,212.27191162109375,14.569554269815317,11.13827896118164,312.8563642501831
1234,Proposed,high,1,542.9967041015625,23.302289675084776,18.25136947631836,96.24048471450806
1234,Proposed,high,2,144.69252014160156,12.028820396930097,8.739701271057129,18.897075951099396
1234,Proposed,high,3,162.78504943847656,12.75872444402169,9.665329933166504,120.90489864349365
1234,Proposed,high,4,519.308837890625,22.788348731108734,18.244558334350586,783.0307006835938
5678,Proposed,low,0,7.079729080200195,2.660776029695133,2.130126476287842,2.897806465625763
5678,Proposed,low,1,9.1937894821167,3.032126231230603,2.4354097843170166,3.4695692360401154
5678,Proposed,low,2,12.151772499084473,3.4859392563675677,2.841005563735962,3.5994283854961395
5678,Proposed,low,3,10.45412540435791,3.233283996861072,2.648081064224243,3.4265264868736267
5678,Proposed,low,4,9.701075553894043,3.1146549654647213,2.55090069770813,3.282487392425537
5678,Proposed,medium,0,5.745878219604492,2.397056156956798,1.9094802141189575,2.5864332914352417
5678,Proposed,medium,1,17.639080047607422,4.199890480430105,3.357776641845703,5.4682038724422455
5678,Proposed,medium,2,96.82083129882812,9.839757684965019,7.387406826019287,7.825145870447159
5678,Proposed,medium,3,25.87071990966797,5.086326760017289,3.7376410961151123,5.016915500164032
5678,Proposed,medium,4,224.9229278564453,14.997430708506219,12.381904602050781,42.45241582393646
5678,Proposed,high,0,97.1697769165039,9.857473150686433,7.5897016525268555,15.092459321022034
5678,Proposed,high,1,371.1598205566406,19.26550857248883,14.312941551208496,47.6563036441803
5678,Proposed,high,2,210.67926025390625,14.514794530199394,10.509970664978027,144.70746517181396
5678,Proposed,high,3,162.69232177734375,12.755090034074387,10.612578392028809,630.2044868469238
5678,Proposed,high,4,211.60609436035156,14.546686714174866,11.623675346374512,17.91481524705887
