round,method,avg_train_loss,avg_val_loss,avg_val_rmse,avg_val_mae,avg_val_mape
1,FedAvg,0.49720134452503056,0.9840496333310982,10.091028314926465,7.956414031982422,15.680576264858246
2,FedAvg,0.45433046099830243,0.838570413598538,9.436682279225613,7.294727611541748,14.052698016166687
3,FedAvg,0.4517562976889307,0.7240089223454065,8.97460280016237,6.702529239654541,11.93308986723423
4,FedAvg,0.3943220841414314,0.837535135620425,9.622297525039297,7.5909477233886715,13.69608961045742
5,FedAvg,0.3965969460766032,0.6453403467439524,8.489710625027843,6.261024522781372,11.375295296311378
6,FedAvg,0.3842565283513261,0.6526777927466668,8.60748556526714,6.562328910827636,11.91273219883442
7,FedAvg,0.4075950143197439,0.6253441259783235,8.491134492108367,6.313107490539551,11.533910632133484
8,FedAvg,0.38875717352795586,0.5888231428251185,8.298665620828917,6.091887617111206,10.630668252706528
9,FedAvg,0.36661983783287233,0.5575232348339167,8.010270896742517,5.743407440185547,10.374220944941044
10,FedAvg,0.3822212185526968,0.5898209192358163,8.239445839591937,6.132110929489135,11.502232626080513
1,Proposed,0.49720134452503056,0.9507914952804748,9.955576652647789,7.8238709449768065,15.549132078886032
2,Proposed,0.4534330158544507,0.803010978981742,9.305714344325018,7.114666557312011,13.698439821600914
3,Proposed,0.4465904303548102,0.7112252626483603,8.963266794637217,6.628119659423828,11.56495176255703
4,Proposed,0.3948118727467128,0.787793165605678,9.450083516240175,7.433119773864746,13.06986391544342
5,Proposed,0.3941926522586062,0.6196048635019491,8.392427188813025,6.11693172454834,10.953564792871475
6,Proposed,0.38432135201541,0.6501715152431038,8.641888591620194,6.585997629165649,11.79761677980423
7,Proposed,0.3988446490998802,0.5904341388161038,8.403106265161387,6.046610879898071,10.590148940682411
8,Proposed,0.39329270899343083,0.5427168459622698,7.964863646355299,5.66936182975769,10.320739038288593
9,Proposed,0.36759448251358534,0.5327885276825063,7.972395484304371,5.607692098617553,9.838306494057178
10,Proposed,0.3937812727980503,0.6005992594929775,8.378863398863281,6.32859468460083,11.496462523937225
