seed,model_type,agg_method,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,total_comm_bytes,client_0_rmse,client_0_mae,client_0_mse,client_1_rmse,client_1_mae,client_1_mse
42,full,fedavg,0.025763822719454765,0.004040626809000969,0.16001377999782562,0.01262587308883667,0.1266452595591545,0.000523783266544342,5742720.0,0.1726396530866623,0.12716904282569885,0.029804449528455734,0.14738790690898895,0.12612147629261017,0.021723195910453796
42,full,loss_weighted,0.02529237885028124,0.004189618863165379,0.1584855541586876,0.013217665255069733,0.12528565526008606,0.0011791586875915527,5742720.0,0.17170321941375732,0.1264648139476776,0.029481997713446617,0.14526788890361786,0.1241064965724945,0.02110275998711586
42,full,data_loss_weighted,0.02550180722028017,0.004120071418583393,0.15916751325130463,0.012942567467689514,0.12587830424308777,0.0008278489112854004,5742720.0,0.17211008071899414,0.12670615315437317,0.029621878638863564,0.1462249457836151,0.12505045533180237,0.021381735801696777
42,no_attention,fedavg,0.313862606883049,0.016908392310142517,0.560030996799469,0.015095949172973633,0.5392067730426788,0.018499702215194702,4681888.0,0.5751269459724426,0.5577064752578735,0.33077099919319153,0.5449350476264954,0.5207070708274841,0.2969542145729065
42,no_attention,loss_weighted,0.3148853927850723,0.016243979334831238,0.5609596967697144,0.014478743076324463,0.5404821336269379,0.017832785844802856,4681888.0,0.5754384398460388,0.5583149194717407,0.33112937211990356,0.5464809536933899,0.522649347782135,0.2986414134502411
42,no_attention,data_loss_weighted,0.31437988579273224,0.016578540205955505,0.5605008006095886,0.014789044857025146,0.5398503839969635,0.01816728711128235,4681888.0,0.5752898454666138,0.5580176711082458,0.33095842599868774,0.5457117557525635,0.5216830968856812,0.29780134558677673
42,lstm_only,fedavg,0.04988543502986431,0.007704699411988258,0.22267946600914001,0.01729997992515564,0.20436502248048782,0.026045359671115875,1962048.0,0.23997944593429565,0.2304103821516037,0.05759013444185257,0.20537948608398438,0.17831966280937195,0.04218073561787605
42,lstm_only,loss_weighted,0.04904942959547043,0.007596045732498169,0.22080207616090775,0.017201028764247894,0.2025766372680664,0.026009798049926758,1962048.0,0.23800310492515564,0.22858643531799316,0.0566454753279686,0.20360104739665985,0.17656683921813965,0.04145338386297226
42,lstm_only,data_loss_weighted,0.04946861229836941,0.007650768384337425,0.22174536436796188,0.01725124567747116,0.20347649604082108,0.02602776139974594,1962048.0,0.23899661004543304,0.22950425744056702,0.05711938068270683,0.20449411869049072,0.17744873464107513,0.04181784391403198
42,spatial_only,fedavg,0.1405823528766632,0.004754245281219482,0.3748895227909088,0.0063408613204956055,0.34944917261600494,0.015212729573249817,1929344.0,0.3812303841114044,0.36466190218925476,0.1453365981578827,0.3685486614704132,0.3342364430427551,0.13582810759544373
42,spatial_only,loss_weighted,0.14071989804506302,0.00460941344499588,0.37507617473602295,0.0061446428298950195,0.34968265891075134,0.015019774436950684,1929344.0,0.38122081756591797,0.364702433347702,0.1453293114900589,0.36893153190612793,0.33466288447380066,0.13611048460006714
42,spatial_only,data_loss_weighted,0.14064954221248627,0.004681974649429321,0.37498076260089874,0.0062429457902908325,0.3495647609233856,0.015116900205612183,1929344.0,0.3812237083911896,0.3646816611289978,0.1453315168619156,0.3687378168106079,0.33444786071777344,0.13596756756305695
42,weak,fedavg,0.052259206771850586,0.01574116200208664,0.22593287378549576,0.034835927188396454,0.1895577237010002,0.025925107300281525,62496.0,0.1910969465970993,0.1636326164007187,0.03651804476976395,0.2607688009738922,0.21548283100128174,0.06800036877393723
42,weak,loss_weighted,0.05225622467696667,0.015753956511616707,0.2259216383099556,0.03486596792936325,0.18958055973052979,0.025891542434692383,62496.0,0.19105567038059235,0.1636890172958374,0.03650226816534996,0.26078760623931885,0.21547210216522217,0.06801018118858337
42,weak,data_loss_weighted,0.052257686853408813,0.015747584402561188,0.2259271815419197,0.03485100716352463,0.1895691379904747,0.02590835839509964,62496.0,0.19107617437839508,0.16366077959537506,0.036510102450847626,0.26077818870544434,0.21547749638557434,0.06800527125597
