cell_id,region_id,pooled_row,pooled_col,centroid_lon,centroid_lat,source_node_count,mean_total_flow,flow_mean,flow_std,flow_min,flow_max,flow_cv,lag1_autocorr,valid_sample_count,is_valid_cell,invalid_reason
36,36,1,6,116.213194,39.77056970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
37,37,1,7,116.231194,39.77056970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
38,38,1,8,116.249194,39.77056970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
39,39,1,9,116.267194,39.77056970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
40,40,1,10,116.285194,39.77056970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
41,41,1,11,116.303194,39.77056970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
42,42,1,12,116.321194,39.77056970750988,193,573675.4992315574,573675.4992315574,21114.45769378076,471724.4375,615761.375,0.03680557688460417,0.9172739626531468,5844,True,
43,43,1,13,116.339194,39.77056970750988,81,205414.44415983607,205414.44415983607,9889.486447085807,164304.96875,225523.84375,0.048144065464990615,0.941725741068067,5844,True,
44,44,1,14,116.357194,39.77056970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
45,45,1,15,116.375194,39.77056970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
46,46,1,16,116.393194,39.77056970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
47,47,1,17,116.411194,39.77056970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
48,48,1,18,116.429194,39.77056970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
49,49,1,19,116.447194,39.77056970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
50,50,1,20,116.465194,39.77056970750988,5,8861.458118756613,8861.458118756613,2322.4668485663783,217.19528198242188,17517.59375,0.2620863087588855,0.7360734954407074,5844,True,
51,51,1,21,116.483194,39.77056970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
52,52,1,22,116.501194,39.77056970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
53,53,1,23,116.519194,39.77056970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
54,54,1,24,116.537194,39.77056970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
55,55,1,25,116.555194,39.77056970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
56,56,1,26,116.573194,39.77056970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
57,57,1,27,116.591194,39.77056970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
58,58,1,28,116.609194,39.77056970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
59,59,1,29,116.627194,39.77056970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
60,60,2,0,116.105194,39.78856970750988,8,22561.06795564245,22561.06795564245,1505.0259388747681,12132.2109375,24749.982421875,0.0667089847800563,0.6512710632717738,5844,True,
61,61,2,1,116.123194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
62,62,2,2,116.141194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
63,63,2,3,116.159194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
64,64,2,4,116.177194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
65,65,2,5,116.195194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
66,66,2,6,116.213194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
67,67,2,7,116.231194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
68,68,2,8,116.249194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
69,69,2,9,116.267194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
70,70,2,10,116.285194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
71,71,2,11,116.303194,39.78856970750988,12,20140.336397181443,20140.336397181443,2600.68837786186,7366.8134765625,27396.900390625,0.12912834853273927,0.7490206801369877,5844,True,
72,72,2,12,116.321194,39.78856970750988,240,619953.73828125,619953.73828125,15248.495432115373,527294.875,644190.125,0.02459618273194071,0.8541439206268907,5844,True,
73,73,2,13,116.339194,39.78856970750988,130,384571.36311048496,384571.36311048496,11868.433726708376,293795.34375,402790.15625,0.030861459966010647,0.8428222721333314,5844,True,
74,74,2,14,116.357194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
75,75,2,15,116.375194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
76,76,2,16,116.393194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
77,77,2,17,116.411194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
78,78,2,18,116.429194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
79,79,2,19,116.447194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
80,80,2,20,116.465194,39.78856970750988,9,15191.246038384776,15191.246038384776,493.12073276478844,8250.953125,15739.0712890625,0.032460848275301844,0.7129785373025419,5844,True,
81,81,2,21,116.483194,39.78856970750988,172,414181.93573898566,414181.93573898566,14325.635680605787,332366.875,436071.34375,0.034587784846400675,0.9217411783602582,5844,True,
82,82,2,22,116.501194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
83,83,2,23,116.519194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
84,84,2,24,116.537194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
85,85,2,25,116.555194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
86,86,2,26,116.573194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
87,87,2,27,116.591194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
88,88,2,28,116.609194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
89,89,2,29,116.627194,39.78856970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
90,90,3,0,116.105194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
91,91,3,1,116.123194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
92,92,3,2,116.141194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
93,93,3,3,116.159194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
94,94,3,4,116.177194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
95,95,3,5,116.195194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
96,96,3,6,116.213194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
97,97,3,7,116.231194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
98,98,3,8,116.249194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
99,99,3,9,116.267194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
100,100,3,10,116.285194,39.80656970750988,96,254792.2734988687,254792.2734988687,8165.382759138579,193676.234375,266736.6875,0.03204721496067986,0.8609292545939912,5844,True,
101,101,3,11,116.303194,39.80656970750988,35,108565.44615031591,108565.44615031591,7641.242988344423,53909.875,124355.21875,0.07038374786177018,0.7245452780054966,5844,True,
102,102,3,12,116.321194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
103,103,3,13,116.339194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
104,104,3,14,116.357194,39.80656970750988,0,0.0,0.0,0.0,0.0,0.0,0.0,,0,False,inactive_region;no_source_nodes;all_zero_series
