experiment,method,metric,mean,std,ci95_lower,ci95_upper,best,worst,n
cnn_fed_base_main,FedAvg,mae,0.049328134208917615,0.0051923075171635075,0.044776876002080995,0.053879392415754235,0.040536489337682724,0.056827375665307045,5
cnn_fed_base_main,FedAvg,rmse,0.06046130627393722,0.005202156212149469,0.05590141530532112,0.06502119724255331,0.051663489639759065,0.06779471933841705,5
cnn_fed_base_main,FedAvg,mape,4.932813420891762,0.5192307517163507,4.4776876002081,5.387939241575424,4.053648933768272,5.6827375665307045,5
cnn_fed_base_main,FedAvg,r2,0.8853994696546852,0.022960232022606813,0.8652739389386523,0.905525000370718,0.9224189511311739,0.8499327820267627,5
cnn_fed_base_main,FedAvg,final_loss,0.0026421150503909015,0.0002050832805301026,0.002462351629115826,0.002821878471665977,0.0023059475637048944,0.002861281861027367,5
cnn_fed_base_main,FedAvg,best_loss,0.003559121924578846,0.0009418636176252835,0.0027335420633575968,0.004384701785800095,0.002053025044504753,0.004976353973108946,5
cnn_fed_base_main,FedAvg,communication_rounds,10.0,0.0,10.0,10.0,10.0,10.0,5
cnn_fed_base_main,FedAvg,convergence_round,8.0,1.7888543819998317,6.432,9.568,5.0,10.0,5
cnn_fed_base_main,Independent,mae,0.06641155317425727,0.014906441982900706,0.05334548068429956,0.07947762566421498,0.0443050354719162,0.08175759017467499,5
cnn_fed_base_main,Independent,rmse,0.08013732701539991,0.0182543536071279,0.06413668059946417,0.09613797343133565,0.05259471610188484,0.10128038823604583,5
cnn_fed_base_main,Independent,mape,6.641155317425728,1.4906441982900709,5.334548068429957,7.947762566421499,4.43050354719162,8.175759017467499,5
cnn_fed_base_main,Independent,r2,0.7870622698021362,0.08924812969573692,0.7088328349352971,0.8652917046689753,0.9086435378780979,0.6912673371623215,5
cnn_fed_base_main,Independent,final_loss,0.00454374534754039,0.0003504297105718989,0.004236580163104048,0.004850910531976732,0.003925320212888879,0.004936647347338842,5
cnn_fed_base_main,Independent,best_loss,0.002931962926395662,0.00036986228379374907,0.0026077643405162144,0.00325616151227511,0.002502809982648381,0.00342324982123368,5
cnn_fed_base_main,Independent,communication_rounds,0.0,0.0,0.0,0.0,0.0,0.0,5
cnn_fed_base_main,Independent,convergence_round,30.0,0.0,30.0,30.0,30.0,30.0,5
