round,avg_train_loss,avg_val_rmse,client_0_train_loss,client_0_val_rmse,client_1_train_loss,client_1_val_rmse,client_2_train_loss,client_2_val_rmse,client_3_train_loss,client_3_val_rmse,client_4_train_loss,client_4_val_rmse
1,0.0008936788630671799,0.056371652536360325,0.0010532331253801073,0.023651119109122657,0.0009650133699843926,0.035004803839291276,0.0006751864948975188,0.05767235781607815,0.000954373915945845,0.06951224986337294,0.0008205874091280358,0.09601773205393661
2,0.0002955820048893137,0.04215917923981748,0.00030606950708066247,0.021155673546030315,0.000367073791234621,0.024906881003197223,0.00026245850229835403,0.04836953725022582,0.000284520466811955,0.056295001387089164,0.00025778775702097584,0.060068803012544886
3,0.000235249664193751,0.019997290142496217,0.00021369843660587712,0.016241656957645387,0.00022415537532651796,0.017562537714291396,0.0002966184859230582,0.022369431603605147,0.0002471265146076413,0.02082005825388481,0.0001946495085056605,0.022992766183054365
4,0.0002175800330171894,0.017983267061471936,0.00019319770924214807,0.013862715570091944,0.00023219485592562705,0.016592112123391987,0.00029906464042142036,0.01803184212151644,0.00018806561046013875,0.019278876442740695,0.00017537734903661268,0.022150789049618626
5,0.0001937329174584842,0.017205420572509778,0.00012229860627225466,0.01399929232234341,0.0003019300938051726,0.015800137829349022,0.00018192837388986455,0.016172616977302132,0.0001757998252287507,0.01846028045785818,0.00018670768809637853,0.02159477527569614
6,0.00019346645800396802,0.017307877321771567,0.00012063147483526596,0.01733200958581387,0.00019111076253466308,0.01658718138393163,0.00023110725201799402,0.01742380504384269,0.00018113439104386738,0.016568231958596136,0.00024334840958804957,0.018628158636673515
7,0.00018699126351358634,0.015861375038294018,8.882879795107458e-05,0.011402814173926403,0.0002727590052277914,0.015027681321429138,0.0002666705732865791,0.01335677013286737,0.0001508906450388687,0.01834713935215305,0.00015580729606361792,0.02117247021109413
8,0.00011133713213244585,0.014219904863916947,8.48643311266122e-05,0.011358170689143653,0.00010358274219990043,0.013772217551077505,0.00012765357615925107,0.012228796628359436,9.574790882262667e-05,0.015723275903965796,0.00014483710235383893,0.018017063547038345
9,0.00013307137491730308,0.012983985358980973,0.00013406105229348344,0.011612981330871876,0.00015490313027320164,0.01290194060368961,0.00014833041204838083,0.011493024861023294,0.0001341354293150029,0.013921783949961518,9.39268506564466e-05,0.014990196049358567
10,0.00014792694355232277,0.012512431343963706,9.994660548337769e-05,0.00966982022261455,7.618428748433612e-05,0.013483696626617978,0.00027977812590376875,0.010433472624491267,0.00013473711639692607,0.01415208142343063,0.00014898858249320516,0.014823085822664112
11,0.00011086287756500365,0.012025223099992413,8.061327046432e-05,0.008976261509083363,0.00015580840408802032,0.013178890435698457,8.24551867221349e-05,0.010187531403188925,7.419506146106869e-05,0.01393147037029854,0.00016124246508947442,0.01385196178169278
12,9.007257927026201e-05,0.01152603680979498,6.46753549517598e-05,0.008582799441030159,0.00013574726659239136,0.012775002304961562,6.976605862811474e-05,0.01003665641165096,0.000100791514809576,0.013231552718358188,7.938270136946813e-05,0.013004173172974027
13,0.0001087604762454118,0.015350177485691206,0.00011055682594555298,0.009739915862076187,0.00014277650511108472,0.01772092016961279,0.00011270663256124992,0.015635689230699298,6.028051959999305e-05,0.017034473639065992,0.00011748189800917837,0.016619888527001758
14,0.00015246163236692415,0.011128921604305158,4.6680465207568235e-05,0.011823986563861908,7.739168878677967e-05,0.010790058442531758,0.00010746703275279807,0.008419424202793253,0.00039073571970220654,0.013383273078563834,0.0001400332553852682,0.011227865733775036
15,0.00010363014876929809,0.012138825769450284,7.45824001829273e-05,0.007933806373426652,0.0001013995279208757,0.014429924683100859,8.698209213824677e-05,0.011991226687057122,6.788736960256106e-05,0.013840753544168844,0.0001872993540018797,0.012498417559497947
