seed,round,method,avg_train_loss,avg_val_loss,avg_val_rmse,avg_val_mae,avg_val_mape
42,1,FedAvg,0.0008230911187794325,0.01338240135461092,0.11497358679771423,0.1139512076973915,11.395120769739151
42,2,FedAvg,0.00018041823437670246,0.0017581470904406162,0.03826075419783592,0.03510289378464222,3.510289378464222
42,3,FedAvg,0.00014775351729310517,0.00040758835209999235,0.02013317756354809,0.01605428159236908,1.605428159236908
42,4,FedAvg,0.00014743709724695823,0.00030334760900586845,0.017408253997564314,0.013411111012101174,1.3411111012101173
42,5,FedAvg,0.00012140935904296515,0.000315847149468027,0.017729134857654573,0.013780284114181996,1.3780284114181995
42,6,FedAvg,0.00012144169420935213,0.00024397077009780333,0.015558635257184506,0.01196853183209896,1.196853183209896
42,7,FedAvg,0.000114901669315129,0.00022710212200763636,0.015000868029892445,0.011450981721282005,1.1450981721282005
42,8,FedAvg,0.00010183946734676804,0.00021285537528456188,0.014504557661712169,0.011058981716632842,1.1058981716632843
42,9,FedAvg,7.895528160068871e-05,0.00019696212853887119,0.013938191905617714,0.010668628662824631,1.066862866282463
42,10,FedAvg,8.773023229358452e-05,0.00018373413040535526,0.013499795086681842,0.00996437929570675,0.9964379295706749
42,11,FedAvg,8.247063203141027e-05,0.0001810247072717175,0.013393701985478401,0.009938878566026687,0.9938878566026688
42,12,FedAvg,7.22288646855824e-05,0.0001636005695036147,0.012701409868896008,0.009730363637208939,0.9730363637208939
42,13,FedAvg,0.00013121980011679364,0.00021190103725530208,0.01444034744054079,0.011533823981881141,1.1533823981881142
42,14,FedAvg,7.85004679762226e-05,0.00013868391019059345,0.011743985116481781,0.008723133988678456,0.8723133988678455
42,15,FedAvg,7.012462287093512e-05,0.00013388033265073317,0.011539114452898503,0.008646053820848465,0.8646053820848465
2024,1,FedAvg,0.0014182549387416136,0.010813265405595305,0.10370353609323502,0.10284437239170074,10.284437239170074
2024,2,FedAvg,0.0002248667637052547,0.0013091226795222612,0.03491063341498375,0.03249390795826912,3.249390795826912
2024,3,FedAvg,0.000162004894560336,0.00022740946515114046,0.014872567728161812,0.011901315487921237,1.1901315487921238
2024,4,FedAvg,0.00012104123535599292,0.0002167521153751295,0.014524351619184018,0.011678683012723923,1.1678683012723923
