seed,round,method,avg_train_loss,avg_val_loss,avg_val_rmse,avg_val_mae,avg_val_mape
42,1,FedAvg,0.006098384169414786,0.08350506564403784,0.2863085061311722,0.2550660610198975,25.506606101989746
42,2,FedAvg,0.006058351551402252,0.005993737395213002,0.07545375525951385,0.06109828054904938,6.109828054904938
42,3,FedAvg,0.0043798620833577825,0.0038998025732263873,0.06071398630738258,0.04793362691998482,4.793362691998482
42,4,FedAvg,0.0040000811318522764,0.0020573402020383266,0.045180394500494006,0.036595520377159116,3.659552037715912
42,5,FedAvg,0.0034051859275170135,0.0021710792474985514,0.04609094187617302,0.03639889769256115,3.639889769256115
42,6,FedAvg,0.0036999883477186273,0.0028884269712964464,0.052931250631809236,0.043502161651849745,4.350216165184975
42,7,FedAvg,0.0035330856256418986,0.0028920654754551966,0.05342186465859413,0.04446617364883423,4.446617364883423
42,8,FedAvg,0.0024022150811427445,0.0023203388274984473,0.04779157564043999,0.03992849662899971,3.992849662899971
42,9,FedAvg,0.0025509324768898775,0.002420192725224793,0.048490212112665174,0.038737131655216216,3.8737131655216217
42,10,FedAvg,0.002745389346283209,0.0026120485928219556,0.05026077330112457,0.04062014669179916,4.062014669179916
42,11,FedAvg,0.0018708142424384664,0.0026663961235370228,0.0510134182870388,0.041995377838611604,4.19953778386116
42,12,FedAvg,0.0026137865062916643,0.0029428922948025386,0.05412260666489601,0.04438628703355789,4.438628703355789
42,13,FedAvg,0.0027413452763524727,0.004458174630586493,0.06564162150025368,0.05648791790008545,5.648791790008545
42,14,FedAvg,0.0026370051139385058,0.0028443359038275856,0.05272144004702568,0.04370008260011673,4.370008260011673
42,15,FedAvg,0.002253592142149125,0.0028350802328641414,0.05219172015786171,0.043180376291275024,4.318037629127502
2024,1,FedAvg,0.007045675171519422,0.06193665321960903,0.23596391677856446,0.19983872026205063,19.983872026205063
2024,2,FedAvg,0.005147179429953784,0.017215828709984064,0.12028558999300003,0.10222121477127075,10.222121477127075
2024,3,FedAvg,0.0038832375981814465,0.006827808646418368,0.07814453020691872,0.06298123300075531,6.298123300075531
2024,4,FedAvg,0.003915619680621058,0.005525329964887181,0.07283230796456337,0.05961872935295105,5.961872935295105
2024,5,FedAvg,0.004053031970852058,0.005143548640241946,0.07018903717398643,0.05730663388967514,5.730663388967514
2024,6,FedAvg,0.003512765375862664,0.004546070664742594,0.06363506689667701,0.050806526094675064,5.080652609467506
2024,7,FedAvg,0.0033801994834575773,0.004283572762981841,0.06468909308314323,0.05273289829492569,5.273289829492569
2024,8,FedAvg,0.0026913553835765354,0.003965300541198381,0.06055561080574989,0.04850015044212341,4.850015044212341
2024,9,FedAvg,0.003429741712521101,0.004338089650719609,0.061924728006124495,0.049320650100708005,4.932065010070801
2024,10,FedAvg,0.0026851124785776882,0.0038829944236420644,0.05965085253119469,0.047977015376091,4.7977015376091
2024,11,FedAvg,0.0028516999975066702,0.00412974109348259,0.059658683836460114,0.04827020317316055,4.827020317316055
2024,12,FedAvg,0.0019440023328437385,0.0036744795079792377,0.05700937137007713,0.046129950881004335,4.612995088100433
2024,13,FedAvg,0.0024310604087816913,0.003489118484486161,0.056813646107912064,0.04529073387384415,4.529073387384415
2024,14,FedAvg,0.0022650894970951594,0.004132702342355184,0.05880080386996269,0.04843869246542454,4.843869246542454
2024,15,FedAvg,0.0018077455495438947,0.0035533263229597647,0.05831436440348625,0.04606607705354691,4.6066077053546906
3407,1,FedAvg,0.0046012053363179975,0.15735890758035756,0.3866150677204132,0.35451979041099546,35.45197904109955
3407,2,FedAvg,0.004062445388356986,0.02117454909605295,0.133365136384964,0.11905729174613952,11.905729174613953
3407,3,FedAvg,0.00471000433160288,0.006422829223179096,0.07100516147911548,0.05993304513394833,5.993304513394833
3407,4,FedAvg,0.0028477712133553423,0.004728455533366141,0.06268457248806954,0.05199981927871704,5.199981927871704
3407,5,FedAvg,0.0031866388693881425,0.004011552612232659,0.059235775470733644,0.04949935451149941,4.9499354511499405
3407,6,FedAvg,0.003930104229133221,0.0037305380149522784,0.0577578492462635,0.04837147668004036,4.837147668004036
3407,7,FedAvg,0.003937510455028011,0.0036410235811776145,0.05676876604557037,0.047497226297855376,4.749722629785538
3407,8,FedAvg,0.00289486018242175,0.004137641709641863,0.06309004575014114,0.05277090445160866,5.277090445160866
3407,9,FedAvg,0.0022906705196288533,0.003994684831503182,0.058820641040802,0.04895174726843834,4.895174726843834
3407,10,FedAvg,0.00292629390396189,0.00580970224281188,0.06702718548476697,0.056781203299760816,5.678120329976082
3407,11,FedAvg,0.0022828004562765653,0.0050065841157705985,0.06513715758919716,0.05394282713532448,5.394282713532448
3407,12,FedAvg,0.0024807614829538112,0.004756338412960199,0.06431235298514366,0.05439336597919464,5.439336597919464
3407,13,FedAvg,0.002228260425088121,0.004432378724938383,0.06297324225306511,0.05317106619477272,5.317106619477272
3407,14,FedAvg,0.0019432640057853387,0.005144194007028646,0.06442297548055649,0.05365235842764378,5.365235842764378
3407,15,FedAvg,0.0028157287962322164,0.005410365865747014,0.06581824794411659,0.055175221711397174,5.517522171139717
1234,1,FedAvg,0.005884835134359324,0.038971460716012506,0.18708567023277284,0.1563205361366272,15.63205361366272
1234,2,FedAvg,0.005097315021995253,0.00974183429680147,0.09269770085811616,0.07948112860321999,7.948112860321999
1234,3,FedAvg,0.005113533807591686,0.007557429210125486,0.07982074469327927,0.0679611437022686,6.79611437022686
1234,4,FedAvg,0.0038263294186330205,0.0065773665855594545,0.07361392453312873,0.06181582771241665,6.181582771241665
1234,5,FedAvg,0.0038365274236491524,0.005853448422921884,0.06760008484125138,0.05582307800650597,5.582307800650597
1234,6,FedAvg,0.0032571719203789914,0.0051282135965941295,0.0636906310915947,0.05189993679523468,5.189993679523468
1234,7,FedAvg,0.003639589087725205,0.0058813846840501185,0.06722763106226921,0.05554390549659729,5.554390549659729
1234,8,FedAvg,0.0020402897987042328,0.00450262789319212,0.06041923202574253,0.04899181388318539,4.899181388318539
1234,9,FedAvg,0.0030114867331767136,0.004774880826264154,0.062423520535230634,0.05148557052016258,5.148557052016258
1234,10,FedAvg,0.0023467352106174262,0.005028307082355653,0.06750948876142501,0.05706050992012024,5.706050992012024
1234,11,FedAvg,0.0021589740234386656,0.004718379748851771,0.06361096352338791,0.052370313182473184,5.237031318247318
1234,12,FedAvg,0.0019265172144292964,0.00459191791342675,0.062353219091892245,0.05059009939432144,5.059009939432144
1234,13,FedAvg,0.0023838916777291223,0.004943386166720737,0.06380238980054856,0.053209707513451575,5.320970751345158
1234,14,FedAvg,0.0028475783700816033,0.004677736371273706,0.06427021473646163,0.05396129265427589,5.396129265427589
