method,round,n,avg_train_loss_mean,avg_train_loss_std,avg_train_loss_ci95_lower,avg_train_loss_ci95_upper,avg_val_loss_mean,avg_val_loss_std,avg_val_loss_ci95_lower,avg_val_loss_ci95_upper,avg_val_rmse_mean,avg_val_rmse_std,avg_val_rmse_ci95_lower,avg_val_rmse_ci95_upper
FedAvg,1,5,0.007996457126275055,0.0016635072029023783,0.006538328773068956,0.009454585479481154,0.11176940258747352,0.05100288116392251,0.0670634061297708,0.15647539904517624,0.3169947111606598,0.08028147849702615,0.24662489260527287,0.38736452971604673
FedAvg,2,5,0.00517210880723432,0.0008659972879045772,0.004413028716032964,0.005931188898435676,0.01942813856554996,0.007641041662976879,0.012730470243238819,0.0261258068878611,0.13163531064987183,0.029865741767056996,0.10545683376435093,0.1578137875353927
FedAvg,3,5,0.00458112568927009,0.0008304168467409278,0.003853233229832384,0.005309018148707796,0.0059831527060478056,0.0012996120838062817,0.004843992488249574,0.007122312923846037,0.07495831027626991,0.008549485410210585,0.06746435590071947,0.08245226465182035
FedAvg,4,5,0.004859304124147631,0.000451614695627405,0.004463446389795815,0.005255161858499446,0.005345792660891592,0.0019052820255456122,0.0036757393317236276,0.007015845990059556,0.07054322138428688,0.012694752482647323,0.0594157802168633,0.08167066255171046
FedAvg,5,5,0.004402769582500838,0.0010500028727851943,0.0034824014848546772,0.005323137680147,0.004697669060686976,0.0012007120926350325,0.003645198507356097,0.005750139614017855,0.06618171855807305,0.008349393991129985,0.05886315204431584,0.07350028507183026
FedAvg,6,5,0.0038810164199503732,0.0008225604665869577,0.0031600103813445597,0.004602022458556187,0.004582509530017641,0.001278541684365377,0.0034618183316408803,0.005703200728394402,0.06517637580633164,0.009163887693543439,0.05714387408452437,0.0732088775281389
FedAvg,7,5,0.003812158631315741,0.0003511668337086746,0.003504347329962284,0.004119969932669197,0.004526842839920187,0.0008798548390245415,0.003755616069606911,0.005298069610233463,0.06563282147049904,0.006478572187410635,0.05995410256968868,0.07131154037130939
FedAvg,8,5,0.003245878310953896,0.0002740321954738366,0.0030056785010495165,0.0034860781208582757,0.004522885474900864,0.0010535780374384708,0.0035993836072660745,0.005446387342535654,0.06546428516507148,0.0072813442676404935,0.059081905511062634,0.07184666481908032
FedAvg,9,5,0.0030905565392518133,0.0004318725690571876,0.0027120035418163107,0.003469109536687316,0.004632590640924063,0.001497701966344849,0.0033197969854654465,0.0059453842963826786,0.06602805830538273,0.010206331784021435,0.05708181405074719,0.07497430256001827
FedAvg,10,5,0.0031419011911655317,0.00039555151977939705,0.0027951849971281388,0.0034886173852029245,0.004510384971286942,0.0011579686727475657,0.003495380677400066,0.005525389265173817,0.06522945269942283,0.007926402161529908,0.05828165487175143,0.07217725052709423
FedAvg,11,5,0.002692728997439647,0.00021612047193202393,0.0025032910513444655,0.0028821669435348286,0.004589492681531259,0.0015527629809970953,0.0032284359187770093,0.005950549444285509,0.06539604380726814,0.010703962540915504,0.05601360696218955,0.07477848065234673
FedAvg,12,5,0.003144909164957385,0.00026995710902137676,0.002908281325819186,0.003381537004095584,0.004552259959456877,0.0010092668204838623,0.003667598585986376,0.005436921332927378,0.06564101979136466,0.006695264756280139,0.05977236147938349,0.07150967810334584
FedAvg,13,5,0.002835639980231164,0.00027511240665548846,0.002594493323478951,0.0030767866369833773,0.004417722214753509,0.00123070530557647,0.003338961451126363,0.005496482978380655,0.06449960328638553,0.0088055708503954,0.05678118012553303,0.07221802644723803
FedAvg,14,5,0.002828749473888649,0.0004338105555708657,0.002448497756376194,0.003209001191401104,0.004446163382357949,0.0011313665953940665,0.0034544768373666844,0.005437849927349213,0.06476475715637206,0.008683315759499838,0.057153495307504014,0.0723760190052401
FedAvg,15,5,0.0026477958457547203,0.00048175329524431236,0.002225520464066803,0.0030700712274426374,0.004953629884101798,0.0011938821725363488,0.003907146019694566,0.00600011374850903,0.0685824054479599,0.008243867572827935,0.06135633691814292,0.07580847397777689
