round,method,graph_type,client_id,train_loss,val_mse,val_rmse,val_mae
1,GCN-FedAvg,fixed_adjacency,0,1.0650889697622081,42.319305419921875,6.505329001666394,5.438168525695801
1,GCN-FedAvg,fixed_adjacency,1,0.591711328310125,57.0181770324707,7.55103814269738,6.009397029876709
1,GCN-FedAvg,fixed_adjacency,2,0.9432571723427571,131.5033721923828,11.467491974812226,9.28394889831543
1,GCN-FedAvg,fixed_adjacency,3,0.4181323306901114,47.87680435180664,6.919306638082073,5.591850757598877
1,GCN-FedAvg,fixed_adjacency,4,0.7869897160841071,234.52008056640625,15.314048470812878,10.418868064880371
2,GCN-FedAvg,fixed_adjacency,0,0.8031753037796646,34.90858840942383,5.90834904261959,4.989766597747803
2,GCN-FedAvg,fixed_adjacency,1,0.5840209056349361,42.233177185058594,6.498705808471298,4.915091514587402
2,GCN-FedAvg,fixed_adjacency,2,0.9501500776116277,124.65794372558594,11.165032186500222,8.750636100769043
2,GCN-FedAvg,fixed_adjacency,3,0.35127892238753183,40.56961441040039,6.369428107012465,5.158935546875
2,GCN-FedAvg,fixed_adjacency,4,0.5542249511117521,213.77734375,14.62112662382759,9.295670509338379
3,GCN-FedAvg,fixed_adjacency,0,0.809700783158912,25.161972045898438,5.016171054290158,4.186431407928467
3,GCN-FedAvg,fixed_adjacency,1,0.6211940237120086,39.270652770996094,6.266630096869935,4.398867607116699
3,GCN-FedAvg,fixed_adjacency,2,1.1010396405005118,145.69960021972656,12.070608941545848,10.01547908782959
3,GCN-FedAvg,fixed_adjacency,3,0.38650591884340557,33.84114074707031,5.817313877303709,4.681690692901611
3,GCN-FedAvg,fixed_adjacency,4,0.31765340770716255,188.44737243652344,13.727613501134254,8.934324264526367
4,GCN-FedAvg,fixed_adjacency,0,0.5512393488258612,24.856264114379883,4.985605691827211,4.236564636230469
4,GCN-FedAvg,fixed_adjacency,1,0.5919594601088879,35.741943359375,5.978456603453353,4.106987953186035
4,GCN-FedAvg,fixed_adjacency,2,0.9659264360515165,127.51435852050781,11.292225578711568,8.946287155151367
4,GCN-FedAvg,fixed_adjacency,3,0.3310598475592477,32.27124786376953,5.680778807854565,4.529796600341797
4,GCN-FedAvg,fixed_adjacency,4,0.30080836493036023,188.53341674804688,13.730747130001589,8.859770774841309
