seed,graph_type,method,client_id,mse,rmse,mae,mape
42,fixed_adjacency,GCN-FedAvg,0,7.681152820587158,2.771489278454304,2.200791120529175,2.8514623641967773
42,fixed_adjacency,GCN-FedAvg,1,20.70189666748047,4.549933699240074,3.7200353145599365,6.00421316921711
42,fixed_adjacency,GCN-FedAvg,2,89.86476135253906,9.479702598317052,7.791414260864258,8.40892568230629
42,fixed_adjacency,GCN-FedAvg,3,15.115546226501465,3.8878716833894433,2.971957206726074,4.151229560375214
42,fixed_adjacency,GCN-FedAvg,4,121.69841003417969,11.031700233154439,8.185663223266602,87.67070174217224
42,fixed_adjacency,GCN-Proposed,0,7.847567558288574,2.8013510237541768,2.2260801792144775,2.8853651136159897
42,fixed_adjacency,GCN-Proposed,1,21.00911521911621,4.583570138998225,3.750070333480835,6.062420457601547
42,fixed_adjacency,GCN-Proposed,2,90.58968353271484,9.517861289844207,7.844977378845215,8.480627089738846
42,fixed_adjacency,GCN-Proposed,3,15.125943183898926,3.8892085549503417,2.9891858100891113,4.187174513936043
42,fixed_adjacency,GCN-Proposed,4,120.31230163574219,10.968696441954357,8.16573715209961,87.11777329444885
42,dynamic_peak_adjacency,GCN-FedAvg,0,7.747958660125732,2.783515521804348,2.2072932720184326,2.8609000146389008
42,dynamic_peak_adjacency,GCN-FedAvg,1,20.039306640625,4.476528413919094,3.6421959400177,5.8951277285814285
42,dynamic_peak_adjacency,GCN-FedAvg,2,88.57783508300781,9.411579839910397,7.760202884674072,8.3978071808815
42,dynamic_peak_adjacency,GCN-FedAvg,3,15.255575180053711,3.9058386013830257,2.9913506507873535,4.195747151970863
42,dynamic_peak_adjacency,GCN-FedAvg,4,120.10462951660156,10.959225771768805,8.143852233886719,93.77533197402954
42,dynamic_peak_adjacency,GCN-Proposed,0,7.783812046051025,2.78994839487239,2.2133891582489014,2.8688929975032806
42,dynamic_peak_adjacency,GCN-Proposed,1,20.196102142333984,4.494007358954142,3.656898260116577,5.922216549515724
42,dynamic_peak_adjacency,GCN-Proposed,2,89.20556640625,9.444869845913706,7.778709411621094,8.422229439020157
42,dynamic_peak_adjacency,GCN-Proposed,3,15.366179466247559,3.919971870593915,3.024671792984009,4.242422059178352
42,dynamic_peak_adjacency,GCN-Proposed,4,119.22393035888672,10.918971121808443,8.128999710083008,92.06442832946777
42,dynamic_offpeak_adjacency,GCN-FedAvg,0,7.929127216339111,2.8158705965187947,2.240224838256836,2.9040828347206116
42,dynamic_offpeak_adjacency,GCN-FedAvg,1,20.41544532775879,4.518345419261213,3.670520305633545,5.942302942276001
42,dynamic_offpeak_adjacency,GCN-FedAvg,2,88.65142822265625,9.41548874050924,7.773731231689453,8.405833691358566
42,dynamic_offpeak_adjacency,GCN-FedAvg,3,15.311929702758789,3.9130460900376307,2.996532440185547,4.202789813280106
42,dynamic_offpeak_adjacency,GCN-FedAvg,4,122.03238677978516,11.046827000536632,8.264153480529785,93.22021007537842
42,dynamic_offpeak_adjacency,GCN-Proposed,0,7.972545146942139,2.823569575367701,2.2465715408325195,2.912618964910507
42,dynamic_offpeak_adjacency,GCN-Proposed,1,20.598098754882812,4.538512835156777,3.68705153465271,5.97330741584301
42,dynamic_offpeak_adjacency,GCN-Proposed,2,89.27926635742188,9.448770626775838,7.794757843017578,8.433811366558075
42,dynamic_offpeak_adjacency,GCN-Proposed,3,15.383091926574707,3.922128494398763,3.024317979812622,4.2417120188474655
42,dynamic_offpeak_adjacency,GCN-Proposed,4,120.04938507080078,10.956705028009141,8.208303451538086,91.24164581298828
42,functional_similarity_adjacency,GCN-FedAvg,0,7.557189464569092,2.749034278536572,2.1842219829559326,2.828756347298622
42,functional_similarity_adjacency,GCN-FedAvg,1,19.904813766479492,4.461481118023419,3.6395108699798584,5.871798098087311
42,functional_similarity_adjacency,GCN-FedAvg,2,88.91374969482422,9.429408766981322,7.787546634674072,8.403684198856354
42,functional_similarity_adjacency,GCN-FedAvg,3,15.009936332702637,3.874265908879079,2.973612070083618,4.158758744597435
42,functional_similarity_adjacency,GCN-FedAvg,4,123.36582946777344,11.107017127373732,8.284913063049316,91.62874221801758
42,functional_similarity_adjacency,GCN-Proposed,0,7.669896602630615,2.7694578174492235,2.201555013656616,2.852039411664009
42,functional_similarity_adjacency,GCN-Proposed,1,20.17801856994629,4.491994943223588,3.6683926582336426,5.926270037889481
42,functional_similarity_adjacency,GCN-Proposed,2,89.5524673461914,9.463216543342511,7.812911510467529,8.440492302179337
42,functional_similarity_adjacency,GCN-Proposed,3,15.15833854675293,3.8933711031383753,3.0052928924560547,4.205801337957382
42,functional_similarity_adjacency,GCN-Proposed,4,120.68604278564453,10.985719948444187,8.212331771850586,89.88882899284363
