source_node,target_node,delay_steps,correlation
0,1,1,0.9218304753303528
0,2,1,0.9268746376037598
0,3,0,0.9331987500190735
0,4,0,0.9296925067901611
0,5,0,0.9294819831848145
0,6,1,0.934220552444458
0,7,1,0.9329172372817993
1,0,1,0.9216209650039673
1,2,1,0.931951642036438
1,3,0,0.9384099245071411
1,4,0,0.9374462366104126
1,5,0,0.9398949146270752
1,6,1,0.9432043433189392
1,7,0,0.9409903287887573
2,0,0,0.926849901676178
2,1,0,0.9312747120857239
2,3,2,0.9418087601661682
2,4,0,0.9428056478500366
2,5,1,0.945134699344635
2,6,0,0.9494737982749939
2,7,1,0.9503101110458374
3,0,0,0.9331987500190735
3,1,1,0.9409037828445435
3,2,1,0.940370500087738
3,4,0,0.9464885592460632
3,5,1,0.9446369409561157
3,6,0,0.9493478536605835
3,7,1,0.9456998705863953
4,0,1,0.9319019913673401
4,1,1,0.940973699092865
4,2,0,0.9428056478500366
4,3,0,0.9464885592460632
4,5,0,0.9480610489845276
4,6,2,0.9480547904968262
4,7,1,0.9508925080299377
5,0,1,0.9319979548454285
5,1,1,0.9402152299880981
5,2,1,0.943272590637207
5,3,2,0.9458239674568176
5,4,0,0.9480610489845276
5,6,0,0.9529905319213867
5,7,0,0.9535767436027527
6,0,2,0.9357418417930603
6,1,0,0.9427348971366882
6,2,0,0.9494737982749939
6,3,0,0.9493478536605835
6,4,1,0.9489363431930542
6,5,1,0.9543783664703369
6,7,1,0.9555346369743347
7,0,1,0.9349998831748962
7,1,0,0.9409903287887573
7,2,0,0.9483797550201416
7,3,1,0.946513831615448
7,4,2,0.9489341378211975
7,5,0,0.9535767436027527
7,6,1,0.955156683921814
