seed,noniid_level,graph_type,method,client_id,mse,rmse,mae
2024,medium,fixed_adjacency,GCN-FedAvg,0,7.5021281242370605,2.739001300517592,2.17524790763855
2024,medium,fixed_adjacency,GCN-FedAvg,1,34.14301681518555,5.843202616304311,4.305294990539551
2024,medium,fixed_adjacency,GCN-FedAvg,2,79.07646179199219,8.89249468889311,7.099697589874268
2024,medium,fixed_adjacency,GCN-FedAvg,3,20.688007354736328,4.548407122799841,3.4450411796569824
2024,medium,fixed_adjacency,GCN-FedAvg,4,133.38067626953125,11.549055211121438,8.711180686950684
2024,medium,fixed_adjacency,GCN-Proposed,0,7.740379810333252,2.7821538078138763,2.223798990249634
2024,medium,fixed_adjacency,GCN-Proposed,1,34.674842834472656,5.888534863144877,4.334217071533203
2024,medium,fixed_adjacency,GCN-Proposed,2,78.59980010986328,8.865652830438561,7.110504150390625
2024,medium,fixed_adjacency,GCN-Proposed,3,21.03472328186035,4.586362750792871,3.477273941040039
2024,medium,fixed_adjacency,GCN-Proposed,4,123.29158020019531,11.103674175703974,8.290336608886719
2025,medium,fixed_adjacency,Independent,0,8.527831077575684,2.9202450372487037,2.4223971366882324
2025,medium,fixed_adjacency,Independent,1,425.86572265625,20.636514304897762,17.85649299621582
2025,medium,fixed_adjacency,Independent,2,128.47816467285156,11.334820892843943,9.726888656616211
2025,medium,fixed_adjacency,Independent,3,24.574167251586914,4.957233830634471,3.9886298179626465
2025,medium,fixed_adjacency,Independent,4,273.8243103027344,16.547637604888934,12.355353355407715
2025,medium,fixed_adjacency,GCN-FedAvg,0,5.2327656745910645,2.287523917818361,1.8476618528366089
2025,medium,fixed_adjacency,GCN-FedAvg,1,22.266796112060547,4.718770614477943,3.609987497329712
2025,medium,fixed_adjacency,GCN-FedAvg,2,100.04429626464844,10.002214568016846,7.543788909912109
2025,medium,fixed_adjacency,GCN-FedAvg,3,22.171348571777344,4.708646150623058,3.4925601482391357
2025,medium,fixed_adjacency,GCN-FedAvg,4,356.7710876464844,18.888384993071387,14.482087135314941
2025,medium,fixed_adjacency,GCN-Proposed,0,5.171792984008789,2.274157642734731,1.835054874420166
2025,medium,fixed_adjacency,GCN-Proposed,1,21.751779556274414,4.663880311100877,3.569432497024536
2025,medium,fixed_adjacency,GCN-Proposed,2,98.31047821044922,9.915164053632658,7.523427486419678
2025,medium,fixed_adjacency,GCN-Proposed,3,21.682092666625977,4.656403404627436,3.4736781120300293
2025,medium,fixed_adjacency,GCN-Proposed,4,346.437744140625,18.612838153828797,14.290352821350098
42,high,fixed_adjacency,Independent,0,201.1920166015625,14.184217165623293,10.77379322052002
42,high,fixed_adjacency,Independent,1,504.1094665527344,22.452382202179223,16.075786590576172
42,high,fixed_adjacency,Independent,2,128.39657592773438,11.331221290211147,7.763467311859131
42,high,fixed_adjacency,Independent,3,246.39747619628906,15.697053105480947,11.769734382629395
42,high,fixed_adjacency,Independent,4,214.27882385253906,14.63826573923766,11.132962226867676
42,high,fixed_adjacency,GCN-FedAvg,0,192.82241821289062,13.886051210221378,10.542116165161133
42,high,fixed_adjacency,GCN-FedAvg,1,470.5010070800781,21.691035177696754,16.30815315246582
42,high,fixed_adjacency,GCN-FedAvg,2,91.41281127929688,9.56100472122553,6.57606315612793
42,high,fixed_adjacency,GCN-FedAvg,3,207.91024780273438,14.41909316852951,9.809008598327637
42,high,fixed_adjacency,GCN-FedAvg,4,278.53619384765625,16.689403639664786,12.506650924682617
42,high,fixed_adjacency,GCN-Proposed,0,187.20639038085938,13.682338629812499,10.365309715270996
42,high,fixed_adjacency,GCN-Proposed,1,466.5380859375,21.599492724078036,16.007680892944336
42,high,fixed_adjacency,GCN-Proposed,2,94.11050415039062,9.701056857393972,6.636715888977051
42,high,fixed_adjacency,GCN-Proposed,3,200.6434326171875,14.164866134813542,9.546380043029785
42,high,fixed_adjacency,GCN-Proposed,4,265.3803405761719,16.290498475374285,11.988546371459961
2024,high,fixed_adjacency,Independent,0,127.36786651611328,11.285737304939952,8.288576126098633
2024,high,fixed_adjacency,Independent,1,428.7982177734375,20.70744353544004,15.599263191223145
2024,high,fixed_adjacency,Independent,2,358.9869384765625,18.946950637940727,14.495721817016602
2024,high,fixed_adjacency,Independent,3,286.4062805175781,16.923542197707256,12.483675956726074
2024,high,fixed_adjacency,Independent,4,354.6074523925781,18.831023668207155,13.946425437927246
