seed,lambda,graph_type,client_id,mse,rmse,mae
42,0.0,fixed_adjacency,0,6.504727840423584,2.5504367940459893,2.012051582336426
42,0.0,fixed_adjacency,1,20.39520263671875,4.516104807986497,3.729827642440796
42,0.0,fixed_adjacency,2,90.87162780761719,9.5326611084008,7.78564977645874
42,0.0,fixed_adjacency,3,14.569452285766602,3.8169951906920976,3.001014471054077
42,0.0,fixed_adjacency,4,122.51698303222656,11.068738999191668,8.0449800491333
42,0.25,fixed_adjacency,0,6.82811975479126,2.6130671163962207,2.066014289855957
42,0.25,fixed_adjacency,1,20.57262420654297,4.535705480577742,3.7395970821380615
42,0.25,fixed_adjacency,2,90.79257202148438,9.52851363127977,7.8130879402160645
42,0.25,fixed_adjacency,3,14.7042875289917,3.8346169989963403,2.991212844848633
42,0.25,fixed_adjacency,4,123.82312774658203,11.127584092990807,8.137303352355957
42,0.5,fixed_adjacency,0,7.022353649139404,2.649972386486207,2.0981767177581787
42,0.5,fixed_adjacency,1,20.650419235229492,4.544273235098159,3.740396499633789
42,0.5,fixed_adjacency,2,90.610595703125,9.518959801528998,7.816997051239014
42,0.5,fixed_adjacency,3,14.792266845703125,3.846071612139213,2.9774184226989746
42,0.5,fixed_adjacency,4,125.34796905517578,11.195890721830747,8.20853328704834
42,0.75,fixed_adjacency,0,7.058923244476318,2.6568634222474286,2.1044087409973145
42,0.75,fixed_adjacency,1,20.56867218017578,4.535269802357494,3.7276456356048584
42,0.75,fixed_adjacency,2,90.24099731445312,9.499526162627962,7.797220706939697
42,0.75,fixed_adjacency,3,14.816950798034668,3.8492792569563807,2.9626197814941406
42,0.75,fixed_adjacency,4,126.84379577636719,11.262495095509129,8.260814666748047
42,1.0,fixed_adjacency,0,6.978175640106201,2.641623674959437,2.0916407108306885
42,1.0,fixed_adjacency,1,20.35816764831543,4.512002620601569,3.7019975185394287
42,1.0,fixed_adjacency,2,89.67769622802734,9.469830844742019,7.752511501312256
42,1.0,fixed_adjacency,3,14.823307991027832,3.8501049324697414,2.956608295440674
42,1.0,fixed_adjacency,4,127.90528106689453,11.309521699298097,8.265005111694336
