seed,num_clients,graph_type,method,client_id,mse,rmse,mae
42,3,fixed_adjacency,Independent,0,6.453258514404297,2.5403264582341176,2.061394453048706
42,3,fixed_adjacency,Independent,1,33.91217803955078,5.823416354645337,4.686214923858643
42,3,fixed_adjacency,Independent,2,137.21038818359375,11.713683800734668,10.200761795043945
42,3,fixed_adjacency,GCN-FedAvg,0,6.637318134307861,2.576299309922638,2.075147867202759
42,3,fixed_adjacency,GCN-FedAvg,1,19.461891174316406,4.411563348101941,3.589823007583618
42,3,fixed_adjacency,GCN-FedAvg,2,87.27738189697266,9.342236450495816,7.735499382019043
42,3,fixed_adjacency,GCN-Proposed,0,6.6364030838012695,2.5761217137009016,2.0760622024536133
42,3,fixed_adjacency,GCN-Proposed,1,19.51310920715332,4.417364509201535,3.5796971321105957
42,3,fixed_adjacency,GCN-Proposed,2,87.10833740234375,9.333184740609378,7.714585304260254
2024,3,fixed_adjacency,Independent,0,5.85341215133667,2.4193825971385077,1.9071683883666992
2024,3,fixed_adjacency,Independent,1,62.31542205810547,7.894011784771129,6.505449295043945
2024,3,fixed_adjacency,Independent,2,91.7583999633789,9.579060494817794,7.933836936950684
2024,3,fixed_adjacency,GCN-FedAvg,0,13.102974891662598,3.6198031564800037,2.946577787399292
2024,3,fixed_adjacency,GCN-FedAvg,1,36.915950775146484,6.075849798599903,4.619781017303467
2024,3,fixed_adjacency,GCN-FedAvg,2,80.25003814697266,8.958238562740593,7.186882019042969
2024,3,fixed_adjacency,GCN-Proposed,0,12.507342338562012,3.5365721169745727,2.87656569480896
2024,3,fixed_adjacency,GCN-Proposed,1,36.611061096191406,6.0507074872440665,4.5772705078125
2024,3,fixed_adjacency,GCN-Proposed,2,79.7347412109375,8.929431180704485,7.164492607116699
2025,3,fixed_adjacency,Independent,0,8.527831077575684,2.9202450372487037,2.4223971366882324
2025,3,fixed_adjacency,Independent,1,425.86572265625,20.636514304897762,17.85649299621582
2025,3,fixed_adjacency,Independent,2,128.47816467285156,11.334820892843943,9.726888656616211
2025,3,fixed_adjacency,GCN-FedAvg,0,8.461431503295898,2.908853984526535,2.290039539337158
2025,3,fixed_adjacency,GCN-FedAvg,1,21.906681060791016,4.68045735594194,3.6365878582000732
2025,3,fixed_adjacency,GCN-FedAvg,2,97.25041198730469,9.861562350221424,7.67922306060791
2025,3,fixed_adjacency,GCN-Proposed,0,7.871726036071777,2.8056596436616785,2.2165651321411133
