seed,aggregation_method,graph_type,client_id,mse,rmse,mae,mape
42,FedAvg,fixed_adjacency,0,7.681152820587158,2.771489278454304,2.200791120529175,2.8514623641967773
42,FedAvg,fixed_adjacency,1,20.70189666748047,4.549933699240074,3.7200353145599365,6.00421316921711
42,FedAvg,fixed_adjacency,2,89.86476135253906,9.479702598317052,7.791414260864258,8.40892568230629
42,FedAvg,fixed_adjacency,3,15.115546226501465,3.8878716833894433,2.971957206726074,4.151229560375214
42,FedAvg,fixed_adjacency,4,121.69841003417969,11.031700233154439,8.185663223266602,87.67070174217224
42,Loss-weighted,fixed_adjacency,0,7.388097286224365,2.7181054589960936,2.158090591430664,2.7937887236475945
42,Loss-weighted,fixed_adjacency,1,20.735740661621094,4.553651354860305,3.7488601207733154,6.0417599976062775
42,Loss-weighted,fixed_adjacency,2,91.0601806640625,9.542545816712776,7.827198028564453,8.450528234243393
42,Loss-weighted,fixed_adjacency,3,14.89657974243164,3.859608755098325,3.0240681171417236,4.2278483510017395
42,Loss-weighted,fixed_adjacency,4,117.9216537475586,10.859173713849438,8.02041244506836,83.52190852165222
42,Data-loss,fixed_adjacency,0,7.862029075622559,2.8039310040766976,2.2285454273223877,2.8885681182146072
42,Data-loss,fixed_adjacency,1,21.071044921875,4.5903207863802935,3.7587292194366455,6.077824905514717
42,Data-loss,fixed_adjacency,2,90.91143798828125,9.534748973532615,7.862371444702148,8.503808826208115
42,Data-loss,fixed_adjacency,3,15.12772274017334,3.8894373295083877,3.001842975616455,4.206368699669838
42,Data-loss,fixed_adjacency,4,120.15049743652344,10.961318234433458,8.168444633483887,86.69477105140686
42,Similarity,fixed_adjacency,0,8.007217407226562,2.8297027065093894,2.2500901222229004,2.91750431060791
42,Similarity,fixed_adjacency,1,21.229764938354492,4.607576905310913,3.766690492630005,6.097038462758064
42,Similarity,fixed_adjacency,2,90.90007781982422,9.534153230351619,7.86992073059082,8.51699560880661
42,Similarity,fixed_adjacency,3,15.255141258239746,3.9057830531456488,3.0075807571411133,4.216840863227844
42,Similarity,fixed_adjacency,4,119.37770080566406,10.92601028764224,8.132493019104004,87.13746666908264
42,Proposed,fixed_adjacency,0,7.847567558288574,2.8013510237541768,2.2260801792144775,2.8853651136159897
42,Proposed,fixed_adjacency,1,21.00911521911621,4.583570138998225,3.750070333480835,6.062420457601547
42,Proposed,fixed_adjacency,2,90.58968353271484,9.517861289844207,7.844977378845215,8.480627089738846
42,Proposed,fixed_adjacency,3,15.125943183898926,3.8892085549503417,2.9891858100891113,4.187174513936043
42,Proposed,fixed_adjacency,4,120.31230163574219,10.968696441954357,8.16573715209961,87.11777329444885
