seed,method,graph_type,aggregation_method,client_id,mse,rmse,mae,mape
42,Independent,fixed_adjacency,none,0,6.453258514404297,2.5403264582341176,2.061394453048706,2.6489321142435074
42,Independent,fixed_adjacency,none,1,33.91217803955078,5.823416354645337,4.686214923858643,7.73833766579628
42,Independent,fixed_adjacency,none,2,137.21038818359375,11.713683800734668,10.200761795043945,11.407345533370972
42,Independent,fixed_adjacency,none,3,20.24811363220215,4.499790398696605,3.4818930625915527,4.802579805254936
42,Independent,fixed_adjacency,none,4,121.28978729248047,11.013164272473215,8.404537200927734,72.1386730670929
42,GCN-FedAvg,fixed_adjacency,fedavg,0,7.681152820587158,2.771489278454304,2.200791120529175,2.8514623641967773
42,GCN-FedAvg,fixed_adjacency,fedavg,1,20.70189666748047,4.549933699240074,3.7200353145599365,6.00421316921711
42,GCN-FedAvg,fixed_adjacency,fedavg,2,89.86476135253906,9.479702598317052,7.791414260864258,8.40892568230629
42,GCN-FedAvg,fixed_adjacency,fedavg,3,15.115546226501465,3.8878716833894433,2.971957206726074,4.151229560375214
42,GCN-FedAvg,fixed_adjacency,fedavg,4,121.69841003417969,11.031700233154439,8.185663223266602,87.67070174217224
42,GCN-Proposed,fixed_adjacency,proposed,0,7.847567558288574,2.8013510237541768,2.2260801792144775,2.8853651136159897
42,GCN-Proposed,fixed_adjacency,proposed,1,21.00911521911621,4.583570138998225,3.750070333480835,6.062420457601547
42,GCN-Proposed,fixed_adjacency,proposed,2,90.58968353271484,9.517861289844207,7.844977378845215,8.480627089738846
42,GCN-Proposed,fixed_adjacency,proposed,3,15.125943183898926,3.8892085549503417,2.9891858100891113,4.187174513936043
42,GCN-Proposed,fixed_adjacency,proposed,4,120.31230163574219,10.968696441954357,8.16573715209961,87.11777329444885
2024,Independent,fixed_adjacency,none,0,5.85341215133667,2.4193825971385077,1.9071683883666992,2.374141663312912
2024,Independent,fixed_adjacency,none,1,62.31542205810547,7.894011784771129,6.505449295043945,10.95506176352501
2024,Independent,fixed_adjacency,none,2,91.7583999633789,9.579060494817794,7.933836936950684,8.855288475751877
2024,Independent,fixed_adjacency,none,3,30.011981964111328,5.478319264529161,4.319070339202881,5.513165146112442
2024,Independent,fixed_adjacency,none,4,62.33052062988281,7.894968057559373,4.729885101318359,47.82438278198242
2024,GCN-FedAvg,fixed_adjacency,fedavg,0,7.681156158447266,2.7714898806323047,2.200585126876831,2.7525097131729126
2024,GCN-FedAvg,fixed_adjacency,fedavg,1,34.06995391845703,5.83694731160536,4.295190334320068,6.985878199338913
2024,GCN-FedAvg,fixed_adjacency,fedavg,2,78.87963104248047,8.88142055318182,7.086511135101318,7.727477699518204
2024,GCN-FedAvg,fixed_adjacency,fedavg,3,20.66446304321289,4.545818192934346,3.4338443279266357,4.3691884726285934
2024,GCN-FedAvg,fixed_adjacency,fedavg,4,128.73004150390625,11.345926207406174,8.351877212524414,105.68912029266357
2024,GCN-Proposed,fixed_adjacency,proposed,0,8.047837257385254,2.8368710329137725,2.269728899002075,2.8388941660523415
2024,GCN-Proposed,fixed_adjacency,proposed,1,34.541263580322266,5.877181601781781,4.321145534515381,7.053627818822861
2024,GCN-Proposed,fixed_adjacency,proposed,2,78.47289276123047,8.858492691266978,7.096480369567871,7.755586504936218
2024,GCN-Proposed,fixed_adjacency,proposed,3,20.946481704711914,4.576732645098675,3.4622457027435303,4.423738270998001
2024,GCN-Proposed,fixed_adjacency,proposed,4,122.89781951904297,11.085928897437642,8.113615036010742,102.92243957519531
2025,Independent,fixed_adjacency,none,0,8.527831077575684,2.9202450372487037,2.4223971366882324,3.2135609537363052
2025,Independent,fixed_adjacency,none,1,425.86572265625,20.636514304897762,17.85649299621582,28.71032953262329
2025,Independent,fixed_adjacency,none,2,128.47816467285156,11.334820892843943,9.726888656616211,10.857971757650375
2025,Independent,fixed_adjacency,none,3,24.574167251586914,4.957233830634471,3.9886298179626465,5.581969395279884
2025,Independent,fixed_adjacency,none,4,257.91033935546875,16.05958714772795,9.79512882232666,113.95379304885864
2025,GCN-FedAvg,fixed_adjacency,fedavg,0,5.197803020477295,2.279869079679203,1.845358967781067,2.4075495079159737
2025,GCN-FedAvg,fixed_adjacency,fedavg,1,22.806732177734375,4.775639452234054,3.650733709335327,5.569738894701004
2025,GCN-FedAvg,fixed_adjacency,fedavg,2,100.06951904296875,10.003475348246166,7.538918972015381,7.8058041632175446
2025,GCN-FedAvg,fixed_adjacency,fedavg,3,22.56960678100586,4.7507480233123145,3.5270121097564697,4.867007210850716
2025,GCN-FedAvg,fixed_adjacency,fedavg,4,260.5050354003906,16.140168382033398,13.155513763427734,436.959171295166
2025,GCN-Proposed,fixed_adjacency,proposed,0,5.171235084533691,2.274034978740145,1.8352088928222656,2.398216165602207
2025,GCN-Proposed,fixed_adjacency,proposed,1,21.950498580932617,4.685135919152465,3.578552484512329,5.475875362753868
2025,GCN-Proposed,fixed_adjacency,proposed,2,98.14678192138672,9.906905769279666,7.512681484222412,7.803741097450256
2025,GCN-Proposed,fixed_adjacency,proposed,3,21.897397994995117,4.679465567241105,3.493666410446167,4.837336763739586
2025,GCN-Proposed,fixed_adjacency,proposed,4,258.7004699707031,16.084168302113202,13.140538215637207,441.19420051574707
