file_name,file_path,rows_used,mechanism,missing_rate,seed,impute_method,target_col,time_col,node_col,masked_count,actual_missing_rate,imputation_mae,imputation_rmse,imputation_mape,output_path
node_flow_chunk_000.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_000.parquet,500,mcar_point,0.05,5678,forward_fill,路口车流量,时间段,节点ID,25,0.05,1029.095576171875,1615.1118328901296,40.46761318804845,
node_flow_chunk_000.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_000.parquet,500,mcar_point,0.05,5678,linear_interpolation,路口车流量,时间段,节点ID,25,0.05,1319.210478515625,1993.357936978242,58.11565157987405,
node_flow_chunk_000.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_000.parquet,500,mcar_point,0.1,42,zero_fill,路口车流量,时间段,节点ID,50,0.1,2422.3730908203124,2630.0616660947626,100.0,
node_flow_chunk_000.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_000.parquet,500,mcar_point,0.1,42,forward_fill,路口车流量,时间段,节点ID,50,0.1,955.2018823242188,1265.7439611843647,31.861694675292078,
node_flow_chunk_000.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_000.parquet,500,mcar_point,0.1,42,linear_interpolation,路口车流量,时间段,节点ID,50,0.1,1277.5873828125,1677.8032487743574,57.78315576794577,
node_flow_chunk_000.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_000.parquet,500,mcar_point,0.1,2024,zero_fill,路口车流量,时间段,节点ID,50,0.1,2235.151961669922,2527.936630945532,100.0,
node_flow_chunk_000.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_000.parquet,500,mcar_point,0.1,2024,forward_fill,路口车流量,时间段,节点ID,50,0.1,888.2598693847656,1265.2924682275834,45.834168549830025,
node_flow_chunk_000.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_000.parquet,500,mcar_point,0.1,2024,linear_interpolation,路口车流量,时间段,节点ID,50,0.1,1144.4656103515624,1531.2365255310415,61.73461269075487,
node_flow_chunk_000.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_000.parquet,500,mcar_point,0.1,3407,zero_fill,路口车流量,时间段,节点ID,50,0.1,2149.1024536132813,2431.4048779437894,100.0,
node_flow_chunk_000.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_000.parquet,500,mcar_point,0.1,3407,forward_fill,路口车流量,时间段,节点ID,50,0.1,836.9151831054687,1195.2868731282224,45.60850928797452,
node_flow_chunk_000.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_000.parquet,500,mcar_point,0.1,3407,linear_interpolation,路口车流量,时间段,节点ID,50,0.1,990.7613146972657,1329.4801858391809,63.55325712865149,
node_flow_chunk_000.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_000.parquet,500,mcar_point,0.1,1234,zero_fill,路口车流量,时间段,节点ID,50,0.1,2101.872910461426,2510.83327163369,100.0,
node_flow_chunk_000.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_000.parquet,500,mcar_point,0.1,1234,forward_fill,路口车流量,时间段,节点ID,50,0.1,1068.8054904174805,1407.6214476590244,63.37483736788821,
node_flow_chunk_000.parquet,data/analysis/node_intersection_flow_parquet/node_flow_chunk_000.parquet,500,mcar_point,0.1,1234,linear_interpolation,路口车流量,时间段,节点ID,50,0.1,1054.9810800170899,1432.5733114818156,58.78589564509179,
