method,mse,rmse,mae,mape,smape,r2,client_id,entity_kind,entity_id,train_samples,val_samples,test_samples,region_id,pooled_row,pooled_col,centroid_lon,centroid_lat,source_node_count,mean_total_flow,is_active_region
FedAvg,3813343191353.9614,1952778.3262198404,1950862.826048072,99.99993531839199,199.9997412737357,-508.9807714295401,0,region,290,4087,878,879,290,9,20,116.465194,39.91456970750988,667,1953917.875,True
FedAvg,3672478274711.0034,1916371.121341324,1913541.9626717356,99.99993393124117,199.99973572513983,-337.9323284238605,1,region,284,4087,878,879,284,9,14,116.357194,39.91456970750988,698,1914353.125,True
Independent,3813344066152.125,1952778.5502079146,1950863.0502210304,99.99994683135176,199.99978732552037,-508.9808884214341,0,region,290,4087,878,879,290,9,20,116.465194,39.91456970750988,667,1953917.875,True
Independent,3672478279946.173,1916371.122707231,1913541.963929089,99.99993399128766,199.99973596532544,-337.9323289070133,1,region,284,4087,878,879,284,9,14,116.357194,39.91456970750988,698,1914353.125,True
