seed,method,noniid_level,client_id,mse,rmse,mae,mape
42,Proposed,low,0,5.656978607177734,2.3784403728447208,1.9244823455810547,2.4543074890971184
42,Proposed,low,1,8.38916301727295,2.8964051887249735,2.309084415435791,3.1824160367250443
42,Proposed,low,2,11.234941482543945,3.351856423318867,2.826007843017578,3.594881296157837
42,Proposed,low,3,11.432055473327637,3.3811322768161016,2.6757781505584717,3.5727303475141525
42,Proposed,low,4,9.39442253112793,3.06503222350564,2.4997830390930176,3.4119226038455963
42,Proposed,medium,0,6.206177234649658,2.4912200293530193,1.9946894645690918,2.5650061666965485
42,Proposed,medium,1,17.872814178466797,4.227625122745251,3.4160683155059814,5.428241565823555
42,Proposed,medium,2,89.22534942626953,9.445917077037546,7.537904739379883,8.023563772439957
42,Proposed,medium,3,15.107603073120117,3.886850019375602,2.972804546356201,4.092297330498695
42,Proposed,medium,4,117.57355499267578,10.843134002338797,7.937016487121582,96.38070464134216
42,Proposed,high,0,256.9090881347656,16.028383827908716,12.323844909667969,119.22677755355835
42,Proposed,high,1,517.77685546875,22.75471062151198,17.471755981445312,145.71897983551025
42,Proposed,high,2,92.10255432128906,9.597007571180146,7.007406234741211,11.205761134624481
42,Proposed,high,3,108.59265899658203,10.42078015297233,7.777185440063477,369.27521228790283
42,Proposed,high,4,238.09854125976562,15.430442030601897,11.460598945617676,20.93464583158493
