seed,method,lambda_value,client_id,mse,rmse,mae,mape
42,Data-loss weighted,0.0,0,5.7284440994262695,2.393416825257621,1.9227831363677979,2.4607496336102486
42,Data-loss weighted,0.0,1,17.96924591064453,4.239014733478115,3.4087412357330322,5.371776223182678
42,Data-loss weighted,0.0,2,90.75808715820312,9.526703897896855,7.489753723144531,7.933376729488373
42,Data-loss weighted,0.0,3,15.578277587890625,3.946932680942332,3.0049023628234863,4.11185510456562
42,Data-loss weighted,0.0,4,117.22792053222656,10.827184330758692,7.755505084991455,92.19804406166077
42,Data-loss weighted,0.25,0,5.814058303833008,2.4112358457506824,1.9359188079833984,2.4813512340188026
42,Data-loss weighted,0.25,1,17.858314514160156,4.2259099036964995,3.4007821083068848,5.374616384506226
42,Data-loss weighted,0.25,2,90.14372253417969,9.494404801470163,7.506397247314453,7.965371757745743
42,Data-loss weighted,0.25,3,15.308623313903809,3.9126235844895443,2.983166217803955,4.091658070683479
42,Data-loss weighted,0.25,4,117.56892395019531,10.842920453005053,7.850379943847656,94.21308040618896
42,Data-loss weighted,0.5,0,5.987919330596924,2.4470225439494677,1.9627985954284668,2.52009853720665
42,Data-loss weighted,0.5,1,17.829347610473633,4.22248121493437,3.4057421684265137,5.398751050233841
42,Data-loss weighted,0.5,2,89.51976013183594,9.461488261993244,7.521421432495117,7.994756102561951
42,Data-loss weighted,0.5,3,15.122893333435059,3.888816443782743,2.969167947769165,4.0816184133291245
42,Data-loss weighted,0.5,4,118.07455444335938,10.866211595738386,7.93405294418335,95.90014219284058
42,Data-loss weighted,0.75,0,6.260178565979004,2.502034885044372,2.003105878829956,2.576698176562786
42,Data-loss weighted,0.75,1,17.89699363708496,4.230483853779017,3.417961597442627,5.4354701191186905
42,Data-loss weighted,0.75,2,88.93020629882812,9.430281347808672,7.531988620758057,8.01902711391449
42,Data-loss weighted,0.75,3,15.053314208984375,3.8798600759543347,2.968303918838501,4.089431464672089
42,Data-loss weighted,0.75,4,119.03032684326172,10.910102054667579,8.025094985961914,97.36424684524536
42,Data-loss weighted,1.0,0,6.638260364532471,2.5764821684871935,2.0637621879577637,2.6599913835525513
42,Data-loss weighted,1.0,1,18.082881927490234,4.252397197756841,3.437189817428589,5.485328659415245
42,Data-loss weighted,1.0,2,88.39189147949219,9.401696202254792,7.542752742767334,8.044544607400894
42,Data-loss weighted,1.0,3,15.071471214294434,3.882199275448703,2.9777400493621826,4.11263182759285
42,Data-loss weighted,1.0,4,120.3146743774414,10.968804601114991,8.1261568069458,98.79974722862244
2024,Data-loss weighted,0.0,0,7.1763739585876465,2.678875502629349,2.12532377243042,2.6571478694677353
2024,Data-loss weighted,0.0,1,34.43769454956055,5.8683638733092,4.302113056182861,7.0269763469696045
2024,Data-loss weighted,0.0,2,76.49740600585938,8.746279552235874,6.9631805419921875,7.593180239200592
2024,Data-loss weighted,0.0,3,21.322830200195312,4.617665016022201,3.471428155899048,4.406383633613586
2024,Data-loss weighted,0.0,4,82.36067199707031,9.075278067203799,5.612480640411377,86.5027368068695
2024,Data-loss weighted,0.25,0,7.556999206542969,2.748999673798265,2.187284231185913,2.735973708331585
2024,Data-loss weighted,0.25,1,34.675724029541016,5.8886096856168875,4.331267356872559,7.081424444913864
2024,Data-loss weighted,0.25,2,76.978759765625,8.773754029241132,7.00580358505249,7.645680010318756
2024,Data-loss weighted,0.25,3,21.061796188354492,4.589313258904266,3.450188636779785,4.384880140423775
2024,Data-loss weighted,0.25,4,84.1756591796875,9.174729379098192,5.654799461364746,89.32817578315735
2024,Data-loss weighted,0.5,0,8.01842975616455,2.831683201942716,2.263441801071167,2.832448296248913
2024,Data-loss weighted,0.5,1,34.97987365722656,5.914378552073461,4.365121841430664,7.14445635676384
2024,Data-loss weighted,0.5,2,77.54090881347656,8.805731588770836,7.051197052001953,7.702042907476425
2024,Data-loss weighted,0.5,3,20.824283599853516,4.563363189562443,3.4365251064300537,4.373122006654739
2024,Data-loss weighted,0.5,4,86.63736724853516,9.307919598306334,5.733956336975098,92.62027740478516
2024,Data-loss weighted,0.75,0,8.57346248626709,2.928047555328822,2.350592851638794,2.9427610337734222
2024,Data-loss weighted,0.75,1,35.364009857177734,5.94676465459814,4.409361839294434,7.225626707077026
2024,Data-loss weighted,0.75,2,78.13040924072266,8.839140752399107,7.096583366394043,7.759455591440201
2024,Data-loss weighted,0.75,3,20.67371368408203,4.546835568181681,3.4377284049987793,4.379250854253769
2024,Data-loss weighted,0.75,4,89.6744384765625,9.469658836334206,5.8545966148376465,96.40053510665894
2024,Data-loss weighted,1.0,0,9.225235939025879,3.0373073501089545,2.4507088661193848,3.0692048370838165
2024,Data-loss weighted,1.0,1,35.8331413269043,5.986078960964706,4.460161209106445,7.318548858165741
2024,Data-loss weighted,1.0,2,78.78337860107422,8.876000146522882,7.144165992736816,7.820263504981995
2024,Data-loss weighted,1.0,3,20.585193634033203,4.53709087786802,3.4433071613311768,4.390977323055267
2024,Data-loss weighted,1.0,4,93.36275482177734,9.662440417502058,6.033595561981201,100.62922239303589
3407,Data-loss weighted,0.0,0,6.56070613861084,2.5613875416677656,2.06878399848938,2.5820137932896614
3407,Data-loss weighted,0.0,1,23.87809944152832,4.886522223578679,3.5235695838928223,5.4656732827425
3407,Data-loss weighted,0.0,2,93.300537109375,9.65922031581095,6.9322638511657715,7.32361301779747
3407,Data-loss weighted,0.0,3,18.62874984741211,4.316103549199452,3.288702964782715,4.9751803278923035
3407,Data-loss weighted,0.0,4,112.04772186279297,10.585259650230265,7.012159824371338,229.81553077697754
3407,Data-loss weighted,0.25,0,6.706892490386963,2.589766879544752,2.092712879180908,2.6134315878152847
3407,Data-loss weighted,0.25,1,23.833206176757812,4.881926482113164,3.5131237506866455,5.4552871733903885
3407,Data-loss weighted,0.25,2,92.054931640625,9.59452612902925,6.878065586090088,7.273123413324356
3407,Data-loss weighted,0.25,3,18.577762603759766,4.310192873150779,3.2787392139434814,4.965407028794289
3407,Data-loss weighted,0.25,4,116.14522552490234,10.777069431199854,7.160316467285156,235.59846878051758
3407,Data-loss weighted,0.5,0,6.886610507965088,2.624235223444173,2.1207644939422607,2.6501180604100227
3407,Data-loss weighted,0.5,1,23.805797576904297,4.87911852458047,3.511012315750122,5.4582878947258
3407,Data-loss weighted,0.5,2,90.943359375,9.536422776649534,6.828065872192383,7.22692534327507
3407,Data-loss weighted,0.5,3,18.54289436340332,4.306146114962115,3.2703657150268555,4.957694560289383
