round,method,avg_train_loss,avg_val_loss,avg_val_rmse,avg_val_mae,avg_val_mape,seed
1,FedAvg,0.5041626871281341,0.8166606739901257,9.253154013832988,7.095983505249023,12.30084203183651,42
2,FedAvg,0.4344854724222859,0.7034286012602208,8.563295797034668,6.340235996246338,10.8933424949646,42
3,FedAvg,0.40508212286705503,0.6453144456683395,8.256823830449713,6.022523307800293,10.246693417429924,42
4,FedAvg,0.3939637268571446,0.6201861747950135,8.163700887103682,5.845817279815674,9.906711652874947,42
1,Proposed,0.5041626871281341,0.802672405678085,9.171119002243916,7.014297103881836,12.049745544791222,42
2,Proposed,0.43277979509980913,0.6721015812487422,8.379605135886312,6.12052640914917,10.484988689422607,42
3,Proposed,0.40234019281277905,0.6300056063571343,8.143546913389224,5.927792930603028,10.095798000693321,42
4,Proposed,0.39367187037801815,0.6032870474728534,8.024576769546709,5.738732242584229,9.74921353161335,42
1,FedAvg,0.5900304004910251,1.095747096576374,9.69809415614121,7.773441028594971,10.558654889464378,2024
2,FedAvg,0.4607766015292956,0.885932994019344,8.514488520597393,6.5307615280151365,8.277169615030289,2024
3,FedAvg,0.4261189064061234,0.8012014003537165,8.22743865472437,6.229640769958496,7.841673344373703,2024
4,FedAvg,0.408044420184657,0.7497720340898809,7.949225667784165,6.00844087600708,7.3963551968336105,2024
1,Proposed,0.5900304004910251,1.0874565753454868,9.638247076384332,7.70600061416626,10.421238094568253,2024
2,Proposed,0.457385641860487,0.8669319953974777,8.405401912514787,6.415981769561768,8.065033257007599,2024
3,Proposed,0.42230952580051495,0.7786923124149554,8.119100528071018,6.124125671386719,7.680891528725624,2024
4,Proposed,0.40323436093176257,0.7229160999034385,7.825975189479938,5.900853633880615,7.257458195090294,2024
1,FedAvg,0.7133875564730348,1.0119876195730657,8.641813682092302,7.0642365455627445,8.832963854074478,3407
2,FedAvg,0.49081386301648405,0.7307578488768185,7.411021862110569,5.9683221817016605,7.5843095779418945,3407
3,FedAvg,0.44934888311671817,0.5487908084952791,6.594262207751766,5.158565998077393,6.6857753694057465,3407
4,FedAvg,0.42207911001599097,0.541362011958068,6.643983725264226,5.158354187011719,6.6872284561395645,3407
1,Proposed,0.7133875564730348,1.0096634746426512,8.628416573668598,7.04969425201416,8.801945298910141,3407
2,Proposed,0.4904012856481006,0.7121249930988703,7.318012232784859,5.878056240081787,7.458624914288521,3407
3,Proposed,0.44745377709036316,0.5324646200754761,6.4936159495408905,5.021535778045655,6.457777768373489,3407
4,Proposed,0.42094838483020036,0.5112230587700812,6.482513079580197,4.953473997116089,6.4070043712854385,3407
1,FedAvg,0.5544104424399211,0.8475713128688703,9.296151638901186,7.454438877105713,111.14963866770267,1234
2,FedAvg,0.4392699595065073,0.6385767924144693,8.069978530100567,6.3547076225280765,90.771963596344,1234
3,FedAvg,0.4181625193886987,0.6881853264923092,8.226263841045705,6.419224834442138,88.01931202411652,1234
4,FedAvg,0.41051839345930247,0.5668824200908649,7.656114029451922,5.928824043273925,86.67795985937119,1234
1,Proposed,0.5544104424399211,0.826187703172107,9.173022541742048,7.347834777832031,106.23599417507648,1234
2,Proposed,0.43791723250963843,0.6150012225245807,7.924050866353758,6.259980201721191,86.08527086675167,1234
3,Proposed,0.4165067160469639,0.6442499256266394,7.995701955348278,6.243684387207031,85.32031483948231,1234
4,Proposed,0.40761758942027637,0.5410575513492998,7.474251313240396,5.801988506317139,81.35725796222687,1234
1,FedAvg,0.5709352910154911,0.9313149582449262,8.6455003392381,6.801535415649414,7.916855588555336,5678
2,FedAvg,0.43930041782673984,0.8117469333221587,8.049740392815613,5.856364440917969,6.524039059877396,5678
3,FedAvg,0.4112997009365051,0.6949816674989725,7.552919900843963,5.734148597717285,6.593915969133377,5678
4,FedAvg,0.4001804294805516,0.6665397890955049,7.378297701477779,5.50536527633667,6.2802306562662125,5678
1,Proposed,0.5709352910154911,0.916025160012514,8.587870868260973,6.760970878601074,7.8570107370615005,5678
2,Proposed,0.4382119653119162,0.7567373633945216,7.7758279181906405,5.636930370330811,6.284161880612373,5678
3,Proposed,0.4088512249817386,0.6795174915810335,7.486490067426923,5.730138206481934,6.60994365811348,5678
4,Proposed,0.3992381240027352,0.63932961289325,7.24423600093462,5.43592586517334,6.222042515873909,5678
