seed,method,num_clients,client_id,mse,rmse,mae,mape
42,Proposed,3,0,8.645135879516602,2.9402611923971316,2.4047646522521973,3.1120721250772476
42,Proposed,3,1,20.7275390625,4.552750713854208,3.6869418621063232,5.961767956614494
42,Proposed,3,2,89.00528717041016,9.43426134736632,7.704399585723877,8.296043425798416
42,Proposed,5,0,6.206177234649658,2.4912200293530193,1.9946894645690918,2.5650061666965485
42,Proposed,5,1,17.872814178466797,4.227625122745251,3.4160683155059814,5.428241565823555
42,Proposed,5,2,89.22534942626953,9.445917077037546,7.537904739379883,8.023563772439957
42,Proposed,5,3,15.107603073120117,3.886850019375602,2.972804546356201,4.092297330498695
42,Proposed,5,4,117.57355499267578,10.843134002338797,7.937016487121582,96.38070464134216
42,Proposed,8,0,6.151499271392822,2.4802216173948697,1.986933708190918,2.5569744408130646
42,Proposed,8,1,19.00354766845703,4.359305870027593,3.5415079593658447,5.6639257818460464
42,Proposed,8,2,90.0238037109375,9.488087463284552,7.546639442443848,8.048440515995026
42,Proposed,8,3,14.526917457580566,3.8114193494786908,2.9209060668945312,4.053715616464615
42,Proposed,8,4,109.67344665527344,10.472509090722884,7.385004043579102,98.05513024330139
42,Proposed,8,5,6.576977729797363,2.5645618982191407,2.1238927841186523,2.779288776218891
42,Proposed,8,6,31.29656410217285,5.594333213366259,3.735872983932495,6.164230033755302
42,Proposed,8,7,93.47904205322266,9.668456032543286,7.3433942794799805,8.304815739393234
