seed,method,client_id,mse,rmse,mae,mape
42,FedAvg,0,6.638260364532471,2.5764821684871935,2.0637621879577637,2.6599913835525513
42,FedAvg,1,18.082881927490234,4.252397197756841,3.437189817428589,5.485328659415245
42,FedAvg,2,88.39189147949219,9.401696202254792,7.542752742767334,8.044544607400894
42,FedAvg,3,15.071471214294434,3.882199275448703,2.9777400493621826,4.11263182759285
42,FedAvg,4,120.3146743774414,10.968804601114991,8.1261568069458,98.79974722862244
42,Loss-weighted,0,5.7284440994262695,2.393416825257621,1.9227831363677979,2.4607496336102486
42,Loss-weighted,1,17.96924591064453,4.239014733478115,3.4087412357330322,5.371776223182678
42,Loss-weighted,2,90.75808715820312,9.526703897896855,7.489753723144531,7.933376729488373
42,Loss-weighted,3,15.578277587890625,3.946932680942332,3.0049023628234863,4.11185510456562
42,Loss-weighted,4,117.22792053222656,10.827184330758692,7.755505084991455,92.19804406166077
42,Data-loss weighted,0,5.987919330596924,2.4470225439494677,1.9627985954284668,2.52009853720665
42,Data-loss weighted,1,17.829347610473633,4.22248121493437,3.4057421684265137,5.398751050233841
42,Data-loss weighted,2,89.51976013183594,9.461488261993244,7.521421432495117,7.994756102561951
42,Data-loss weighted,3,15.122893333435059,3.888816443782743,2.969167947769165,4.0816184133291245
42,Data-loss weighted,4,118.07455444335938,10.866211595738386,7.93405294418335,95.90014219284058
42,Proposed,0,6.206177234649658,2.4912200293530193,1.9946894645690918,2.5650061666965485
42,Proposed,1,17.872814178466797,4.227625122745251,3.4160683155059814,5.428241565823555
42,Proposed,2,89.22534942626953,9.445917077037546,7.537904739379883,8.023563772439957
42,Proposed,3,15.107603073120117,3.886850019375602,2.972804546356201,4.092297330498695
42,Proposed,4,117.57355499267578,10.843134002338797,7.937016487121582,96.38070464134216
