experiment,method,seed,mse,rmse,mae,mape,r2,final_loss,best_loss,communication_rounds,convergence_round
gcn_fed_enhanced_main,FedAvg,42,49.69983587265015,6.216315889012504,4.829520320892334,23.820448741316795,0.40093062130079105,,,4,4
gcn_fed_enhanced_main,Proposed,42,49.19709978103638,6.178949250170043,4.771696710586548,23.297962695360184,0.4109782619204407,,,4,4
gcn_fed_enhanced_main,Independent,42,70.16030941009521,7.599291703340356,6.006402921676636,16.139879152178764,0.08585762685908535,,,0,4
gcn_fed_enhanced_main,FedAvg,2024,47.55794086456299,6.4197835505933245,4.706387758255005,24.64564338326454,0.3170212472667557,,,4,4
gcn_fed_enhanced_main,Proposed,2024,46.009267807006836,6.314945700186514,4.597671604156494,23.35860311985016,0.3442395245543571,,,4,4
gcn_fed_enhanced_main,Independent,2024,67.53410987854004,7.761515172620157,6.242063283920288,23.32159474492073,-0.07352400077906451,,,0,4
gcn_fed_enhanced_main,FedAvg,3407,53.56533298492432,6.538001662681069,4.662668609619141,54.8037189617753,0.42071227932723854,,,4,4
gcn_fed_enhanced_main,Proposed,3407,52.49823617935181,6.48182006230096,4.621287870407104,53.11196628957987,0.42774937563895243,,,4,4
gcn_fed_enhanced_main,Independent,3407,59.07664241790771,7.126642530445892,5.419855642318725,45.54929159581661,0.25252204412366186,,,0,4
gcn_fed_enhanced_main,FedAvg,1234,66.11285400390625,7.030319717607673,5.574156904220581,73.96518401801586,0.4089657715847513,,,4,4
gcn_fed_enhanced_main,Proposed,1234,63.50376605987549,6.915438302806744,5.458925104141235,69.21457469463348,0.4233223528915656,,,4,4
gcn_fed_enhanced_main,Independent,1234,66.32345466613769,7.441984229168147,5.811914443969727,55.24839587509632,0.1951854691049078,,,0,4
gcn_fed_enhanced_main,FedAvg,5678,59.607352066040036,6.782052982283912,5.157400178909302,11.820980161428452,0.3843590935412881,,,4,4
gcn_fed_enhanced_main,Proposed,5678,58.15355758666992,6.692612643206021,5.05461311340332,11.34336993098259,0.40434604289688547,,,4,4
gcn_fed_enhanced_main,Independent,5678,73.25219860076905,7.824092185506859,5.854529953002929,10.924303755164146,0.052222135152984926,,,0,4
