seed,method,client_id,period,mse,rmse,mae,mape
42,FedAvg,0,off_peak,6.638260364532471,2.5764821684871935,2.0637621879577637,2.6599913835525513
42,FedAvg,1,off_peak,18.082881927490234,4.252397197756841,3.437189817428589,5.485328659415245
42,FedAvg,2,off_peak,88.39189147949219,9.401696202254792,7.542752742767334,8.044544607400894
42,FedAvg,3,off_peak,15.071471214294434,3.882199275448703,2.9777400493621826,4.11263182759285
42,FedAvg,4,off_peak,115.4228515625,10.74350276038965,7.597917079925537,16.26392751932144
42,FedAvg,4,incident_period,124.34326171875,11.150930979911498,8.561179161071777,166.77042245864868
42,Proposed,0,off_peak,6.206177234649658,2.4912200293530193,1.9946894645690918,2.5650061666965485
42,Proposed,1,off_peak,17.872814178466797,4.227625122745251,3.4160683155059814,5.428241565823555
42,Proposed,2,off_peak,89.22534942626953,9.445917077037546,7.537904739379883,8.023563772439957
42,Proposed,3,off_peak,15.107603073120117,3.886850019375602,2.972804546356201,4.092297330498695
42,Proposed,4,off_peak,111.73322296142578,10.570393699452532,7.340796947479248,15.729807317256927
42,Proposed,4,incident_period,122.38322448730469,11.062695172845752,8.428019523620605,162.79906034469604
42,Independent,0,off_peak,10.989954948425293,3.3151100959734796,2.7030208110809326,3.5091787576675415
42,Independent,1,off_peak,25.19182586669922,5.019145930006341,4.032126426696777,6.5585218369960785
42,Independent,2,off_peak,138.96238708496094,11.788230871719511,10.276283264160156,11.562275141477585
42,Independent,3,off_peak,37.40325927734375,6.115820409180092,4.585710525512695,6.157196685671806
42,Independent,4,off_peak,178.36709594726562,13.355414480549289,8.936756134033203,19.681479036808014
42,Independent,4,incident_period,105.21990966796875,10.257675646459521,8.021559715270996,80.27871251106262
