day_index,file_name,file_path,size_bytes,rows,nodes,time_slots
36,node_flow_chunk_036.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_036.parquet,61957210,4034976,42031,96
37,node_flow_chunk_037.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_037.parquet,62576641,4034976,42031,96
38,node_flow_chunk_038.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_038.parquet,61954192,4034976,42031,96
39,node_flow_chunk_039.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_039.parquet,61967406,4034976,42031,96
40,node_flow_chunk_040.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_040.parquet,61953615,4034976,42031,96
41,node_flow_chunk_041.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_041.parquet,61959052,4034976,42031,96
42,node_flow_chunk_042.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_042.parquet,61950581,4034976,42031,96
43,node_flow_chunk_043.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_043.parquet,61910044,4034976,42031,96
44,node_flow_chunk_044.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_044.parquet,61896206,4034976,42031,96
45,node_flow_chunk_045.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_045.parquet,61927540,4034976,42031,96
46,node_flow_chunk_046.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_046.parquet,61941873,4034976,42031,96
47,node_flow_chunk_047.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_047.parquet,61974819,4034976,42031,96
48,node_flow_chunk_048.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_048.parquet,62007652,4034976,42031,96
49,node_flow_chunk_049.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_049.parquet,62017752,4034976,42031,96
50,node_flow_chunk_050.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_050.parquet,61976861,4034976,42031,96
51,node_flow_chunk_051.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_051.parquet,61958259,4034976,42031,96
52,node_flow_chunk_052.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_052.parquet,61961528,4034976,42031,96
53,node_flow_chunk_053.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_053.parquet,62001123,4034976,42031,96
54,node_flow_chunk_054.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_054.parquet,62164931,4034976,42031,96
55,node_flow_chunk_055.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_055.parquet,62153530,4034976,42031,96
56,node_flow_chunk_056.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_056.parquet,62172163,4034976,42031,96
57,node_flow_chunk_057.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_057.parquet,62126498,4034976,42031,96
58,node_flow_chunk_058.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_058.parquet,62091602,4034976,42031,96
59,node_flow_chunk_059.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_059.parquet,62086589,4034976,42031,96
60,node_flow_chunk_060.parquet,E:\Jupter_Notebook\FedTrafficFlow\data\analysis\node_intersection_flow_parquet\node_flow_chunk_060.parquet,62101602,4034976,42031,96
