missing_rate,mechanism,seed,day_index,file_name,mask_path,missing_dataset_path,actual_missing_count,actual_missing_rate
0.05,mcar_point,42,17,node_flow_chunk_017.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_017_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_017_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,18,node_flow_chunk_018.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_018_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_018_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,19,node_flow_chunk_019.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_019_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_019_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,20,node_flow_chunk_020.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_020_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_020_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,21,node_flow_chunk_021.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_021_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_021_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,22,node_flow_chunk_022.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_022_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_022_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,23,node_flow_chunk_023.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_023_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_023_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,24,node_flow_chunk_024.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_024_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_024_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,25,node_flow_chunk_025.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_025_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_025_missing.parquet,201749,0.05000004956658974
0.05,mcar_point,42,26,node_flow_chunk_026.parquet,results/real_data_missingness_full_intersection_causal_history/masks/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_026_mask.parquet,results/real_data_missingness_full_intersection_causal_history/missing_datasets/rate_0p05__mechanism_mcar_point__seed_42/node_flow_chunk_026_missing.parquet,201749,0.05000004956658974
